用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
情情寶貝兒	1870609331	JhPIq282O	#官方回应青岛不明异味#環境存在不明氣味確實挺難受的 ​	2020年08月27日 11:59			1	https://weibo.com/1870609331/JhPIq282O?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhPIq282O?uid=1870609331&rl=1
哇的一声哭了	5692301603	JhPI1vvLL	#官方回应青岛不明异味#青岛今年上热搜不是一两次了 ​	2020年08月27日 11:58		评论		https://weibo.com/5692301603/JhPI1vvLL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhPI1vvLL?uid=5692301603&rl=1
安广禄	1218420265	JhPHVASJB	#官方回应青岛不明异味#【回应】根据青岛石化公司初步排查，该企业污水处理装置区循环水塔装置存在油气漏点，造成无组织排放废气对下风向影响。醉眼观天下O网页链接 ​	2020年08月27日 11:57	1		2	https://weibo.com/1218420265/JhPHVASJB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhPHVASJB?uid=1218420265&rl=1
呡音	5982496398	JhPHIAJZI	#官方回应青岛不明异味#  希望好好查查吧 虽然说是对人体无害  但还是有点害怕 ​	2020年08月27日 11:57		21		https://weibo.com/5982496398/JhPHIAJZI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhPHIAJZI?uid=5982496398&rl=1
我是小胆喵喵	6178333952	JhPHEsAcm	#官方回应青岛不明异味#发现问题，解决问题，及时通报是最好的方法，以免造成大众困扰！ ​	2020年08月27日 11:57		1		https://weibo.com/6178333952/JhPHEsAcm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhPHEsAcm?uid=6178333952&rl=1
堆满了冰淇淋	5478431714	JhPHraUIf	#官方回应青岛不明异味#散逸的气体对人体无害，官方已处理好，速度杠杠滴👍#青岛市民反映空气中弥漫不明异味# ​	2020年08月27日 11:56			1	https://weibo.com/5478431714/JhPHraUIf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhPHraUIf?uid=5478431714&rl=1
热门聚集榜	3552182544	JhPHpsQ6d	#官方回应青岛不明异味#8月26日晚，很多青岛网友反映空气中弥漫着不明异味。根据青岛石化公司初步排查，该公司厂区东南角处一处冷却循环水塔，因存在柴油泄露问题产生的异味被风机抽出，带到空气中，造成对下风向部分区域产生影响。目前，经该企业紧急处置，漏点已于零时二十分处理完毕。反应很迅速， ​  展开全文c	2020年08月27日 11:56		评论		https://weibo.com/3552182544/JhPHpsQ6d?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhPHpsQ6d?uid=3552182544&rl=1
阳光报	1940053632	JhPHmq0z8	【#官方回应青岛不明异味#：石化污水处理循环水塔装置存油气漏点】据青岛市环境保护局李沧分局官方微博@李沧环保 27日凌晨消息，青岛市生态环境局李沧分局已接到网友反映异味情况，正在会同公安部门进行巡查。根据青岛石化公司初步排查，该企业污水处理装置区循环水塔装置存在油气漏点，造成无组织排放 ​  展开全文c	2020年08月27日 11:56		评论		https://weibo.com/1940053632/JhPHmq0z8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhPHmq0z8?uid=1940053632&rl=1
葵花籽二斤八两	7016740844	JhPHfq34s	#官方回应青岛不明异味#害 确保对人体无害就好 ​	2020年08月27日 11:56		评论		https://weibo.com/7016740844/JhPHfq34s?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhPHfq34s?uid=7016740844&rl=1
陇南市场监管	3778456060	JhPHb0iqp	【#官方回应青岛不明异味#：石化污水处理循环水塔装置存油气漏点】据青岛市环境保护局李沧分局官方微博@李沧环保 27日凌晨消息，青岛市生态环境局李沧分局已接到网友反映异味情况，正在会同公安部门进行巡查。根据青岛石化公司初步排查，该企业污水处理装置区循环水塔装置存在油气漏点，造成无组织排放 ​  展开全文c	2020年08月27日 11:56		评论		https://weibo.com/3778456060/JhPHb0iqp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhPHb0iqp?uid=3778456060&rl=1
