用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
Tiffany就是我	2440085024	JdhhDeWQf	#宝藏奶奶92岁时签捐赠遗体协议#善良无私美丽奶奶，好优秀啊 ​	2020年07月28日 12:58		评论		https://weibo.com/2440085024/JdhhDeWQf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdhhDeWQf?uid=2440085024&rl=1
金堂发布	1822206482	JdhhovFKQ	【#宝藏奶奶92岁时签捐赠遗体协议#】苏州的查奶奶出生在苏州相城区北桥的一个书香世家，结婚后，她曾到镇上学习裁缝，也凭这门手艺开店、贴补家用。70岁的她，曾跑去做保姆，一做就是10年。80岁的她，依然坚持一个人生活。去年，92岁的她，还签下了遗体捐赠协议。受她的影响，她的小儿子和儿媳也加入捐 ​  展开全文c	2020年07月28日 12:57	1	1	2	https://weibo.com/1822206482/JdhhovFKQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdhhovFKQ?uid=1822206482&rl=1
花苗苗苗	2044632903	JdhhgehVQ	#宝藏奶奶92岁时签捐赠遗体协议#真是让人敬佩的奶奶啊！换位思考，我自己能做到吗？不一定啊！奶奶，祝福你晚年安康！开心快乐！ ​	2020年07月28日 12:57		3	9	https://weibo.com/2044632903/JdhhgehVQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdhhgehVQ?uid=2044632903&rl=1
平安温江	2313754422	Jdhh9qoZW	#宝藏奶奶92岁时签捐赠遗体协议#【“宝藏奶奶”查珊珊：92岁时签捐赠遗体协议】苏州的查珊珊奶奶出生在苏州相城区北桥的一个书香世家，结婚后，她曾到镇上学习裁缝，也凭这门手艺开店、贴补家用。70岁的她，曾跑去做保姆，一做就是10年。80岁的她，依然坚持一个人生活。去年，92岁的她，还签下了遗 ​  展开全文c	2020年07月28日 12:57		5		https://weibo.com/2313754422/Jdhh9qoZW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdhh9qoZW?uid=2313754422&rl=1
新闻日日睇	1691507817	JdhgMF821	#宝藏奶奶92岁时签捐赠遗体协议#【“宝藏奶奶”查珊珊：92岁时签捐赠遗体协议】苏州的查珊珊奶奶出生在苏州相城区北桥的一个书香世家，结婚后，她曾到镇上学习裁缝，也凭这门手艺开店、贴补家用。70岁的她，曾跑去做保姆，一做就是10年。80岁的她，依然坚持一个人生活。去年，92岁的她，还签下了遗 ​  展开全文c	2020年07月28日 12:56			12	https://weibo.com/1691507817/JdhgMF821?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdhgMF821?uid=1691507817&rl=1
蚌埠市教育局	3174535722	JdhgMnyhW	#宝藏奶奶92岁时签捐赠遗体协议##宝藏奶奶92岁时签捐赠遗体协议#【“宝藏奶奶”查珊珊：92岁时签捐赠遗体协议】苏州的查珊珊奶奶出生在苏州相城区北桥的一个书香世家，结婚后，她曾到镇上学习裁缝，也凭这门手艺开店、贴补家用。70岁的她，曾跑去做保姆，一做就是10年。80岁的她，依然坚持一个人生 ​  展开全文c	2020年07月28日 12:56	1		3	https://weibo.com/3174535722/JdhgMnyhW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdhgMnyhW?uid=3174535722&rl=1
萌神的护目镜	7015510606	Jdhgosvg2	#宝藏奶奶92岁时签捐赠遗体协议#善良的老奶奶 ​	2020年07月28日 12:55			2	https://weibo.com/7015510606/Jdhgosvg2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdhgosvg2?uid=7015510606&rl=1
城市晚报官方微博	1735221154	Jdhg7BRJL	#宝藏奶奶92岁时签捐赠遗体协议#【“宝藏奶奶”查珊珊：92岁时签捐赠遗体协议】苏州的查珊珊奶奶出生在苏州相城区北桥的一个书香世家，结婚后，她曾到镇上学习裁缝，也凭这门手艺开店、贴补家用。70岁的她，曾跑去做保姆，一做就是10年。80岁的她，依然坚持一个人生活。去年，92岁的她，还签下了遗 ​  展开全文c	2020年07月28日 12:54			2	https://weibo.com/1735221154/Jdhg7BRJL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdhg7BRJL?uid=1735221154&rl=1
今日苏城	3125714091	Jdhfpfi58	【#苏州# “宝藏奶奶”查珊珊：92岁时签捐赠遗体协议】苏州的查珊珊奶奶出生在苏州相城区北桥的一个书香世家，结婚后，她曾到镇上学习裁缝，也凭这门手艺开店、贴补家用。70岁的她，曾跑去做保姆，一做就是10年。80岁的她，依然坚持一个人生活。去年，92岁的她，还签下了遗体捐赠协议。受她的影响 ​  展开全文c	2020年07月28日 12:53	1		8	https://weibo.com/3125714091/Jdhfpfi58?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdhfpfi58?uid=3125714091&rl=1
干范小能手a	6382279933	JdhfmBK8s	#宝藏奶奶92岁时签捐赠遗体协议#祝奶奶身体健康 长命百岁 ​	2020年07月28日 12:52		评论		https://weibo.com/6382279933/JdhfmBK8s?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdhfmBK8s?uid=6382279933&rl=1
