用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
曼果妈妈	6370566972	JglNxfk7q	#山下智久暂停演艺活动#不是…辟谣了吗？… ​	2020年08月17日 17:59		评论		https://weibo.com/6370566972/JglNxfk7q?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglNxfk7q?uid=6370566972&rl=1
ETtoday星光雲官方微博	3091626073	JglNvymvD	【带未成年嫩模喝酒开房，#山下智久# 遭停工】O网页链接日本男星山下智久日前被周刊拍到和未成年模特儿喝酒开房，引发各界议论批评。所属公司杰尼斯事务所17日祭出惩罚，山下智久将会暂时「停工」，同时一同相约喝酒的#龟梨和也# 被严重警告。 (agent) #山下智久暂停演艺活动# ​	2020年08月17日 17:58			1	https://weibo.com/3091626073/JglNvymvD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglNvymvD?uid=3091626073&rl=1
海盐·芝士啊	7485207544	JglNr5jOR	#山下智久暂停演艺活动#惹 ​	2020年08月17日 17:58		评论		https://weibo.com/7485207544/JglNr5jOR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglNr5jOR?uid=7485207544&rl=1
快点温州APP	6401103946	JglNp2kIe	#温州身边事# 【浙江永嘉一女子在微信群散布不实信息被拘留】近日瓯北街道一女子沈某却将道听途说的不实信息发布到微信群，称人力客运三轮车主邵某某回收三轮车后获得了8.6万元回收款，和实际回收补贴金额差距较大。因此影响永嘉推进人力客运三轮车回收工作正常开展，目前该女子已被公安机关依法行政拘 ​  展开全文c	2020年08月17日 17:58			1	https://weibo.com/6401103946/JglNp2kIe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglNp2kIe?uid=6401103946&rl=1
王牌密探	6369200091	JglMQac8D	#山下智久暂停演艺活动# 之前因和未成年女生发生不恰当关系的山下智久被杰尼斯事务所宣布暂停演艺活动，并给与当时和山下智久一起的朋友龟梨和也严重警告，这个事务所的处理方式太刚了，啥时国内也可以这样，整顿一下娱乐圈风气 ​	2020年08月17日 17:57	107	104	104	https://weibo.com/6369200091/JglMQac8D?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglMQac8D?uid=6369200091&rl=1
ONEWLEECIA	2730628320	JglMz0PxK	#山下智久暂停演艺活动#唉 jns这样也算好的了 ​	2020年08月17日 17:56		评论		https://weibo.com/2730628320/JglMz0PxK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglMz0PxK?uid=2730628320&rl=1
5cm的朴小特	1911666885	JglMp1mB8	#山下智久暂停演艺活动#以后别出来了 ​	2020年08月17日 17:56		2	1	https://weibo.com/1911666885/JglMp1mB8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglMp1mB8?uid=1911666885&rl=1
杏树还是柚子树	7470113886	JglMopIxq	#山下智久暂停演艺活动#？？？？？？？？？kame？？？？？？？龟梨和也真的是我推过的最倒霉的⭐ 真就锅从天上来呗还隔几年就得来一口这孩哪次道歉是因为自己了kame上辈子是不是欠了你们j才从你j出道的啊 ​	2020年08月17日 17:56		评论		https://weibo.com/7470113886/JglMopIxq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglMopIxq?uid=7470113886&rl=1
快用你无敌的白金之星想想办法吧	7260964756	JglM8oZjy	#山下智久暂停演艺活动#法制咖老男人赶紧去死吧，还不知道祸祸了多少未成年呢 ​	2020年08月17日 17:55			2	https://weibo.com/7260964756/JglM8oZjy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglM8oZjy?uid=7260964756&rl=1
IkunMayGuo	5629684416	JglM7d3yo	#山下智久暂停演艺活动#也只有我们国家的约，p咖还能洗成傻白甜，活佛，三十岁的处男，且还上央？！ ​	2020年08月17日 17:55	1	7	56	https://weibo.com/5629684416/JglM7d3yo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JglM7d3yo?uid=5629684416&rl=1
