用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
鄠邑检察	5369958668	Ji9ml247H	【救援！#山西临汾一饭店坍塌# 预计还有约10人被埋】今天上午9点40分左右，山西临汾市襄汾县一两层饭店发生坍塌，多人被埋。截至中午12点，已救出23人，其中2人不幸遇难。据初步了解，预计还有10人左右被埋。目前救援工作和被埋人员核实工作仍在紧张进行。（央视新闻） L央视新闻的微博视频 ​ ​​​	2020年08月29日 13:59		2	1	https://weibo.com/5369958668/Ji9ml247H?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji9ml247H?uid=5369958668&rl=1
凉眸却很暖	6547402932	Ji9md1bgP	#山西临汾一饭店坍塌#没想到，以这样的方式在rs上看到我大山西，🙏🙏🙏保佑老乡！ ​	2020年08月29日 13:59		评论		https://weibo.com/6547402932/Ji9md1bgP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji9md1bgP?uid=6547402932&rl=1
龙立新Aaron	1278689470	Ji9lNy0nr	【#山西临汾一饭店坍塌致2死# 预计还有约10人被埋】8月29日，山西临汾市襄汾县陶寺乡一两层饭店宴会厅突然坍塌，现场有人员受伤，随后被送往医院进行救治。据当地居民介绍，事发时有一家人正在该饭店举办宴席。另据央视新闻报道，截至中午12点，已救出23人，其中2人不幸遇难。据初步了解，预计还有10人 ​  展开全文c	2020年08月29日 13:58		2	1	https://weibo.com/1278689470/Ji9lNy0nr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji9lNy0nr?uid=1278689470&rl=1
临汾经济开发区萌萌饮品店	1909496335	Ji9lx6S1l	♡看到衣服都是临汾的消防小哥哥，感觉平时还会来店里买喝的，离自己好近，忽然一下出警了感觉好操心！祝你们顺利呀！❤也希望被埋的人赶快出来希望大家都没事，平平安安最重要！#山西临汾一饭店坍塌# O网页链接 ​	2020年08月29日 13:57		评论		https://weibo.com/1909496335/Ji9lx6S1l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji9lx6S1l?uid=1909496335&rl=1
快点温州APP	6401103946	Ji9lqhU7c	【救援！#山西临汾一饭店坍塌# 预计还有约10人被埋】今天上午9点40分左右，山西临汾市襄汾县一两层饭店发生坍塌，多人被埋。截至中午12点，已救出23人，其中2人不幸遇难。据初步了解，预计还有10人左右被埋。目前救援工作和被埋人员核实工作仍在紧张进行。via央视新闻 L央视新闻的微博视频 ​	2020年08月29日 13:57	1	1		https://weibo.com/6401103946/Ji9lqhU7c?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji9lqhU7c?uid=6401103946&rl=1
桓台检察	5463935364	Ji9lgf7NU	【救人！#山西一栋两层饭店坍塌# 已救出23人其中2人遇难 还有10人被埋】8月29日9点40分左右，山西临汾市襄汾县一栋两层饭店发生坍塌，多人被埋。截至中午12点，已救出23人，其中2人不幸遇难。据初步了解，预计还有10人左右被埋。目前救援工作和被埋人员核实工作仍在紧张进行。#山西临汾一饭店坍塌#（北 ​  展开全文c	2020年08月29日 13:57		1		https://weibo.com/5463935364/Ji9lgf7NU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji9lgf7NU?uid=5463935364&rl=1
雁塔检察	5175962664	Ji9lepjQc	【救援！#山西临汾一饭店坍塌# 预计还有约10人被埋】今天上午9点40分左右，山西临汾市襄汾县一两层饭店发生坍塌，多人被埋。截至中午12点，已救出23人，其中2人不幸遇难。据初步了解，预计还有10人左右被埋。目前救援工作和被埋人员核实工作仍在紧张进行。（央视新闻） L央视新闻的微博视频 ​ ​​​	2020年08月29日 13:56		2		https://weibo.com/5175962664/Ji9lepjQc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji9lepjQc?uid=5175962664&rl=1
看度新闻	1879476167	Ji9l18J5l	【#山西临汾一饭店坍塌# 预计还有约10人被埋】今天上午9点40分左右，山西临汾市襄汾县一两层饭店发生坍塌，多人被埋。截至中午12点，已救出23人，其中2人不幸遇难。据初步了解，预计还有10人左右被埋。目前救援工作和被埋人员核实工作仍在紧张进行。  L看度新闻的微博视频 ​	2020年08月29日 13:56		评论		https://weibo.com/1879476167/Ji9l18J5l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji9l18J5l?uid=1879476167&rl=1
青春奚滩	6336682415	Ji9kYwkRi	【救援！#山西临汾一饭店坍塌#】今天上午9点40分左右，山西临汾市襄汾县一两层饭店发生坍塌，多人被埋。截至中午12点，已救出23人，其中2人不幸遇难。据初步了解，预计还有10人左右被埋。目前救援工作和被埋人员核实工作仍在紧张进行。@央视新闻 L央视新闻的微博视频 ​​​	2020年08月29日 13:56	1	评论		https://weibo.com/6336682415/Ji9kYwkRi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji9kYwkRi?uid=6336682415&rl=1
福建日报	3365993480	Ji9kJaz2l	【救援！#山西临汾一饭店坍塌# 预计还有约10人被埋】今天上午9点40分左右，山西临汾市襄汾县一两层饭店发生坍塌，多人被埋。截至中午12点，已救出23人，其中2人不幸遇难。据初步了解，预计还有10人左右被埋。目前救援工作和被埋人员核实工作仍在紧张进行。（央视） L央视新闻的微博视频 ​	2020年08月29日 13:55		评论		https://weibo.com/3365993480/Ji9kJaz2l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji9kJaz2l?uid=3365993480&rl=1
