原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	大猫暖洋洋	2946882373	大猫暖洋洋:张雨绮确实进步挺大的	赞[0]	2020-08-15 19:09:35	来自小米6X 拍人更美
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	不走心丹青	7389589981	不走心丹青:真的好棒呀	赞[0]	2020-08-15 19:09:32	来自nova4自拍极点全面屏
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	安格尔11z	6080339920	安格尔11z:姐姐越来越棒	赞[0]	2020-08-15 19:09:33	来自vivo iQOO生而强悍
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	米salha	7377457662	米salha:进步真的好明显	赞[0]	2020-08-15 19:09:30	来自Android
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	1糖饼	7489604023	1糖饼:怎么这么性感	赞[0]	2020-08-15 19:09:28	来自小米6 拍人更美
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	给我草莓芝芝呀呀	6029449954	给我草莓芝芝呀呀:张雨绮很棒棒哦	赞[0]	2020-08-15 19:09:28	来自iPhone客户端
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	顾魏之笑	7391750183	顾魏之笑:姐姐真的好棒啊，特别美	赞[0]	2020-08-15 19:09:28	来自OPPO超视野全面屏R15
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	A是小绵羊呀	6582884485	A是小绵羊呀:越来越有感觉了	赞[0]	2020-08-15 19:09:51	来自贝壳女孩Android
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	真是漂亮姐姐baby	6473569319	真是漂亮姐姐baby:姐姐真的是太优秀了	赞[0]	2020-08-15 19:09:50	来自脑残粉iPhone客户端
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	回眸三笑666666	6269168329	回眸三笑666666:姐姐真的很棒呀	赞[0]	2020-08-15 19:09:49	来自HUAWEI P30
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	美佳最美	7309256082	美佳最美:不愧是女神	赞[0]	2020-08-15 19:09:46	来自iPhone 6s
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	是恰时啊	6058320996	是恰时啊:确实是棒棒哒啊	赞[0]	2020-08-15 19:09:40	来自小米6X 拍人更美
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	欧阳明日的眼线	5879217583	欧阳明日的眼线:姐姐真的太又实力了	赞[0]	2020-08-15 19:10:02	来自Redmi Note 8 Pro四摄
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	呼啦啦靓靓	6404054096	呼啦啦靓靓:姐姐太优秀了	赞[0]	2020-08-15 19:10:01	来自nova5Pro人像超级夜景
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	再来一次吧_	7336704975	再来一次吧_:小姐姐真是太棒了	赞[0]	2020-08-15 19:10:01	来自华为畅享10 Plus
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	这里是周葅楚芰	3793790365	这里是周葅楚芰:真的进步好大啊	赞[0]	2020-08-15 19:09:57	来自OnePlus 7 Pro
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	陈大哥爱旺仔牛奶	6622614072	陈大哥爱旺仔牛奶:一直非常喜欢呀	赞[0]	2020-08-15 19:09:53	来自iPhone XS Max
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	希尔超爱美食	5765398562	希尔超爱美食:绮绮子进步真的好大！未来可期	赞[0]	2020-08-15 19:10:54	来自OPPO Reno
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	墙头等红杏min	7473197091	墙头等红杏min:雨绮姐姐太优秀了	赞[0]	2020-08-15 19:10:24	来自OPPO Reno
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	信字心中存	7183717140	信字心中存:姐姐太棒啦	赞[0]	2020-08-15 19:10:21	来自OnePlus 6
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	恋夏之桐	7403839846	恋夏之桐:姐姐真的很棒！	赞[0]	2020-08-15 19:10:17	来自OPPO Reno3 5G
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	西瓜籽云	7292050761	西瓜籽云:张雨绮实力强，真棒！	赞[0]	2020-08-15 19:10:12	来自OPPO K3 硬核少年
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	夸夸社	6932397832	夸夸社:真是太美了！再也不顺拐了 	赞[0]	2020-08-15 19:10:11	来自OPPO Reno
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	好乐梦	7240632543	好乐梦:真的太棒了	赞[0]	2020-08-15 19:11:44	来自Redmi Note 8四摄
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	美馨最可爱	7333632259	美馨最可爱:姐姐太棒了	赞[0]	2020-08-15 19:11:32	来自iPhone客户端
娱乐扒星	:#张雨绮舞蹈进步好多#张雨绮跳舞是很有实力的，这次进步更是突破了！姐姐真的很棒！ 	2020-08-15 19:07:56    	萝部卜	3199142240	萝部卜:真的太棒了	赞[0]	2020-08-15 19:11:28	来自Redmi Note 8四摄
