用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
蔡大小姐oO	1686231954	Jfnj0AeAr	接受平庸，承认平凡，是件很难的事吧#戚薇吐槽工作室P图# 2长春 ​	2020年08月11日 07:59			1	https://weibo.com/1686231954/Jfnj0AeAr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfnj0AeAr?uid=1686231954&rl=1
十二点零一分W	6574485135	JfniJ8aFs	#戚薇吐槽工作室P图#哈哈哈哈哈哈哈哈哈哈哈哈哈哈怕不是要笑死我 ​	2020年08月11日 07:58		评论		https://weibo.com/6574485135/JfniJ8aFs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfniJ8aFs?uid=6574485135&rl=1
综艺风	1297819955	JfniJ5XxQ	#戚薇吐槽工作室P图# 你这广角拍出来的也没这么夸张啊，腿细成动画人物了！！ ​	2020年08月11日 07:58	99	99	350	https://weibo.com/1297819955/JfniJ5XxQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfniJ5XxQ?uid=1297819955&rl=1
长大了去卖菜·	6967217527	JfniE6M8l	#戚薇吐槽工作室P图#一直特别喜欢这位姐直率的性格 ​	2020年08月11日 07:58		评论		https://weibo.com/6967217527/JfniE6M8l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfniE6M8l?uid=6967217527&rl=1
粥粥无厘头	6844288157	JfniBnLxZ	#戚薇吐槽工作室P图#哈哈哈哈哈哈哈哈哈哈哈哈hi ​	2020年08月11日 07:58		评论		https://weibo.com/6844288157/JfniBnLxZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfniBnLxZ?uid=6844288157&rl=1
娱乐扒星	2386406982	JfnixiUSG	#戚薇吐槽工作室P图# 这图P的戚薇本人都看不下去了！工作室你们走点心吧！该进修一下了！ ​	2020年08月11日 07:57	114	120	2637	https://weibo.com/2386406982/JfnixiUSG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfnixiUSG?uid=2386406982&rl=1
热心邮局	2886505151	JfniwF5xy	#戚薇吐槽工作室P图#哈哈哈哈哈这是什么可爱发言 L热心邮局的微博视频 ​	2020年08月11日 07:57			1	https://weibo.com/2886505151/JfniwF5xy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfniwF5xy?uid=2886505151&rl=1
KrystallosRosie	5062773986	JfniwF4Ax	#戚薇吐槽工作室P图#戚哥不是一般酷 ​	2020年08月11日 07:57		评论		https://weibo.com/5062773986/JfniwF4Ax?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfniwF4Ax?uid=5062773986&rl=1
-叁玖宝贝-	5774977236	Jfnisy18M	#戚薇吐槽工作室P图#哈哈哈哈哈哈哈哈哈哈哈美女说什么都是对的！ ​	2020年08月11日 07:57		评论		https://weibo.com/5774977236/Jfnisy18M?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfnisy18M?uid=5774977236&rl=1
熊熊熊兰	6244052651	Jfnir5AFu	床上喜欢侧睡的女人，一般有以下几个特征，你中了几个呀？#好物推荐##时尚穿搭##戚薇吐槽工作室P图# 2贵阳 L熊熊熊兰的微博视频 ​	2020年08月11日 07:57		评论		https://weibo.com/6244052651/Jfnir5AFu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfnir5AFu?uid=6244052651&rl=1
貝勒爺的貝貝貝貝貝兒	3941974857	JfniobAnE	#戚薇吐槽工作室P图#哈哈，戚哥真的是有什么说什么，哈哈，威武 ​	2020年08月11日 07:57			1	https://weibo.com/3941974857/JfniobAnE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfniobAnE?uid=3941974857&rl=1
齐楚枫景	3890022524	Jfnih3TXX	#戚薇吐槽工作室P图#真实的不是更好吗？ ​	2020年08月11日 07:57			1	https://weibo.com/3890022524/Jfnih3TXX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfnih3TXX?uid=3890022524&rl=1
M缪婷呀	5304680972	Jfnieqn3C	#戚薇吐槽工作室P图#真是相爱相杀了    戚哥霸气，这大长腿不需要p呀    不过你美你说了算 ​	2020年08月11日 07:57		评论		https://weibo.com/5304680972/Jfnieqn3C?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfnieqn3C?uid=5304680972&rl=1
娱乐圈Queen	3722222407	Jfnie5tfN	#戚薇吐槽工作室P图#哈哈哈哈戚薇个工作室相爱相杀的日常，霸气的戚哥和卑微的工作室，戚薇霸气，这大长腿，根本不需要修图啊！ ​你戚哥不愧是你戚哥 ​	2020年08月11日 07:57	214	282	529	https://weibo.com/3722222407/Jfnie5tfN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jfnie5tfN?uid=3722222407&rl=1
