原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
新浪佛学	:#明年将禁用不可降解塑料袋# 近日，国家发改委、生态环境部等九部门联合印发《关于扎实推进塑料污染治理工作的通知》，提出自明年1月1日起，在直辖市、省会城市、计划单列市城市建成区的商场、超市、药店、书店等场所，餐饮打包外卖服务以及各类展会活动中，禁止使用不可降解塑料购物袋，但是暂不禁止连卷袋、保鲜袋和垃圾袋。你支持吗？ 你支持禁用不可降解塑料袋吗？  【禅意文创.环保帆布袋系列】止语帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人 欢喜帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人云在青天水在瓶帆布书袋欢喜自在帆布包中国风环保袋弘一法师正念书法禅意古风艺术帆布袋书袋中式原创环保袋中国风	2020-07-20 10:50:19    	萧吟清	swordmeanmm	萧吟清:回复@新浪佛学://@新浪佛学:更多款式禅意环保帆布袋/禅意文创等详见新浪佛学微博小店http://t.cn/A6wcvgFA	赞[1]	2020-07-20 11:24:38	来自微博 weibo.com
新浪佛学	:#明年将禁用不可降解塑料袋# 近日，国家发改委、生态环境部等九部门联合印发《关于扎实推进塑料污染治理工作的通知》，提出自明年1月1日起，在直辖市、省会城市、计划单列市城市建成区的商场、超市、药店、书店等场所，餐饮打包外卖服务以及各类展会活动中，禁止使用不可降解塑料购物袋，但是暂不禁止连卷袋、保鲜袋和垃圾袋。你支持吗？ 你支持禁用不可降解塑料袋吗？  【禅意文创.环保帆布袋系列】止语帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人 欢喜帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人云在青天水在瓶帆布书袋欢喜自在帆布包中国风环保袋弘一法师正念书法禅意古风艺术帆布袋书袋中式原创环保袋中国风	2020-07-20 10:50:19    	箫吟清	jennifer629	箫吟清:#明年将禁用不可降解塑料袋#  可以用环保布袋或可降解制品替代我参与了@新浪佛学 发起的【你支持禁用不可降解塑料袋吗？】，我投给了“支持，塑料袋不环保”这个选项，你也快来表态吧~	赞[3]	2020-07-20 10:57:02	来自HUAWEI nova 2
新浪佛学	:#明年将禁用不可降解塑料袋# 近日，国家发改委、生态环境部等九部门联合印发《关于扎实推进塑料污染治理工作的通知》，提出自明年1月1日起，在直辖市、省会城市、计划单列市城市建成区的商场、超市、药店、书店等场所，餐饮打包外卖服务以及各类展会活动中，禁止使用不可降解塑料购物袋，但是暂不禁止连卷袋、保鲜袋和垃圾袋。你支持吗？ 你支持禁用不可降解塑料袋吗？  【禅意文创.环保帆布袋系列】止语帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人 欢喜帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人云在青天水在瓶帆布书袋欢喜自在帆布包中国风环保袋弘一法师正念书法禅意古风艺术帆布袋书袋中式原创环保袋中国风	2020-07-20 10:50:19    	萧吟清	swordmeanmm	萧吟清:#明年将禁用不可降解塑料袋# 我参与了@新浪佛学 发起的【你支持禁用不可降解塑料袋吗？】，我投给了“支持，塑料袋不环保”这个选项，你也快来表态吧~	赞[1]	2020-07-20 10:51:17	来自微博 weibo.com
新浪佛学	:#明年将禁用不可降解塑料袋# 近日，国家发改委、生态环境部等九部门联合印发《关于扎实推进塑料污染治理工作的通知》，提出自明年1月1日起，在直辖市、省会城市、计划单列市城市建成区的商场、超市、药店、书店等场所，餐饮打包外卖服务以及各类展会活动中，禁止使用不可降解塑料购物袋，但是暂不禁止连卷袋、保鲜袋和垃圾袋。你支持吗？ 你支持禁用不可降解塑料袋吗？  【禅意文创.环保帆布袋系列】止语帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人 欢喜帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人云在青天水在瓶帆布书袋欢喜自在帆布包中国风环保袋弘一法师正念书法禅意古风艺术帆布袋书袋中式原创环保袋中国风	2020-07-20 10:50:19    	达宝居士	5721128742	达宝居士://@新浪佛学:欢迎参与投票讨论	赞[0]	2020-07-21 04:22:30	来自iPhone客户端
新浪佛学	:#明年将禁用不可降解塑料袋# 近日，国家发改委、生态环境部等九部门联合印发《关于扎实推进塑料污染治理工作的通知》，提出自明年1月1日起，在直辖市、省会城市、计划单列市城市建成区的商场、超市、药店、书店等场所，餐饮打包外卖服务以及各类展会活动中，禁止使用不可降解塑料购物袋，但是暂不禁止连卷袋、保鲜袋和垃圾袋。你支持吗？ 你支持禁用不可降解塑料袋吗？  【禅意文创.环保帆布袋系列】止语帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人 欢喜帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人云在青天水在瓶帆布书袋欢喜自在帆布包中国风环保袋弘一法师正念书法禅意古风艺术帆布袋书袋中式原创环保袋中国风	2020-07-20 10:50:19    	蔡蔡呀蔡蔡	2165298507	蔡蔡呀蔡蔡:我参与了@新浪佛学 发起的投票【你支持禁用不可降解塑料袋吗？】，我投给了“支持，塑料袋不环保”这个选项，你也快来表态吧~	赞[0]	2020-07-20 22:52:48	来自华为Mate20保时捷设计
新浪佛学	:#明年将禁用不可降解塑料袋# 近日，国家发改委、生态环境部等九部门联合印发《关于扎实推进塑料污染治理工作的通知》，提出自明年1月1日起，在直辖市、省会城市、计划单列市城市建成区的商场、超市、药店、书店等场所，餐饮打包外卖服务以及各类展会活动中，禁止使用不可降解塑料购物袋，但是暂不禁止连卷袋、保鲜袋和垃圾袋。你支持吗？ 你支持禁用不可降解塑料袋吗？  【禅意文创.环保帆布袋系列】止语帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人 欢喜帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人云在青天水在瓶帆布书袋欢喜自在帆布包中国风环保袋弘一法师正念书法禅意古风艺术帆布袋书袋中式原创环保袋中国风	2020-07-20 10:50:19    	秀外慧中_27293	6361528495	秀外慧中_27293:我参与了@新浪佛学 发起的投票【你支持禁用不可降解塑料袋吗？】，我投给了“支持，塑料袋不环保”这个选项，你也快来表态吧~	赞[0]	2020-07-20 22:43:51	来自OPPO Reno
新浪佛学	:#明年将禁用不可降解塑料袋# 近日，国家发改委、生态环境部等九部门联合印发《关于扎实推进塑料污染治理工作的通知》，提出自明年1月1日起，在直辖市、省会城市、计划单列市城市建成区的商场、超市、药店、书店等场所，餐饮打包外卖服务以及各类展会活动中，禁止使用不可降解塑料购物袋，但是暂不禁止连卷袋、保鲜袋和垃圾袋。你支持吗？ 你支持禁用不可降解塑料袋吗？  【禅意文创.环保帆布袋系列】止语帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人 欢喜帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人云在青天水在瓶帆布书袋欢喜自在帆布包中国风环保袋弘一法师正念书法禅意古风艺术帆布袋书袋中式原创环保袋中国风	2020-07-20 10:50:19    	新浪佛学	sinabuddhism	新浪佛学:欢迎参与投票讨论	赞[5]	2020-07-20 22:37:32	来自
新浪佛学	:#明年将禁用不可降解塑料袋# 近日，国家发改委、生态环境部等九部门联合印发《关于扎实推进塑料污染治理工作的通知》，提出自明年1月1日起，在直辖市、省会城市、计划单列市城市建成区的商场、超市、药店、书店等场所，餐饮打包外卖服务以及各类展会活动中，禁止使用不可降解塑料购物袋，但是暂不禁止连卷袋、保鲜袋和垃圾袋。你支持吗？ 你支持禁用不可降解塑料袋吗？  【禅意文创.环保帆布袋系列】止语帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人 欢喜帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人云在青天水在瓶帆布书袋欢喜自在帆布包中国风环保袋弘一法师正念书法禅意古风艺术帆布袋书袋中式原创环保袋中国风	2020-07-20 10:50:19    	慧智来了	huizhilaile	慧智来了:转发微博	赞[0]	2020-07-20 19:08:14	来自官方Android
新浪佛学	:#明年将禁用不可降解塑料袋# 近日，国家发改委、生态环境部等九部门联合印发《关于扎实推进塑料污染治理工作的通知》，提出自明年1月1日起，在直辖市、省会城市、计划单列市城市建成区的商场、超市、药店、书店等场所，餐饮打包外卖服务以及各类展会活动中，禁止使用不可降解塑料购物袋，但是暂不禁止连卷袋、保鲜袋和垃圾袋。你支持吗？ 你支持禁用不可降解塑料袋吗？  【禅意文创.环保帆布袋系列】止语帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人 欢喜帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人云在青天水在瓶帆布书袋欢喜自在帆布包中国风环保袋弘一法师正念书法禅意古风艺术帆布袋书袋中式原创环保袋中国风	2020-07-20 10:50:19    	史前大屁龙	2722354923	史前大屁龙:我参与了@新浪佛学 发起的投票【你支持禁用不可降解塑料袋吗？】，我投给了“支持，塑料袋不环保”这个选项，你也快来表态吧~	赞[0]	2020-07-20 17:33:45	来自iPad air
新浪佛学	:#明年将禁用不可降解塑料袋# 近日，国家发改委、生态环境部等九部门联合印发《关于扎实推进塑料污染治理工作的通知》，提出自明年1月1日起，在直辖市、省会城市、计划单列市城市建成区的商场、超市、药店、书店等场所，餐饮打包外卖服务以及各类展会活动中，禁止使用不可降解塑料购物袋，但是暂不禁止连卷袋、保鲜袋和垃圾袋。你支持吗？ 你支持禁用不可降解塑料袋吗？  【禅意文创.环保帆布袋系列】止语帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人 欢喜帆布袋书袋中式原创帆布袋环保袋中国风书法禅意书袋崇然山人云在青天水在瓶帆布书袋欢喜自在帆布包中国风环保袋弘一法师正念书法禅意古风艺术帆布袋书袋中式原创环保袋中国风	2020-07-20 10:50:19    	西瓜haon	5875930571	西瓜haon:转发微博	赞[0]	2020-07-20 14:45:06	来自荣耀20S
