用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
鱼丫丫	1646436901	Jkjj9rtiA	#李宇春最后一秒含泪捞人# 学员面临淘汰，@李宇春 导师在最后一刻的挽救真的太激动了，但是随着春春拍下按钮，也意味着学员又要开始跟她的战队学员pk了，好声音最强车轮战开启 L微博综艺的微博视频 ​​​	2020年09月12日 18:59		评论		https://weibo.com/1646436901/Jkjj9rtiA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkjj9rtiA?uid=1646436901&rl=1
吧啦啦黑色双肩包	2651567522	Jkjj5BZZj	#李宇春最后一秒含泪捞人# 昨晚《中国好声音》第4期因@李宇春 的一次转身意外触发了一场连环车轮战，面对音乐才子赵紫骅即将被淘汰的局面，在战队已经满员的情况下，内心纠结许久的李宇春最终含泪save他。“这个舞台不就是要替大家留下那个，值得站在这个舞台上的人吗” 。春春对音乐人的疼惜和内心的 ​  展开全文c	2020年09月12日 18:59		评论		https://weibo.com/2651567522/Jkjj5BZZj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkjj5BZZj?uid=2651567522&rl=1
鱼丫丫	1646436901	Jkjj3xWpr	[cp]#李宇春最后一秒含泪捞人##李宇春开启好声音最强车轮战# 因为才华和音乐去选择，留下值得站在这个舞台上的人，专业和感性皆备的李宇春老师[强] L微博综艺的微博视频 ​​​	2020年09月12日 18:59		评论		https://weibo.com/1646436901/Jkjj3xWpr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkjj3xWpr?uid=1646436901&rl=1
不入shicai	1646469195	Jkjj3fdvt	李宇春#李宇春最后一秒含泪捞人#李宇春曾说过，未来是音乐人的时代。爱才惜才，同时又皆具感性，这样的导师我爱了。期待接下来李宇春战队的表现。L新浪综艺的微博视频 ​	2020年09月12日 18:59			2	https://weibo.com/1646469195/Jkjj3fdvt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkjj3fdvt?uid=1646469195&rl=1
Mary-ZHENG	5805195516	JkjiUpulX	现在的你无比的温柔#李宇春最后一秒含泪捞人# ​	2020年09月12日 18:59		评论		https://weibo.com/5805195516/JkjiUpulX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjiUpulX?uid=5805195516&rl=1
青岛玉米工作室	6354907329	JkjiTrPAH	李宇春#李宇春最后一秒含泪捞人#李宇春曾说过，未来是音乐人的时代。爱才惜才，同时又皆具感性，这样的导师我爱了。期待接下来李宇春战队的表现。L新浪综艺的微博视频 ​	2020年09月12日 18:59		评论		https://weibo.com/6354907329/JkjiTrPAH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjiTrPAH?uid=6354907329&rl=1
Bab-Shark	7354454322	JkjiR9tbr	“这个舞台不就是要替大家留下那个，值得站在这个舞台上的人吗”#李宇春最后一秒含泪捞人#感性与理性兼备，爱惜人才也懂得体谅他人的情绪，这样的李宇春导师真的很暖很温柔了！#L新浪综艺的微博视频 ​	2020年09月12日 18:59		评论		https://weibo.com/7354454322/JkjiR9tbr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjiR9tbr?uid=7354454322&rl=1
小潘桃6487182368	6487182368	JkjiPjGb7	#李宇春最后一秒含泪捞人#纠结又不想放弃 ​	2020年09月12日 18:59		评论		https://weibo.com/6487182368/JkjiPjGb7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjiPjGb7?uid=6487182368&rl=1
Bab-Shark	7354454322	JkjiNk0dp	#李宇春最后一秒含泪捞人##李宇春开启好声音最强车轮战# 因为才华和音乐去选择，留下值得站在这个舞台上的人，专业和感性皆备的李宇春老师L微博综艺的微博视频 ​​​	2020年09月12日 18:59		评论		https://weibo.com/7354454322/JkjiNk0dp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjiNk0dp?uid=7354454322&rl=1
-老王养不起猪了	5138375755	JkjiLws9F	#李宇春最后一秒含泪捞人# 李老师真的好好。 ​	2020年09月12日 18:58			1	https://weibo.com/5138375755/JkjiLws9F?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjiLws9F?uid=5138375755&rl=1
早茶月光君	1646970522	JkjiJqaNm	#李宇春最后一秒含泪捞人# 昨晚《中国好声音》第4期因@李宇春 的一次转身意外触发了一场连环车轮战，面对音乐才子赵紫骅即将被淘汰的局面，在战队已经满员的情况下，内心纠结许久的李宇春最终含泪save他。“这个舞台不就是要替大家留下那个，值得站在这个舞台上的人吗” 。春春对音乐人的疼惜和内心的 ​  展开全文c	2020年09月12日 18:58			3	https://weibo.com/1646970522/JkjiJqaNm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjiJqaNm?uid=1646970522&rl=1
Corncy很leng	1648516953	JkjiGbgaH	#李宇春最后一秒含泪捞人#温柔的小双鱼 ​	2020年09月12日 18:58		评论		https://weibo.com/1648516953/JkjiGbgaH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjiGbgaH?uid=1648516953&rl=1
joyceyu310	2993763822	JkjiFywlg	“这个舞台不就是要替大家留下那个，值得站在这个舞台上的人吗”#李宇春最后一秒含泪捞人#感性与理性兼备，爱惜人才也懂得体谅他人的情绪，这样的李宇春导师真的很暖很温柔了！#L新浪综艺的微博视频 ​	2020年09月12日 18:58		评论		https://weibo.com/2993763822/JkjiFywlg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjiFywlg?uid=2993763822&rl=1
ZalaZiaZia	3036540991	JkjiCBcA2	#李宇春最后一秒含泪捞人#“这个舞台不就是要替大家留下那个，值得站在这个舞台上的人吗” 。听到@李宇春 我葱这样说真的好敬佩，首先考虑的是学员能力专业性啊。春春对音乐人的疼惜和内心的善良写在眼神里。感性与理性兼备，爱惜人才也懂得体谅他人的情绪，这样又暖很温柔的李导师很棒！ ​	2020年09月12日 18:58			3	https://weibo.com/3036540991/JkjiCBcA2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjiCBcA2?uid=3036540991&rl=1
小潘桃6487182368	6487182368	JkjiC0SPz	#李宇春最后一秒含泪捞人#春春导师 ​	2020年09月12日 18:58		评论		https://weibo.com/6487182368/JkjiC0SPz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjiC0SPz?uid=6487182368&rl=1
永不老去的爱你	5935196948	Jkjiz3BK0	#李宇春最后一秒含泪捞人# 十五年来，一直很真诚，一直专注于音乐，我真的好爱你@李宇春 ​	2020年09月12日 18:58			2	https://weibo.com/5935196948/Jkjiz3BK0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkjiz3BK0?uid=5935196948&rl=1
西门的四月	1646263800	Jkjipjwtf	#李宇春最后一秒含泪捞人# 春春最后拍下按钮我也松了口气，专业感性又正直善良的李宇春导师谁不爱呢#中国好声音# ​	2020年09月12日 18:58		评论		https://weibo.com/1646263800/Jkjipjwtf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkjipjwtf?uid=1646263800&rl=1
豐埠v聚欅	3264618150	Jkjiki7aS	#李宇春最后一秒含泪捞人#李宇春真是感性而又专业，真性情里透着矜贵，而且言之有物，不油腻不敷衍一句是一句，这么好的导师，中国好声音赚到了。#李宇春开启好声音最强车轮战# ​	2020年09月12日 18:57			2	https://weibo.com/3264618150/Jkjiki7aS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkjiki7aS?uid=3264618150&rl=1
joyceyu310	2993763822	Jkjig8Rey	#李宇春最后一秒含泪捞人##李宇春开启好声音最强车轮战# 因为才华和音乐去选择，留下值得站在这个舞台上的人，专业和感性皆备的李宇春老师L微博综艺的微博视频 ​​​	2020年09月12日 18:57			1	https://weibo.com/2993763822/Jkjig8Rey?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkjig8Rey?uid=2993763822&rl=1
眼镜撒欢儿	1911565735	Jkji6nF32	#李宇春最后一秒含泪捞人##李宇春开启好声音最强车轮战##中国好声音# 作为导师的春春的真情实意让人感动😭，春春真的让人好爱。最爱李宇春现场 ↓ 实力魅力爆棚，天生为舞台而生 O网页链接 ​	2020年09月12日 18:57		评论		https://weibo.com/1911565735/Jkji6nF32?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkji6nF32?uid=1911565735&rl=1
Lee一帆风顺	6416503574	Jkji6bA4Q	#李宇春最后一秒含泪捞人#李宇春 真正热爱音乐的李宇春呀！ ​	2020年09月12日 18:57		评论		https://weibo.com/6416503574/Jkji6bA4Q?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkji6bA4Q?uid=6416503574&rl=1
文艺青年沉醉	1646350562	Jkji5f1xk	#李宇春最后一秒含泪捞人##李宇春开启好声音最强车轮战# 因为才华和音乐去选择，留下值得站在这个舞台上的人，专业和感性皆备的李宇春老师真的闪闪发光L微博综艺的微博视频 ​​​	2020年09月12日 18:57		评论		https://weibo.com/1646350562/Jkji5f1xk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkji5f1xk?uid=1646350562&rl=1
粉转黑啊	5225567844	JkjhXwOvJ	#李宇春最后一秒含泪捞人#渣男#李宇春# ​	2020年09月12日 18:57	1	4	2	https://weibo.com/5225567844/JkjhXwOvJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjhXwOvJ?uid=5225567844&rl=1
未来茫茫野蛮生长	3631853110	JkjhWCvkM	#李宇春最后一秒含泪捞人# 李宇春小哭包 ​	2020年09月12日 18:56			2	https://weibo.com/3631853110/JkjhWCvkM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjhWCvkM?uid=3631853110&rl=1
西瓜娱乐	6511173552	JkjhVw2xl	#李宇春最后一秒含泪捞人# 昨晚《中国好声音》第4期因@李宇春 的一次转身意外触发了一场连环车轮战，面对音乐才子赵紫骅即将被淘汰的局面，在战队已经满员的情况下，内心纠结许久的李宇春最终含泪save他。春春的那种纠结、不甘、以及害怕错失人才的那种遗憾都在里面了，看的泪目了   ​  展开全文c	2020年09月12日 18:56	284	328	6157	https://weibo.com/6511173552/JkjhVw2xl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjhVw2xl?uid=6511173552&rl=1
程程LOVE葱	1927970395	JkjhSh92I	#李宇春最后一秒含泪捞人# 因为才华和音乐去选择，留下值得站在这个舞台上的人，这期节目让大家看到了不一样的李宇春，有血有肉真性情的样子，李宇春老师真的是又专业又有格局，关键还很漂亮！！！ ​​​@李宇春 ​	2020年09月12日 18:56			4	https://weibo.com/1927970395/JkjhSh92I?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjhSh92I?uid=1927970395&rl=1
lilil娜娜	2094886334	JkjhOqzld	#李宇春最后一秒救下赵紫骅# 春春@李宇春 在好声音节目中，展露真性情，在最后一秒经历了无比的纠结之后，选择救下了@赵紫骅 ，春春的那种纠结、不甘、以及害怕错失人才的那种遗憾都在里面了，春春看着和自己一样倔强的追梦人，想尽力地帮帮忙 的样子太让人泪目了#李宇春最后一秒含泪捞人# ​  展开全文c	2020年09月12日 18:56			1	https://weibo.com/2094886334/JkjhOqzld?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjhOqzld?uid=2094886334&rl=1
李总的闺蜜	6584693233	JkjhM0wDj	#李宇春最后一秒含泪捞人# “这个舞台不就是要替大家留下那个，值得站在这个舞台上的人吗”感性与理性兼备，爱惜人才也懂得体谅他人的情绪，这样的李宇春导师真的很暖很温柔了！#L新浪综艺的微博视频 ​	2020年09月12日 18:56		评论		https://weibo.com/6584693233/JkjhM0wDj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkjhM0wDj?uid=6584693233&rl=1
Lee淡淡地	5212962460	Jkjhys3aB	#李宇春最后一秒含泪捞人#春春不忍学员离开抱憾舞台，纠结挣扎到热泪盈眶，同时还不忘向自己的学员表达愧疚，这样的春春导师温柔又强大，给学员足够的尊重真诚@李宇春 ​​​L微博综艺的微博视频 ​​ ​​​	2020年09月12日 18:55		评论		https://weibo.com/5212962460/Jkjhys3aB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkjhys3aB?uid=5212962460&rl=1
