用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
糖糖爱吃糖糖1	6077318785	JkTr5CtrT	#李荣浩炎亚纶悼念黄鸿升#我想要的团队不会再重聚了 ​	2020年09月16日 14:58			4	https://weibo.com/6077318785/JkTr5CtrT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkTr5CtrT?uid=6077318785&rl=1
新娱儿	6329109290	JkTqGhdow	#杨丞琳悼念黄鸿升#9月16日，36岁的台湾艺人黄鸿升（小鬼）意外去世，其生前好友纷纷发文悼念，除@李荣浩 外，曾和黄鸿升合作过的@炎亞綸_AaronYan 发文称，“鬼，抱歉我没有经常和你聚，但谢谢你在《霹雳MIT》中照顾我和鬼鬼（吴映洁），很难过，希望你一路走好。据台湾警方透露，初步判断黄鸿升死 ​  展开全文c	2020年09月16日 14:57	4	6	29	https://weibo.com/6329109290/JkTqGhdow?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkTqGhdow?uid=6329109290&rl=1
影视看看剧	2932048111	JkTqozwBQ	#李荣浩炎亚纶悼念黄鸿升# 好好的一个人…就………没了#黄鸿升父亲发声#黄父表示儿子前一天才和家人聚在一起吃饭，不知道为什么会发生这样的事… ​	2020年09月16日 14:56		评论		https://weibo.com/2932048111/JkTqozwBQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkTqozwBQ?uid=2932048111&rl=1
圈妹娱乐	2855371344	JkTq8xIx0	#杨丞琳悼念黄鸿升#他们是彼此的初恋，互相经历了彼此的青春，最后在分手后成为了家人。杨丞琳说她无法形容自己有多难过，那个在高中帮她做作业的男孩走了，希望她节哀。除此之外李荣浩和炎亚纶也在社交平台悼念了黄鸿升。#李荣浩炎亚纶悼念黄鸿升# L圈妹娱乐的微博视频 ​	2020年09月16日 14:56	129	101	203	https://weibo.com/2855371344/JkTq8xIx0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkTq8xIx0?uid=2855371344&rl=1
·BX_林空鹿饮溪·	5252490381	JkTpQxkVl	#李荣浩炎亚纶悼念黄鸿升#一路走好。人生总是充满意外，这样的结局真的好难接受 ​	2020年09月16日 14:55			1	https://weibo.com/5252490381/JkTpQxkVl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkTpQxkVl?uid=5252490381&rl=1
维夏只影	5326595111	JkTppovJQ	#李荣浩炎亚纶悼念黄鸿升#太可惜了 ​	2020年09月16日 14:54		评论		https://weibo.com/5326595111/JkTppovJQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkTppovJQ?uid=5326595111&rl=1
今日女报	1297954675	JkTp0iDfD	#黄鸿升父亲发声##李荣浩炎亚纶悼念黄鸿升# 16日，#黄鸿升去世#消息曝光后，黄父表示儿子前一天才和家人聚在一起吃饭，不知道为什么会发生这样的事。据悉，小鬼死亡现场并没有打斗痕迹，死因有待进一步厘清。李荣浩、炎亚纶纷纷发文悼念黄鸿升，“我真的不敢相信，这么好的人，朋友一路走好”，“鬼， ​  展开全文c	2020年09月16日 14:53		评论		https://weibo.com/1297954675/JkTp0iDfD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkTp0iDfD?uid=1297954675&rl=1
关于他的一切她都记得	5234943274	JkToZ7NZL	#李荣浩炎亚纶悼念黄鸿升#2021快来吧 ​	2020年09月16日 14:53		评论		https://weibo.com/5234943274/JkToZ7NZL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkToZ7NZL?uid=5234943274&rl=1
jiro_吾宁	5645546331	JkToKhV6l	#李荣浩炎亚纶悼念黄鸿升#真的明天和意外不知道哪个先来？ ​	2020年09月16日 14:52		2	2	https://weibo.com/5645546331/JkToKhV6l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkToKhV6l?uid=5645546331&rl=1
娱贩子	3884293614	JkToadSn0	#李荣浩炎亚纶悼念黄鸿升##黄鸿升去世# 据台媒报道年仅36岁的小鬼黄鸿升去世，其经纪人已证实该噩耗，死因为浴室滑倒撞头，无人发现不幸去世。李荣浩、炎亚纶发文悼念太突然了吧。 ​	2020年09月16日 14:51	117	119	810	https://weibo.com/3884293614/JkToadSn0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkToadSn0?uid=3884293614&rl=1
