用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
合肥徽商广播	1727747885	JgUKUoq0k	【广西钦州一#村支书用脚接待村民被停职#】8月20日，广西钦州灵山县伯劳镇官方微信公众号“灵山伯劳发布”发布消息：2020年8月19日，有关媒体发布了题为《视频热传！钦州一村支书用脚“接待”村民，镇政府发声…》的信息及视频。伯劳镇党委、政府知悉后，立即召开镇党委会议，决定对伯劳村支书陈 ​  展开全文c	2020年08月21日 10:58			1	https://weibo.com/1727747885/JgUKUoq0k?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUKUoq0k?uid=1727747885&rl=1
房天下徐州	6433020724	JgUKNBFRo	【广西钦州一#村支书用脚接待村民被停职#】看了图片觉得这种态度确实还挺不尊重人 ​	2020年08月21日 10:58		评论		https://weibo.com/6433020724/JgUKNBFRo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUKNBFRo?uid=6433020724&rl=1
蜡笔三小新	7245770402	JgUKHjUZq	#村支书用脚接待村民被停职#是为人民服务的  为什么这么高傲 ​	2020年08月21日 10:58		评论		https://weibo.com/7245770402/JgUKHjUZq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUKHjUZq?uid=7245770402&rl=1
蓝鲸财经记者工作平台	1885454921	JgUKz6Vnb	【鲸视频：#村支书用脚接待村民被停职# 】近日，网曝广西钦州市灵山县村民反映问题时，村支书不理不睬，双脚放在桌上态度傲慢。8月20日晚，广西钦州灵山县伯劳镇官方通报称，决定对伯劳村支书陈某作出暂时停职处理，镇纪委、组织等部门组成工作组开展调查。@时间视频 L时间视频的微博视频 ​​​	2020年08月21日 10:57	19	50	29	https://weibo.com/1885454921/JgUKz6Vnb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUKz6Vnb?uid=1885454921&rl=1
文明大兴	2646882747	JgUKjbJ7f	【#村支书用脚接待村民被停职# 】近日，网曝广西钦州市灵山县村民反映问题时，村支书不理不睬，双脚放在桌上态度傲慢。8月20日晚，广西钦州灵山县伯劳镇官方通报称，决定对伯劳村支书陈某作出暂时停职处理，镇纪委、组织等部门组成工作组开展调查。@时间视频 L时间视频的微博视频 ​	2020年08月21日 10:57	2	2	2	https://weibo.com/2646882747/JgUKjbJ7f?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUKjbJ7f?uid=2646882747&rl=1
乐活仁寿	5562766319	JgUKiuzZ5	【#村支书用脚接待村民被停职# 】近日，网曝广西钦州市灵山县村民反映问题时，村支书不理不睬，双脚放在桌上态度傲慢。8月20日晚，广西钦州灵山县伯劳镇官方通报称，决定对伯劳村支书陈某作出暂时停职处理，镇纪委、组织等部门组成工作组开展调查。 L时间视频的微博视频 ​	2020年08月21日 10:57			1	https://weibo.com/5562766319/JgUKiuzZ5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUKiuzZ5?uid=5562766319&rl=1
新浪视频	1640601392	JgUK0cBGq	【#村支书用脚接待村民被停职# 纪委、组织等部门开展调查】近日，网曝广西钦州市灵山县村民反映问题时，村支书不理不睬，双脚放在桌上态度傲慢。8月20日晚，广西钦州灵山县伯劳镇官方通报称，决定对伯劳村支书陈某作出暂时停职处理，镇纪委、组织等部门组成工作组开展调查。@时间视频  ​  展开全文c	2020年08月21日 10:56	19	45	65	https://weibo.com/1640601392/JgUK0cBGq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUK0cBGq?uid=1640601392&rl=1
重庆巴南法院	3929121882	JgUJXBf0Z	【广西钦州一#村支书用脚接待村民被停职#】8月20日，广西钦州灵山县伯劳镇官方微信公众号“灵山伯劳发布”发布消息：2020年8月19日，有关媒体发布了题为《视频热传！钦州一村支书用脚“接待”村民，镇政府发声…》的信息及视频。伯劳镇党委、政府知悉后，立即召开镇党委会议，决定对伯劳村支书陈 ​  展开全文c	2020年08月21日 10:56	2	10	4	https://weibo.com/3929121882/JgUJXBf0Z?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUJXBf0Z?uid=3929121882&rl=1
黄龙检察	3540153945	JgUJycIvo	【广西钦州一#村支书用脚接待村民被停职#】8月20日，广西钦州灵山县伯劳镇官方微信公众号“灵山伯劳发布”发布消息：2020年8月19日，有关媒体发布了题为《视频热传！钦州一村支书用脚“接待”村民，镇政府发声…》的信息及视频。伯劳镇党委、政府知悉后，立即召开镇党委会议，决定对伯劳村支书陈 ​  展开全文c	2020年08月21日 10:55		18	5	https://weibo.com/3540153945/JgUJycIvo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUJycIvo?uid=3540153945&rl=1
观看世界的Emily	5769933603	JgUJorxIp	#村支书用脚接待村民被停职#这个用脚接待我很好奇是怎么个接待法？难道能用脚泡茶？ 你觉得这个村支书最后会怎么处理 ​	2020年08月21日 10:55	28	131	21280	https://weibo.com/5769933603/JgUJorxIp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUJorxIp?uid=5769933603&rl=1
我是丑丑不孤单	6411194807	JgUJhkXGU	#村支书用脚接待村民被停职#真把自己当“土皇帝”了，平时还不知道怎么傲慢无理呢就这还指望给村民办实事 ​	2020年08月21日 10:54			3	https://weibo.com/6411194807/JgUJhkXGU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUJhkXGU?uid=6411194807&rl=1
闲云战鹤	1646441593	JgUJ8cwOl	#村支书用脚接待村民被停职#对于这类不把群众放在心上的村支书，就该从严从重从快处置。 ​	2020年08月21日 10:54		1	4	https://weibo.com/1646441593/JgUJ8cwOl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgUJ8cwOl?uid=1646441593&rl=1
