用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
新片毒评	6423177573	JkzpG17Qq	#欧阳娜娜小鹿斑比私服设计# 天哪！这个小鹿斑比系列还在我们这里掀起了不小的潮流，竟然是欧阳娜娜自己设计的，她小小年纪太厉害了吧#欧阳娜娜小鹿斑比私服 好看# ​	2020年09月14日 11:59	35	90	103	https://weibo.com/6423177573/JkzpG17Qq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkzpG17Qq?uid=6423177573&rl=1
票房观察团	6416084265	JkzpF6Na3	#欧阳娜娜小鹿斑比私服设计# 这个系列没想到是欧阳娜娜设计的，真的足够惊喜特别！娜比有心了，今天是羡慕粉丝的一天！#欧阳娜娜小鹿斑比私服 好看# ​	2020年09月14日 11:59	24	94	108	https://weibo.com/6416084265/JkzpF6Na3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkzpF6Na3?uid=6416084265&rl=1
圈报姐	5582798337	JkzpEwfjS	#欧阳娜娜小鹿斑比私服设计# 期待欧阳娜娜再出新设计吗？ 期待欧阳娜娜再出新设计吗？ ​	2020年09月14日 11:59	40	39	47	https://weibo.com/5582798337/JkzpEwfjS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkzpEwfjS?uid=5582798337&rl=1
赵毅论房	2017862131	JkzpDyELu	李红亮#欧阳娜娜小鹿斑比私服设计#看来，对动物的爱，不但让欧阳娜娜喜欢亲近小动物，还会因此成为原创品牌的鲜明特色呢！欧阳娜娜动物系列爱的产品，你喜欢吗？ 欧阳娜娜设计动物系列产品推出市场，您会买吗？ ​	2020年09月14日 11:59			4	https://weibo.com/2017862131/JkzpDyELu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkzpDyELu?uid=2017862131&rl=1
兰州微故事	1651931913	JkzpAEB84	#欧阳娜娜小鹿斑比私服设计# ​​​ 长得好看，怎么穿都好看，外在和内在，都需要努力。 ​	2020年09月14日 11:59		评论		https://weibo.com/1651931913/JkzpAEB84?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkzpAEB84?uid=1651931913&rl=1
天津财经大学考研酱	7491669248	JkzpvC7B3	#欧阳娜娜小鹿斑比私服设计# 我真是太爱欧阳娜娜了欧阳娜娜 ​	2020年09月14日 11:59		评论		https://weibo.com/7491669248/JkzpvC7B3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkzpvC7B3?uid=7491669248&rl=1
越来越好的姑凉	7073180191	JkzpusnbK	#欧阳娜娜小鹿斑比私服设计#如果要get√同款的话，去哪里买呀这个。我能不能穿到呢？也想美美美的我 ​	2020年09月14日 11:59			1	https://weibo.com/7073180191/JkzpusnbK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkzpusnbK?uid=7073180191&rl=1
Arildeer-	7196094300	Jkzptz8Hn	#欧阳娜娜小鹿斑比私服设计#这个系列我爱！！ ​	2020年09月14日 11:59		评论		https://weibo.com/7196094300/Jkzptz8Hn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkzptz8Hn?uid=7196094300&rl=1
papi时尚	6421759708	Jkzptfmzu	#欧阳娜娜小鹿斑比私服设计# 欧阳娜娜一直是时尚风向标，很多年轻人都很喜欢她的穿衣风格，每次她穿的衣服都会被疯狂安利，这次直接自己设计出了一个系列的私服，像娜娜这种跨界女明星真的不多见了。说实话这次的设计很好看，风格也很好，欧阳娜娜风为什么不能专门成为一个风格呢？ ​	2020年09月14日 11:59	28	94	105	https://weibo.com/6421759708/Jkzptfmzu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkzptfmzu?uid=6421759708&rl=1
兴趣八卦	2489440764	Jkzpk6Trh	#欧阳娜娜小鹿斑比私服设计#真的是超级优秀滴女孩纸呀，有想法全能实现，简直就是完美，支持娜比的设计，真的好好看哦。 ​​​​	2020年09月14日 11:59	89	165	689	https://weibo.com/2489440764/Jkzpk6Trh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkzpk6Trh?uid=2489440764&rl=1
hinly娱樂	6745971336	JkzpedmUx	欧阳娜娜小鹿斑比私服设计清新少女娜比上线，穿搭日常清新，令人心动，如同小女孩梦境中的想象。#欧阳娜娜小鹿斑比私服设计# ​	2020年09月14日 11:58	1	2	4	https://weibo.com/6745971336/JkzpedmUx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkzpedmUx?uid=6745971336&rl=1
八卦话	5043857925	JkzpcFaPE	#欧阳娜娜小鹿斑比私服设计#欧阳娜娜的粉丝们接受我的嫉妒吧！！娜比把自己最喜欢的小鹿斑比元素融入私服设计送给粉丝，我好酸 ​	2020年09月14日 11:58	22	95	95	https://weibo.com/5043857925/JkzpcFaPE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkzpcFaPE?uid=5043857925&rl=1
奇趣综汇	1691941753	Jkzpd1qHB	#欧阳娜娜小鹿斑比私服设计#真的是超级优秀滴女孩纸呀，有想法全能实现，简直就是完美，支持娜比的设计，真的好好看哦。 ​	2020年09月14日 11:58	83	144	1675	https://weibo.com/1691941753/Jkzpd1qHB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkzpd1qHB?uid=1691941753&rl=1
