用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
最好别吃辣rrr	5712634471	JijzxqrOG	#深圳翻身地铁站#突然热搜？？？ ​	2020年08月30日 15:59		1	1	https://weibo.com/5712634471/JijzxqrOG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JijzxqrOG?uid=5712634471&rl=1
那再不再见	5737462998	JijzejBPW	#深圳翻身地铁站#九月翻身拜托啦 ​	2020年08月30日 15:58		评论		https://weibo.com/5737462998/JijzejBPW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JijzejBPW?uid=5737462998&rl=1
霞光万道198801	7123614820	Jijz9ujz0	#深圳翻身地铁站#给人们带来了便捷   感谢 ​	2020年08月30日 15:58		评论		https://weibo.com/7123614820/Jijz9ujz0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jijz9ujz0?uid=7123614820&rl=1
海绵宝宝没有牙呀	3320586495	JijyZtKBo	#深圳翻身地铁站#想去翻身站走一走 ​	2020年08月30日 15:58			1	https://weibo.com/3320586495/JijyZtKBo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JijyZtKBo?uid=3320586495&rl=1
青青smile_	1574718373	JijyD5O7y	#深圳翻身地铁站# ​	2020年08月30日 15:57		评论		https://weibo.com/1574718373/JijyD5O7y?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JijyD5O7y?uid=1574718373&rl=1
今天zyf瘦了吗	2607918811	Jijyv773O	#深圳翻身地铁站#…？哈？？ ​	2020年08月30日 15:57		评论		https://weibo.com/2607918811/Jijyv773O?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jijyv773O?uid=2607918811&rl=1
谨言慎行的阿柯	5727782037	Jijyl3cWl	#深圳翻身地铁站#刚好昨天半顺路去打卡了一下哈哈哈，希望我能咸鱼翻身 ​	2020年08月30日 15:56		评论		https://weibo.com/5727782037/Jijyl3cWl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jijyl3cWl?uid=5727782037&rl=1
妃伶	2660726917	Jijy2ravE	#深圳翻身地铁站# ​	2020年08月30日 15:55		评论		https://weibo.com/2660726917/Jijy2ravE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jijy2ravE?uid=2660726917&rl=1
想草草了	5504838073	JijxOttLG	#深圳翻身地铁站#坐地铁去补习每次都要经过这个站 怎么突然上rs了哈哈哈哈 ​	2020年08月30日 15:55			1	https://weibo.com/5504838073/JijxOttLG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JijxOttLG?uid=5504838073&rl=1
雅妹儿-iPhone专家	5227385287	JijxLzrmP	#深圳翻身地铁站#我住这3年了。。。 ​	2020年08月30日 15:55		评论		https://weibo.com/5227385287/JijxLzrmP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JijxLzrmP?uid=5227385287&rl=1
蟹老板爱卖萌	3710218170	JijxAmU5h	#深圳翻身地铁站##蟹老板爱卖萌# 深圳有趣的地铁站站名 L蟹老板爱卖萌的微博视频 ​	2020年08月30日 15:54	39	110	211	https://weibo.com/3710218170/JijxAmU5h?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JijxAmU5h?uid=3710218170&rl=1
小宇啊b	6912331045	Jijxv2OUy	在深圳，先走创业一路，创业如果失败就走翻身路.翻完身了再走创业二路，最后创业成功 走宝石路登上人生巅峰#深圳翻身地铁站# ​	2020年08月30日 15:54	114	72	815	https://weibo.com/6912331045/Jijxv2OUy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jijxv2OUy?uid=6912331045&rl=1
叫我fancy好啦	5891887965	JijwTqyE4	#深圳翻身地铁站#尼瑪 這明明是我之前最經常做的地鐵站 突然上熱搜感覺：嗯？有這個站？有點陌生？ ​	2020年08月30日 15:53		2		https://weibo.com/5891887965/JijwTqyE4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JijwTqyE4?uid=5891887965&rl=1
欧神驾到OOO	2995080850	JijuBiJC7	#深圳翻身地铁站#哦哦 2保定·安新县 ​	2020年08月30日 15:47		评论		https://weibo.com/2995080850/JijuBiJC7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JijuBiJC7?uid=2995080850&rl=1
我会很勇敢59	7083926182	JijuzeD1F	#深圳翻身地铁站# ​	2020年08月30日 15:47		评论		https://weibo.com/7083926182/JijuzeD1F?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JijuzeD1F?uid=7083926182&rl=1
兰小兰同学	5214237019	Jijulmo6U	#深圳翻身地铁站#翻身！昨天刚去。 2深圳·哈尔滨工业大学深圳研究生院 ​	2020年08月30日 15:46		评论		https://weibo.com/5214237019/Jijulmo6U?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jijulmo6U?uid=5214237019&rl=1
