用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
云南共青团	1761616742	JcSW5rAWc	【#港生申请内地大学比率创9年新高#】2019年的“修例风波”破坏香港社会秩序，制造社会撕裂，求学环境也受到损害扰乱。今年，有更多香港学生选择到内地升学，申请内地大学比率创9年新高。港生渴望得到一张安静书桌，期待更开放的学术交流。 L央视新闻的微博视频 ​	2020年07月25日 22:59	3		5	https://weibo.com/1761616742/JcSW5rAWc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSW5rAWc?uid=1761616742&rl=1
2021好运来冲上岸	2126452232	JcSVEAkbk	#港生申请内地大学比率创9年新高# 看到就很痛心别人轻而易举在内地上名校，拿奖学金。奈何我不是而已 ​	2020年07月25日 22:58			13	https://weibo.com/2126452232/JcSVEAkbk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSVEAkbk?uid=2126452232&rl=1
果然有才	1015302932	JcSVg2QnB	【#港生申请内地大学比率创9年新高#】2019年的“修例风波”破坏香港社会秩序，制造社会撕裂，求学环境也受到损害扰乱。今年，有更多香港学生选择到内地升学，申请内地大学比率创9年新高。港生渴望得到一张安静书桌，期待更开放的学术交流。 L央视新闻的微博视频 ​	2020年07月25日 22:57		评论		https://weibo.com/1015302932/JcSVg2QnB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSVg2QnB?uid=1015302932&rl=1
从从从从从从心	5459139280	JcSUQE47D	#港生申请内地大学比率创9年新高#這不是說明內地大學搞得更好了嗎⋯⋯？學校給的所謂「特權」也就是把必修的政治課改成選修，不上的話必修課學分績相較低很多，去北方上學更是有事問輔導員問啥啥不知 ​	2020年07月25日 22:56			1	https://weibo.com/5459139280/JcSUQE47D?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSUQE47D?uid=5459139280&rl=1
台湾那点事儿	6067139463	JcSUDADCr	【#港生申请内地大学比率创9年新高#】2019年的“修例风波”破坏香港社会秩序，制造社会撕裂，求学环境也受到损害扰乱。今年，有更多香港学生选择到内地升学，申请内地大学比率创9年新高。港生渴望得到一张安静书桌，期待更开放的学术交流。 L央视新闻的微博视频 ​	2020年07月25日 22:56	10	114	294	https://weibo.com/6067139463/JcSUDADCr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSUDADCr?uid=6067139463&rl=1
四级警长	3382806064	JcSUCs10c	【#港生申请内地大学比率创9年新高#】2019年的“修例风波”破坏香港社会秩序，制造社会撕裂，求学环境也受到损害扰乱。今年，有更多香港学生选择到内地升学，申请内地大学比率创9年新高。港生渴望得到一张安静书桌，期待更开放的学术交流。 警长微评：大陆的吸引力将远超香港。L央视新闻的微博视频 ​	2020年07月25日 22:55	2	2	9	https://weibo.com/3382806064/JcSUCs10c?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSUCs10c?uid=3382806064&rl=1
Super-Bluecat-遇上你	5696852975	JcSUaC2EB	#港生申请内地大学比率创9年新高#求公平录取。别又录取进来一群爹 ​	2020年07月25日 22:54		1	73	https://weibo.com/5696852975/JcSUaC2EB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSUaC2EB?uid=5696852975&rl=1
我喜欢张艺兴的track	6502769931	JcSU4qRBm	#港生申请内地大学比率创9年新高#给大家讲个故事 我高三就上了三个月的课 ​	2020年07月25日 22:54		1		https://weibo.com/6502769931/JcSU4qRBm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSU4qRBm?uid=6502769931&rl=1
风影墨寒	2006216373	JcSTSoqp2	#港生申请内地大学比率创9年新高#也就是说比十年前低呗 ​	2020年07月25日 22:54			1	https://weibo.com/2006216373/JcSTSoqp2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSTSoqp2?uid=2006216373&rl=1
伍柒最近想旅行	1732161577	JcSTDjaJd	#港生申请内地大学比率创9年新高#不接受真的，你们不去街上挣外快了吗？ 2北京 ​	2020年07月25日 22:53			6	https://weibo.com/1732161577/JcSTDjaJd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSTDjaJd?uid=1732161577&rl=1
胡图图来也	6559709493	JcSTskVQZ	#港生申请内地大学比率创9年新高#也不知道多少两面人，当面一套背后一套 ​	2020年07月25日 22:53		评论		https://weibo.com/6559709493/JcSTskVQZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSTskVQZ?uid=6559709493&rl=1
鄂尔多斯新闻网	1646760902	JcST0yhvp	#鄂尔多斯身边事# 【#内蒙古4名初中毕业生溺亡#】记者从内蒙古自治区阿荣旗政府获悉，当地6名初中毕业生24日溺水，经过20多小时的救援打捞，最终确定4人死亡。目前，相关部门已成立4个工作组，一对一做好遇难学生的善后工作。（via新华社）【#西班牙传奇球星哈维确诊新冠#，接受隔离】7月25日 ​  展开全文c	2020年07月25日 22:51	1		3	https://weibo.com/1646760902/JcST0yhvp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcST0yhvp?uid=1646760902&rl=1
赫章政法	6155280701	JcSSYuddt	【#港生申请内地大学比率创9年新高#】 L央视新闻的微博视频 ​	2020年07月25日 22:51		评论		https://weibo.com/6155280701/JcSSYuddt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSSYuddt?uid=6155280701&rl=1
smile淡忘123	2565843624	JcSSYdFf3	#港生申请内地大学比率创9年新高#进来的必须要经过严审，不要让一颗老鼠屎进来。 ​	2020年07月25日 22:51			7	https://weibo.com/2565843624/JcSSYdFf3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSSYdFf3?uid=2565843624&rl=1
法务老司机	1497460042	JcSSWaHKs	#港生申请内地大学比率创9年新高#从归化的角度来看，港生录取标准应该降低到和国际生一个标准，这样做有利于对港岛管理的长远利益。这比招收国际生的利益更有价值，也更迫切。建议国家对此降低标准！ ​	2020年07月25日 22:51	10	7	6	https://weibo.com/1497460042/JcSSWaHKs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSSWaHKs?uid=1497460042&rl=1
兔子是锦鲤本鲤YTZ	5951375637	JcSSC1RWk	#港生申请内地大学比率创9年新高#？他们不知道内地大学要学马原毛概史纲思政吗？ ​	2020年07月25日 22:51		3	15	https://weibo.com/5951375637/JcSSC1RWk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSSC1RWk?uid=5951375637&rl=1
鲜虾鱼板面放弃在游乐场收集道具	3749318895	JcSSB7vZM	#港生申请内地大学比率创9年新高#按照内地学生一样的录取标准，学校需注意其思想教育，另外，严格审查是否参与暴乱 ​	2020年07月25日 22:50			7	https://weibo.com/3749318895/JcSSB7vZM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSSB7vZM?uid=3749318895&rl=1
朱家一屉包	5949255088	JcSS9DwXp	#港生申请内地大学比率创9年新高#统一录取标准，不要再搞人种歧视就行了🙃 ​	2020年07月25日 22:49		评论		https://weibo.com/5949255088/JcSS9DwXp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSS9DwXp?uid=5949255088&rl=1
网红先走我段后	1728885872	JcSRZj82P	#港生申请内地大学比率创9年新高# 港生申请内地大学比率创9年新高,  O港生申请内地大学比率创9年新高 ​	2020年07月25日 22:49		1	1	https://weibo.com/1728885872/JcSRZj82P?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSRZj82P?uid=1728885872&rl=1
接近人士	3306750891	JcSRP248e	#港生申请内地大学比率创9年新高#没有暴动记录的学生欢迎过来啊，大家还是好朋友。只是别降低标准录取。让他们和大陆学生一样就好啦。我们不太了解香港文化，降低标准至少有两个问题。一是废青又会趁机说我们歧视。二是对大陆学生也不太公平。 ​	2020年07月25日 22:49			4	https://weibo.com/3306750891/JcSRP248e?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSRP248e?uid=3306750891&rl=1
可乐不加奶_	7011530298	JcSRDcMeb	#港生申请内地大学比率创9年新高#好好查查，别让臭虫、蟑螂，外国的狗腿子进来了 ​	2020年07月25日 22:48		评论		https://weibo.com/7011530298/JcSRDcMeb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSRDcMeb?uid=7011530298&rl=1
自贡共青团	2119083587	JcSRuzcZU	【#港生申请内地大学比率创9年新高#】2019年的“修例风波”破坏香港社会秩序，制造社会撕裂，求学环境也受到损害扰乱。今年，有更多香港学生选择到内地升学，申请内地大学比率创9年新高。港生渴望得到一张安静书桌，期待更开放的学术交流。 L央视新闻的微博视频 ​​​	2020年07月25日 22:48		评论		https://weibo.com/2119083587/JcSRuzcZU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcSRuzcZU?uid=2119083587&rl=1
