原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	XXhhhss123	3616742627	XXhhhss123:十年前的总决赛记忆犹新	赞[0]	2020-09-13 10:58:25	来自iPhone客户端
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	burnin8	5891823298	burnin8:转发微博	赞[0]	2020-09-13 10:58:21	来自vivo NEX AI智慧旗舰
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	小赵同学啊喂	Zydong24bryant	小赵同学啊喂:#FORKOBE#	赞[0]	2020-09-13 10:58:13	来自5G自拍手机vivo S6
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	Y-启航	1764082614	Y-启航:转发微博	赞[0]	2020-09-13 10:57:59	来自iPhone客户端
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	一羽平川	cynthialoveshinhwa	一羽平川:Win！	赞[0]	2020-09-13 10:57:52	来自iPhone
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	是缪双克	2015808373	是缪双克:一转眼 十年了	赞[0]	2020-09-13 10:57:46	来自iPhone客户端
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	Tupac_Love	6168393243	Tupac_Love:继续延续曼巴精神	赞[0]	2020-09-13 10:57:38	来自荣耀V20 4800万3D相机
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	MVPeng24ZY	5162052805	MVPeng24ZY:Keep Going	赞[0]	2020-09-13 11:00:32	来自iPhone客户端
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	湖人丶流川枫	5651545385	湖人丶流川枫:转发微博	赞[0]	2020-09-13 11:00:30	来自前后2000万 OPPO R11s
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	viziers	2502417313	viziers:你在看吧。一定。	赞[0]	2020-09-13 11:00:22	来自iPhone客户端
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	-WcmING	2386934374	-WcmING:转发微博	赞[7]	2020-09-13 10:59:41	来自iPhone客户端
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	viziers	2502417313	viziers:转发微博	赞[0]	2020-09-13 10:59:26	来自iPhone客户端
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	哪一年晴天	5797538641	哪一年晴天:转发微博	赞[0]	2020-09-13 10:58:57	来自小米MIX 2 全面屏手机
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	djcitndhxjfns	1863078047	djcitndhxjfns:十年！	赞[0]	2020-09-13 11:02:50	来自iPhone客户端
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	魯赤氺	277224841	魯赤氺:转发	赞[0]	2020-09-13 11:02:45	来自iPhone客户端
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	SoloFa	2955484751	SoloFa:转发微博	赞[0]	2020-09-13 11:01:47	来自iPhone客户端
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	-litachi24	5469775169	-litachi24:转发微博	赞[0]	2020-09-13 11:01:40	来自iPhone客户端
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	一些嫂子一些情	24804930	一些嫂子一些情:转发微博	赞[0]	2020-09-13 11:01:30	来自360安全浏览器
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	U-Knowline	1784030227	U-Knowline:我湖加油啊💪🏼💪🏼💪🏼💪🏼💪🏼💪🏼	赞[0]	2020-09-13 11:01:26	来自iPhone 7 Plus
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	67要戒骄戒躁	7447539337	67要戒骄戒躁:win for Kobe	赞[1]	2020-09-13 11:01:06	来自iPhone XS Max
科比吧官方微博	:十年前💜 💛 时隔十年湖人重返西部决赛 Win For Kobe🖤#湖人时隔十年再进西决##湖人球迷观众席晒科比照片# 	2020-09-13 10:56:44    	-ZzzYsss	3164881037	-ZzzYsss:转发微博	赞[0]	2020-09-13 11:09:03	来自iPhone客户端
