用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
吃馒头不就咸菜	5821630911	JiCqhfx6k	滴滴代喝？有人试过吗？ ​#滴滴重启快的# ​	2020年09月01日 15:59		2	1	https://weibo.com/5821630911/JiCqhfx6k?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCqhfx6k?uid=5821630911&rl=1
滁州公安在线	2553770907	JiCq10uxk	【#滴滴重启快的# 你会用滴滴叫出租车吗？】滴滴出行今日宣布，旗下出租车业务即日起升级为快的新出租 。同时#快的新出租投入1亿元专项补贴#，向乘客发放出租车打车券。你经常使用滴滴的哪种出行方式？ 2滁州 你一般使用哪种出行方式 ​	2020年09月01日 15:58		8	11	https://weibo.com/2553770907/JiCq10uxk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCq10uxk?uid=2553770907&rl=1
深拥情梦一场	1848526844	JiCpPsQSk	#滴滴重启快的#我感觉挺好的啊，出行很方便的 ，值得称赞 ​​​,反正我是这样认为的 ​	2020年09月01日 15:57		1	1	https://weibo.com/1848526844/JiCpPsQSk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCpPsQSk?uid=1848526844&rl=1
是科啊	5568321789	JiCpn4LWw	#滴滴重启快的# 重启？！什么重启？！？！ ​	2020年09月01日 15:56			2	https://weibo.com/5568321789/JiCpn4LWw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCpn4LWw?uid=5568321789&rl=1
北京村干部v	6414363813	JiCp76fDu	这样停车都可以，也是现在停车收费普遍都提高了不少，是人工工资贵了？还是场地加宽了？还是停车安全提高了#搞笑##搞笑视频##滴滴重启快的# L吴雨轩的微博视频 ​	2020年09月01日 15:56		8	5	https://weibo.com/6414363813/JiCp76fDu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCp76fDu?uid=6414363813&rl=1
AI智能体	6311266294	JiCp5Cu5N	#滴滴重启快的#，出租车市场再次被重视，滴滴宣布旗下出租车业务即日起升级为“快的新出租”，快的新出租将投入1亿元专项补贴，同时，嘀嗒出行宣布出租车累计注册出租车司机数量超过190万，面对新一轮网约车市场竞争，你们打车的需求是？ 面对新一轮网约车市场竞争，你们打车的需求是？ ​	2020年09月01日 15:56			8	https://weibo.com/6311266294/JiCp5Cu5N?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCp5Cu5N?uid=6311266294&rl=1
数科NA	5863639760	JiCol0OIa	#滴滴重启快的#【#快的新出租投入1亿元专项补贴#】@滴滴出行 今日宣布，旗下出租车业务即日起升级为@快的新出租 。同时快的新出租将投入1亿元专项补贴，向乘客发放出租车打车券。除了补贴之外，滴滴还升级了出租车事业部组织架构，任命石东海为总经理，向CEO程维汇报。 ​	2020年09月01日 15:54			2	https://weibo.com/5863639760/JiCol0OIa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCol0OIa?uid=5863639760&rl=1
LYN_漓漓	6213838001	JiCnZ4nD4	#滴滴重启快的#太好了.终于重新上线了.出行更方便了.打车终于不用排队了.还经常送优惠券.我太爱了. ​	2020年09月01日 15:53			2	https://weibo.com/6213838001/JiCnZ4nD4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCnZ4nD4?uid=6213838001&rl=1
文明大兴	2646882747	JiCnPE6Wf	#滴滴重启快的#小调查：平常出门一般是哪种方式？ 平常出门一般是哪种方式？ ​	2020年09月01日 15:53	1		6	https://weibo.com/2646882747/JiCnPE6Wf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCnPE6Wf?uid=2646882747&rl=1
一盆快乐的酸菜鱼	2130885337	JiCnLsDA0	#滴滴重启快的#当年的优惠幅度还会回来么 ​	2020年09月01日 15:52		评论		https://weibo.com/2130885337/JiCnLsDA0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCnLsDA0?uid=2130885337&rl=1
财经新媒体	2660807713	JiCnKgHN8	#滴滴重启快的#为了更好服务出租车司机和乘客，滴滴旗下出租车业务即日起升级为“快的新出租”。快的新出租将投入1亿元专项补贴为乘客发放出租车打车券，拉动消费，帮助司机师傅们提升单量和收入。 ​	2020年09月01日 15:52			2	https://weibo.com/2660807713/JiCnKgHN8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCnKgHN8?uid=2660807713&rl=1
AI智能体	6311266294	JiCnAxHZQ	#滴滴重启快的#，“花小猪打车”的推出以及升级的“快的新出租”，滴滴面对的将是一个存在挑战与机遇的新故事。在这个新故事里，下沉市场的巨大的流量红利以及年轻一代的消费者都将推动滴滴继续扩展市场份额，而一方面，滴滴应该加强对“花小猪打车”平台的监管，打造出一个以高安全的顺风车平台。 ​	2020年09月01日 15:52		1	2	https://weibo.com/6311266294/JiCnAxHZQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCnAxHZQ?uid=6311266294&rl=1
elaiou2018	6607839203	JiCndtIPZ	#滴滴重启快的#看到重启两个字，我还以为吴邪来了 ​	2020年09月01日 15:51		评论		https://weibo.com/6607839203/JiCndtIPZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCndtIPZ?uid=6607839203&rl=1
居安思巍yk	5780407113	JiCn5tVes	#滴滴重启快的#我以为是重启 相思成疾 ​	2020年09月01日 15:51		2		https://weibo.com/5780407113/JiCn5tVes?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCn5tVes?uid=5780407113&rl=1
张维奇	1802636722	JiCn5ckHc	#滴滴重启快的#滴滴宣布，为了更好服务出租车司机和乘客，滴滴旗下出租车业务即日起升级为“快的新出租”，为乘客发放出租车打车券，拉动内需消费看来互联网出行业界，玩的是鲶鱼效应吧。1亿元补贴相对于泱泱大国而言，没有诱惑力 你出差打车用什么APP？ ​	2020年09月01日 15:51			2	https://weibo.com/1802636722/JiCn5ckHc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCn5ckHc?uid=1802636722&rl=1
金沙检察	5623238595	JiCmCxw0p	#滴滴重启快的#【#快的新出租投入1亿元专项补贴#】@滴滴出行 今日宣布，旗下出租车业务即日起升级为@快的新出租 。同时快的新出租将投入1亿元专项补贴，向乘客发放出租车打车券。除了补贴之外，滴滴还升级了出租车事业部组织架构，任命石东海为总经理，向CEO程维汇报。O滴滴出租车升级为快的新出租 将投入1亿元专项补贴 ​	2020年09月01日 15:50		评论		https://weibo.com/5623238595/JiCmCxw0p?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCmCxw0p?uid=5623238595&rl=1
财经早餐	1402901591	JiCmr1cg4	#滴滴重启快的# 滴滴今天宣布，为了更好地服务出租车司机和乘客，滴滴旗下出租车业务即日起升级为“快的新出租”，这也意味着滴滴重启“快的”品牌。同时，为响应2020全国“消费促进月”活动，快的新出租将投入1亿元专项补贴，为乘客发放出租车打车券，拉动消费，帮助司机师傅们提升单量和收入。快的新 ​  展开全文c	2020年09月01日 15:49	2	1		https://weibo.com/1402901591/JiCmr1cg4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCmr1cg4?uid=1402901591&rl=1
