用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
好奇吃瓜群众ZB	1967836223	JgBvO6Ecm	#特朗普反击奥巴马夫人#天天打嘴炮 ​	2020年08月19日 09:59		评论		https://weibo.com/1967836223/JgBvO6Ecm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgBvO6Ecm?uid=1967836223&rl=1
艾畅畅	1828566347	JgBvIc22P	#特朗普反击奥巴马夫人#怼人一时爽，一直怼人一直爽。不过爽完了可赶紧管管你们疫情下的大众吧 ​	2020年08月19日 09:59			2	https://weibo.com/1828566347/JgBvIc22P?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgBvIc22P?uid=1828566347&rl=1
岸边的阳光和鲜花	3888767799	JgBvHAnvZ	#特朗普反击奥巴马夫人#美国现在并不算是个友国，他们有一个这样的总统给我的感觉还挺好的，总比换一个有脑子的人好一些，到时候指不定趁现在的局势在做出什么恶心的事呢！川普恶心自己国家的人比恶心别国的多就可以了。 ​	2020年08月19日 09:59		1	9	https://weibo.com/3888767799/JgBvHAnvZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgBvHAnvZ?uid=3888767799&rl=1
四川工人日报	1132428807	JgBvAw2ZL	#特朗普反击奥巴马夫人#【被米歇尔·奥巴马炮轰后，特朗普迅速反击！】为期4天的美国民主党全国代表大会于当地时间8月17日开幕。大会第一天，前第一夫人米歇尔·奥巴马语气坚定地对特朗普的总统任期进行“逐条残酷的评价”，称他是美国“错误”的总统。面对米歇尔的批评，特朗普18日进行反击，还扯上了奥 ​  展开全文c	2020年08月19日 09:58		评论		https://weibo.com/1132428807/JgBvAw2ZL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgBvAw2ZL?uid=1132428807&rl=1
这题选__	5816660280	JgBvw6hGZ	#特朗普反击奥巴马夫人#只想说一句NB。中国🇨🇳 崛起的大好机会 ​	2020年08月19日 09:58		1		https://weibo.com/5816660280/JgBvw6hGZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgBvw6hGZ?uid=5816660280&rl=1
来二两咖啡	3448537464	JgBv8DRBg	#特朗普反击奥巴马夫人#川普发布diss back，这场beef到底鹿死谁手呢？ ​	2020年08月19日 09:57		评论		https://weibo.com/3448537464/JgBv8DRBg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgBv8DRBg?uid=3448537464&rl=1
娱筱	7280903579	JgBv1iY0M	#特朗普反击奥巴马夫人#川宝宝不擅长治理国家，擅长治理饭圈，出道都不需要后援会那种 ​	2020年08月19日 09:57		5	13	https://weibo.com/7280903579/JgBv1iY0M?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgBv1iY0M?uid=7280903579&rl=1
菏泽市牡丹区人民检察院	5476071411	JgBucwIxx	#特朗普反击奥巴马夫人#【被米歇尔·奥巴马炮轰后，特朗普迅速反击！】为期4天的美国民主党全国代表大会于当地时间8月17日开幕。大会第一天，前第一夫人米歇尔·奥巴马语气坚定地对特朗普的总统任期进行“逐条残酷的评价”，称他是美国“错误”的总统。面对米歇尔的批评，特朗普18日进行反击，还扯上了奥 ​  展开全文c	2020年08月19日 09:55	1	35	21	https://weibo.com/5476071411/JgBucwIxx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgBucwIxx?uid=5476071411&rl=1
展锋	1278127565	JgBu2sQbd	#特朗普反击奥巴马夫人#都不怎么样 为了自己的利益互撕！ ​	2020年08月19日 09:54		4	9	https://weibo.com/1278127565/JgBu2sQbd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgBu2sQbd?uid=1278127565&rl=1
攀枝花东区微青春	3248009852	JgBtJvU6l	#特朗普反击奥巴马夫人# 你的“嘴强王者”特朗普又又又上线了不过幸好这回是线上回怼，不然可能又要像下面这个记者会一样祭出“标准答案”了。 L咪咕头条资讯的微博视频 ​	2020年08月19日 09:54			1	https://weibo.com/3248009852/JgBtJvU6l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgBtJvU6l?uid=3248009852&rl=1
