用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
今天别来看你爹了好不好	6535767632	Ji8bnggMo	#特朗普回应安倍辞职#不愧是国际顶流 ​	2020年08月29日 10:59		评论		https://weibo.com/6535767632/Ji8bnggMo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8bnggMo?uid=6535767632&rl=1
财经新媒体	2660807713	Ji8bd0iO5	【#特朗普回应安倍辞职#：非常遗憾，他很爱自己的国家】“我想向安倍晋三首相致以我最崇高的敬意。”刚刚，美国总统特朗普回应日本首相安倍晋三因身体原因辞职一事。路透社消息称，当地时间28日晚，特朗普在空军一号上对此事作出了回应。他说：“我想向安倍晋三首相致以我最崇高的敬意......（他是） ​  展开全文c	2020年08月29日 10:59		4	6	https://weibo.com/2660807713/Ji8bd0iO5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8bd0iO5?uid=2660807713&rl=1
1772154095_894	1772154095	Ji8baxNZs	#特朗普回应安倍辞职#这会儿扯什么“最崇高的敬意”向安倍晋三？你当时挤兑人家，连红地毯都不让人家站，这事儿忘了？？ ​	2020年08月29日 10:59		1	1	https://weibo.com/1772154095/Ji8baxNZs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8baxNZs?uid=1772154095&rl=1
贵阳晚报官方微博	1905912064	Ji8b4r2iC	【回应了！特朗普谈日本首相安倍晋三辞职：深感遗憾 会给他打电话】#特朗普回应安倍辞职# 当地时间28日，据环球网援引路透社报道，特朗普对日本首相安倍晋三辞职一事作出回应。特朗普称，“我要向我的好朋友安倍首相致以最崇高的敬意，我们的关系很好，我感觉非常遗憾。”报道称，特朗普当时还表示，安 ​  展开全文c	2020年08月29日 10:59		评论		https://weibo.com/1905912064/Ji8b4r2iC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8b4r2iC?uid=1905912064&rl=1
Yo是没头脑阿	2041451337	Ji8b3f7dJ	#特朗普回应安倍辞职#我表示很遗憾，安倍是个顾得破森，我和安倍的关系非常好，没有人比我更懂安倍的大肠。 ​	2020年08月29日 10:59			6	https://weibo.com/2041451337/Ji8b3f7dJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8b3f7dJ?uid=2041451337&rl=1
城市追擊傳媒	7298488441	Ji8aN1c81	【#特朗普回应安倍辞职#：非常遗憾，他很爱自己的国家】“我想向安倍晋三首相致以我最崇高的敬意。”刚刚，美国总统特朗普回应日本首相安倍晋三因身体原因辞职一事。路透社消息称，当地时间28日晚，特朗普在空军一号上对此事作出了回应。他说：“我想向安倍晋三首相致以我最崇高的敬意......（他是） ​  展开全文c	2020年08月29日 10:58			1	https://weibo.com/7298488441/Ji8aN1c81?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8aN1c81?uid=7298488441&rl=1
靳wolf东	1306151395	Ji8aHBmuZ	#特朗普回应安倍辞职#嗯？！特朗普 你为什么要回应？！和你有啥关系？！特朗普真在微博rs上常驻 ​	2020年08月29日 10:58		1	8	https://weibo.com/1306151395/Ji8aHBmuZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8aHBmuZ?uid=1306151395&rl=1
最爱福州	5364020718	Ji8aydxae	#特朗普回应安倍辞职#路透社消息称，当地时间28日晚，特朗普在空军一号上对此事作出了回应。他说：“我想向安倍晋三首相致以我最崇高的敬意......（他是）我的好朋友，我对此感觉非常遗憾。”报道称，特朗普当时还表示，安倍很爱自己的国家，并表示将与安倍通话。 ​	2020年08月29日 10:57			7	https://weibo.com/5364020718/Ji8aydxae?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8aydxae?uid=5364020718&rl=1
正义南康	2414369130	Ji8aop2Ip	【#特朗普回应安倍辞职#：非常遗憾，他很爱自己的国家】“我想向安倍晋三首相致以我最崇高的敬意。”刚刚，美国总统特朗普回应日本首相安倍晋三因身体原因辞职一事。路透社消息称，当地时间28日晚，特朗普在空军一号上对此事作出了回应。他说：“我想向安倍晋三首相致以我最崇高的敬意......（他 ​  展开全文c	2020年08月29日 10:57	2	4	8	https://weibo.com/2414369130/Ji8aop2Ip?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji8aop2Ip?uid=2414369130&rl=1
正一道士刘三源	5576616268	Ji89WCqdo	#特朗普回应安倍辞职#这会儿扯什么“最崇高的敬意”向安倍晋三？你当时挤兑人家，连红地毯都不让人家站，这事儿忘了？？ ​	2020年08月29日 10:56	1	12	159	https://weibo.com/5576616268/Ji89WCqdo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji89WCqdo?uid=5576616268&rl=1
