原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	恰恰侠	2488691477	恰恰侠:personal=world	赞[0]	2020-08-15 10:32:41	来自小米6 拍人更美
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	Mandy姐姐回来了	bell500	Mandy姐姐回来了:治愈强迫症的轨迹//@新浪跑步:场地选手也戴跑表的嘛！	赞[0]	2020-08-15 10:28:32	来自iPhone 7
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	no_body_but	pengmufukarrar	no_body_but:哈哈哈有毒	赞[0]	2020-08-15 10:27:24	来自微博 weibo.com
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	黄河heaven	2031383133	黄河heaven:跟一公里！	赞[33]	2020-08-15 10:24:46	来自iPhone X
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	新浪跑步	sinarunning	新浪跑步:场地选手也戴跑表的嘛！	赞[12]	2020-08-15 10:12:14	来自微博搜索
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	电漫	dianman	电漫:去strava上找了一下，他没传 应该是网友做的	赞[5]	2020-08-15 18:18:06	来自iPhone 11 Pro
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	heiheixlwb	1405808522	heiheixlwb:跟一百米🍗//@黄河heaven:跟一公里！	赞[0]	2020-08-15 14:01:06	来自iPhone XS Max
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	淡定的蛋疼2012	1686809454	淡定的蛋疼2012:相当于百米速度15秒1跑完5km//@黄河heaven:跟一公里！	赞[0]	2020-08-15 13:07:22	来自iQOO Neo 855竞速版
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	天下文章一大chao	6033358695	天下文章一大chao:这配速就尼玛离谱#男子5000米世界纪录告破#	赞[0]	2020-08-15 13:05:07	来自微博 weibo.com
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	鸭鸭鸭子的鸭	6168364720	鸭鸭鸭子的鸭:转发微博	赞[0]	2020-08-15 12:40:12	来自HUAWEI Mate 20
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	Vonivan	5754177940	Vonivan:贝克勒的记录破掉了	赞[0]	2020-08-15 12:15:54	来自荣耀20
钻石联赛WandaDiamondLeague	:#男子5000米世界纪录告破# 切普特盖的轨迹哈哈哈#田径##钻石联赛##世界纪录# @骑驴居士 @黄河heaven @悦跑圈 	2020-08-15 08:34:18    	KingGreatPower	632527004	KingGreatPower:这个配速跟一百米应该差不多//@黄河heaven:跟一公里！	赞[0]	2020-08-15 11:03:42	来自🤘iPhone XS Max
