用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
Jason春华秋实夏蝉冬雪	5588031613	JfRWYsqcH	#警方通报女游客无故推倒景区设施#什么玩意儿， ​	2020年08月14日 13:59		评论		https://weibo.com/5588031613/JfRWYsqcH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWYsqcH?uid=5588031613&rl=1
合阳公安	2026544132	JfRWYuDJ7	【#警方通报女游客无故推倒景区设施#】据@松潘警事 通报，2020年8月13日13时20分，一名着黄色衣裙的女性游客在四川松潘县黄龙景区内，无故将她一路所见的垃圾桶部分推倒、景点告示牌部分扯掉。民警到达现场后，当事人曲某（31岁，黑龙江省牡丹江江市人）情绪激动拒不配合，无端辱骂路上游客行人，民警 ​  展开全文c	2020年08月14日 13:59	1	1	5	https://weibo.com/2026544132/JfRWYuDJ7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWYuDJ7?uid=2026544132&rl=1
铜仁发布	3955261359	JfRWXy6k5	【#警方通报女游客无故推倒景区设施#】据@松潘警事 通报，2020年8月13日13时20分，一名着黄色衣裙的女性游客在四川松潘县黄龙景区内，无故将她一路所见的垃圾桶部分推倒、景点告示牌部分扯掉。民警到达现场后，当事人曲某（31岁，黑龙江省牡丹江江市人）情绪激动拒不配合，无端辱骂路上游客行人，民警 ​  展开全文c	2020年08月14日 13:59		评论		https://weibo.com/3955261359/JfRWXy6k5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWXy6k5?uid=3955261359&rl=1
看成都	7216381483	JfRWX16m8	【#警方通报女游客无故推倒景区设施#】据@松潘警事 通报，2020年8月13日13时20分，一名着黄色衣裙的女性游客在四川松潘县黄龙景区内，无故将她一路所见的垃圾桶部分推倒、景点告示牌部分扯掉。民警到达现场后，当事人曲某（31岁，黑龙江省牡丹江江市人）情绪激动拒不配合，无端辱骂路上游客行人，民警 ​  展开全文c	2020年08月14日 13:59		9	4	https://weibo.com/7216381483/JfRWX16m8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWX16m8?uid=7216381483&rl=1
飞哥聊餐饮	1952571611	JfRWVwdR7	#警方通报女游客无故推倒景区设施#31岁就加入到了大妈的行列，要重罚 2重庆·重庆市中医院(南桥寺院部) ​	2020年08月14日 13:59		1	3	https://weibo.com/1952571611/JfRWVwdR7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWVwdR7?uid=1952571611&rl=1
金虹妙	1798714137	JfRWSwI7N	#警方通报女游客无故推倒景区设施#活久了，什么人都能见到 ​	2020年08月14日 13:59			2	https://weibo.com/1798714137/JfRWSwI7N?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWSwI7N?uid=1798714137&rl=1
阿拉so的阿拉豆	5349296927	JfRWREy9O	#警方通报女游客无故推倒景区设施# 建议纳入征信体系，后续限制其终身进入国家级景区，同时购房购车加征公共安全保障金 ​	2020年08月14日 13:59		1		https://weibo.com/5349296927/JfRWREy9O?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWREy9O?uid=5349296927&rl=1
腾讯微视	6479255096	JfRWKz60u	【#警方通报女游客无故推倒景区设施#】据@松潘警事 通报，2020年8月13日13时20分，一名着黄色衣裙的女性游客在四川松潘县黄龙景区内，无故将她一路所见的垃圾桶部分推倒、景点告示牌部分扯掉。民警到达现场后，当事人曲某（31岁，黑龙江省牡丹江江市人）情绪激动拒不配合，无端辱骂路上游客行人，民警 ​  展开全文c	2020年08月14日 13:59	64	45	80	https://weibo.com/6479255096/JfRWKz60u?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWKz60u?uid=6479255096&rl=1
毕节政法	7214110652	JfRWHmp1z	【人民日报：#警方通报女游客无故推倒景区设施#系个人生活发生重大变故】8月13日，一名女性游客在四川松潘县黄龙景区内，无故将垃圾桶推倒、景点告示牌扯掉。当事人曲某（31岁，黑龙江省人）情绪激动，无端辱骂游客。经民警批评教育，曲某认识到自己的错误。L四川身边事的微博视频 ​​​	2020年08月14日 13:59		评论		https://weibo.com/7214110652/JfRWHmp1z?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWHmp1z?uid=7214110652&rl=1
潇湘晨报	1655444627	JfRWFwCt4	【#警方通报女游客无故推倒景区设施#：她当时心情不好 将依法对其进行处理】@松潘警事：2020年8月13日13时20分，松潘公安黄龙景区公安分局接黄龙管理局报警称：一名着黄色衣裙的女性游客在黄龙景区内，无故将她一路所见的垃圾桶部分推倒、景点告示牌部分扯掉。民警到达现场后，当事人曲某（31岁，黑龙 ​  展开全文c	2020年08月14日 13:59	7	20	36	https://weibo.com/1655444627/JfRWFwCt4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWFwCt4?uid=1655444627&rl=1
第一眼视频	6041830315	JfRWDd6XL	#警方通报女游客无故推倒景区设施#游客在景区接二连三推倒告示牌和垃圾桶，被拍下后反质问拍摄者：你是警察吗？你有什么权利录视频？目前已被民警进行了一番批评教育！ L第一眼视频的微博视频 ​	2020年08月14日 13:59	1		1	https://weibo.com/6041830315/JfRWDd6XL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWDd6XL?uid=6041830315&rl=1
平安诸暨	2671670131	JfRWBpxtq	【#警方通报女游客无故推倒景区设施#】据@松潘警事 通报，2020年8月13日13时20分，一名着黄色衣裙的女性游客在四川松潘县黄龙景区内，无故将她一路所见的垃圾桶部分推倒、景点告示牌部分扯掉。民警到达现场后，当事人曲某（31岁，黑龙江省牡丹江江市人）情绪激动拒不配合，无端辱骂路上游客行人，民警 ​  展开全文c	2020年08月14日 13:58	3	1	8	https://weibo.com/2671670131/JfRWBpxtq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWBpxtq?uid=2671670131&rl=1
Tiffany就是我	2440085024	JfRWAvcTf	#警方通报女游客无故推倒景区设施#曝光，列入黑名单，禁止进入全国景区！！ ​	2020年08月14日 13:58			3	https://weibo.com/2440085024/JfRWAvcTf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWAvcTf?uid=2440085024&rl=1
济宁网事	2628774685	JfRWyr7E4	#警方通报女游客无故推倒景区设施#你觉得这种行为应该拉入景区黑名单吗？ ​2济宁 你觉得这种行为应该拉入景区黑名单吗？ ​ ​	2020年08月14日 13:58			55	https://weibo.com/2628774685/JfRWyr7E4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWyr7E4?uid=2628774685&rl=1
天涯社区	2140585607	JfRWu0hH7	【#警方通报女游客无故推倒景区设施#】据@松潘警事 通报，2020年8月13日13时20分，一名着黄色衣裙的女性游客在四川松潘县黄龙景区内，无故将她一路所见的垃圾桶部分推倒、景点告示牌部分扯掉。民警到达现场后，当事人曲某情绪激动拒不配合，无端辱骂路上游客行人，民警依法将其带回分局接受询问，曲某 ​  展开全文c	2020年08月14日 13:58	8	42	156	https://weibo.com/2140585607/JfRWu0hH7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWu0hH7?uid=2140585607&rl=1
鸭梨研究社	7330880398	JfRWrnSYc	#警方通报女游客无故推倒景区设施# 太手欠了！结局令人舒适 L鸭梨研究社的微博视频 ​	2020年08月14日 13:58			1	https://weibo.com/7330880398/JfRWrnSYc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfRWrnSYc?uid=7330880398&rl=1
