用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
圈大神	1716826231	Jg8qHbCim	#贾玲刘敏涛方言版伪装者# 哈哈哈哈哈哈还有人没看过，青春环游记里刘敏涛和贾玲方言版的伪装者吗，一加上方言就真的很难不快乐，敏涛姐和贾玲两个超有综艺天赋的人组合到一起也是太绝了 #贾玲刘敏涛古装版红色高跟鞋# ​	2020年08月16日 07:57	164	181	2151	https://weibo.com/1716826231/Jg8qHbCim?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8qHbCim?uid=1716826231&rl=1
娱乐圈扒姐	3246379064	Jg8qeuCko	#贾玲刘敏涛方言版伪装者# 第一次发现这个节目有人能怼玲姐，被杨迪和玲姐的河南口音笑了半天，太魔性了，真是快乐的源泉呀 ​	2020年08月16日 07:55	144	147	565	https://weibo.com/3246379064/Jg8qeuCko?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8qeuCko?uid=3246379064&rl=1
墨起莲香画清彩	5285344254	Jg8pX1s52	#贾玲刘敏涛方言版伪装者# 敏涛姐可以走谐星路线了之前的红色高跟鞋今天的方言版伪装者 ​	2020年08月16日 07:55		评论		https://weibo.com/5285344254/Jg8pX1s52?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8pX1s52?uid=5285344254&rl=1
从今天开始有钱	2025340357	Jg8pGvHkW	#贾玲刘敏涛方言版伪装者#哈哈哈哈哈笑死我啦，贾玲真的太有综艺感了 ​	2020年08月16日 07:54			1	https://weibo.com/2025340357/Jg8pGvHkW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8pGvHkW?uid=2025340357&rl=1
娱小猫	6107512706	Jg8pqxbCQ	#贾玲刘敏涛方言版伪装者#贾玲在哪里，哪里就有欢声笑语贾玲和刘敏涛上演方言版《伪装者》，好好的谍战剧扮上古装说上方言怎么喜感那么强呢 #贾玲刘敏涛古装版红色高跟鞋#刘敏涛老师也太可爱啦！老师多多上综艺 ​	2020年08月16日 07:53	181	180	2227	https://weibo.com/6107512706/Jg8pqxbCQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8pqxbCQ?uid=6107512706&rl=1
纯洁地武先生	5502635067	Jg8pikb1j	#贾玲刘敏涛方言版伪装者#贾玲委屈式表演，贾玲和刘敏涛 上演方言版《伪装者》，玲姐拿出了“movie人”的气势，用委屈式表演和敏涛姐即兴接戏，俩人你一句我一句，反转剧情不断这方言版的《伪装者》真的太上头了 ​	2020年08月16日 07:53		评论		https://weibo.com/5502635067/Jg8pikb1j?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8pikb1j?uid=5502635067&rl=1
前线娱乐	1836328652	Jg8oYeCGB	#贾玲刘敏涛方言版伪装者# 刘敏涛大姐还是大姐，能怼，贾玲的汪曼春就只有搞笑了 ​	2020年08月16日 07:52	66	61	2714	https://weibo.com/1836328652/Jg8oYeCGB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8oYeCGB?uid=1836328652&rl=1
爱豆新闻	6096329611	Jg8oR5QwS	#贾玲刘敏涛方言版伪装者#方言版太魔性了你们这样明楼和明台知道吗？ ​	2020年08月16日 07:52	62	67	3258	https://weibo.com/6096329611/Jg8oR5QwS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8oR5QwS?uid=6096329611&rl=1
饭圈阿姨	1746658980	Jg8nuyZau	#贾玲刘敏涛方言版伪装者#贾玲刘敏涛方言版伪装者，又见明镜大姐，刘敏涛老师好有综艺感 ​	2020年08月16日 07:49	63	70	1377	https://weibo.com/1746658980/Jg8nuyZau?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8nuyZau?uid=1746658980&rl=1
时尚圈潮流	1851963392	Jg8mBDtpV	#贾玲刘敏涛方言版伪装者# 贾玲刘敏涛的方言版伪装者真的太精彩了，毫不夸张地讲是可以冲击奥斯卡的水平刘敏涛怼人也是厉害,请把刘敏涛好笑打在公屏上!! ​	2020年08月16日 07:47	24	26	31	https://weibo.com/1851963392/Jg8mBDtpV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8mBDtpV?uid=1851963392&rl=1
影视喵菌	2630678651	Jg8mi7mIO	#贾玲刘敏涛方言版伪装者# 刘敏涛也太好笑了，在贾玲青春环游记即兴发挥演绎方言版伪装者，还加入了自己的即兴台词，没看够怎么办   ​	2020年08月16日 07:46	23	25	27	https://weibo.com/2630678651/Jg8mi7mIO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8mi7mIO?uid=2630678651&rl=1
芒果吃瓜酱	6325020545	Jg8lPd9eH	#贾玲刘敏涛方言版伪装者# 贾玲和刘敏涛在青春环游记即兴用方言表演伪装者，被怼得说不出话还像场外求助，不得不说刘敏涛的综艺感太好了太好笑了 ​	2020年08月16日 07:45	22	22	24	https://weibo.com/6325020545/Jg8lPd9eH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jg8lPd9eH?uid=6325020545&rl=1
