原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	你咋知道不上天呢	6971744329	你咋知道不上天呢:哈哈哈	赞[0]	2020-08-08 15:39:19	来自OPPO Reno Ace
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	梦梦倩儿	7437442527	梦梦倩儿:啊啊啊啊啊啊啊啊，朵儿真的是人间温柔	赞[0]	2020-08-08 15:39:36	来自vivo AI智慧拍照X21i
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	迷迷糊糊吸欧二次元	5518306442	迷迷糊糊吸欧二次元:真的很暖呀	赞[0]	2020-08-08 15:39:35	来自OPPO Reno
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	官子23433	5206675013	官子23433:转发微博	赞[0]	2020-08-08 15:39:35	来自Android
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	最媚夜光	7404585627	最媚夜光:转发微博	赞[0]	2020-08-08 15:39:33	来自OPPO A9x
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	致敬KobeBryant	6240714618	致敬KobeBryant:暖心	赞[0]	2020-08-08 15:39:39	来自iPhone客户端
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	加油努力杨咩咩yx	1888558685	加油努力杨咩咩yx:喜欢阿	赞[0]	2020-08-08 15:39:38	来自iPhone客户端
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	牛奶蒸木瓜加旺仔雪碧	7414255431	牛奶蒸木瓜加旺仔雪碧:非常善良惹人爱	赞[0]	2020-08-08 15:39:49	来自前后2000万 OPPO R11
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	星空下AA	6628834813	星空下AA:阿朵非常可爱。	赞[0]	2020-08-08 15:39:49	来自vivo AI智慧拍照X21
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	时光少年依旧蓝哦	5276868731	时光少年依旧蓝哦:可不就是啊	赞[0]	2020-08-08 15:39:45	来自OPPO K1
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	今晚就通宵吧	3879571711	今晚就通宵吧:真的好善良	赞[0]	2020-08-08 15:39:43	来自权志龙女神iPhone 11 Pro(暗夜绿)
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	二哈哈士奇呀	5919118879	二哈哈士奇呀:阿朵真的好有爱心的呀	赞[0]	2020-08-08 15:39:59	来自nova7你在焦点在
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	幸福的小笨猪哒	5851949671	幸福的小笨猪哒:真的很暖心	赞[0]	2020-08-08 15:39:58	来自OnePlus 5
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	春风送暖yan	7339689489	春风送暖yan:阿朵真的太温柔了	赞[0]	2020-08-08 15:39:54	来自OPPO A8
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	暴富了没有	2837157583	暴富了没有:转发微博	赞[0]	2020-08-08 15:41:38	来自德玛西亚的Android
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	暴富了没有	2837157583	暴富了没有:转发微博	赞[0]	2020-08-08 15:41:02	来自德玛西亚的Android
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	辰辰子民	2144398394	辰辰子民:支持阿朵，太暖心了	赞[0]	2020-08-08 15:40:52	来自iPhone 8 Plus
饭圈阿姨	:#阿朵为宋小女唱歌#阿朵为宋小女唱歌《世间没有一无所有的人》并且希望她可以身体健康，阿朵真是好温柔善良一人，希望所有人被世界温柔以待 	2020-08-08 15:38:38    	港島日記·	7377357490	港島日記·:真的是很不错，好暖心	赞[0]	2020-08-08 15:40:35	来自小米Play 自带流量
