原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
新浪娱乐	:#陈小纭辟谣吕钊插足传闻# 近日，#于小彤陈小纭分手# 一事引发热议。有网友爆料陈小纭闺蜜吕钊是现实版林有有，称其插足抢走了于小彤，于小彤吕钊同款发贴也引发诸多猜测。随后，陈小纭在评论区回复网友辟谣此事，表示：“假的，别伤害我朋友，谢谢啦。”陈小纭辟谣遭闺蜜插足致分手 	2020-08-30 10:40:34    	小夏末MoMo	5662635113	小夏末MoMo:转发微博	赞[0]	2020-08-30 10:44:00	来自微博 weibo.com
新浪娱乐	:#陈小纭辟谣吕钊插足传闻# 近日，#于小彤陈小纭分手# 一事引发热议。有网友爆料陈小纭闺蜜吕钊是现实版林有有，称其插足抢走了于小彤，于小彤吕钊同款发贴也引发诸多猜测。随后，陈小纭在评论区回复网友辟谣此事，表示：“假的，别伤害我朋友，谢谢啦。”陈小纭辟谣遭闺蜜插足致分手 	2020-08-30 10:40:34    	用户6033460193	6033460193	用户6033460193:转发微博	赞[0]	2020-08-30 10:42:46	来自三星android智能手机
新浪娱乐	:#陈小纭辟谣吕钊插足传闻# 近日，#于小彤陈小纭分手# 一事引发热议。有网友爆料陈小纭闺蜜吕钊是现实版林有有，称其插足抢走了于小彤，于小彤吕钊同款发贴也引发诸多猜测。随后，陈小纭在评论区回复网友辟谣此事，表示：“假的，别伤害我朋友，谢谢啦。”陈小纭辟谣遭闺蜜插足致分手 	2020-08-30 10:40:34    	DasLieddesWaldes	3169786307	DasLieddesWaldes:很难不赞同//@立志不做某事的逢际:很难不赞同//@曲奇饼干分你一毛:于小彤有啥好抢的……	赞[0]	2020-08-30 11:01:27	来自渔樵江渚的Android
新浪娱乐	:#陈小纭辟谣吕钊插足传闻# 近日，#于小彤陈小纭分手# 一事引发热议。有网友爆料陈小纭闺蜜吕钊是现实版林有有，称其插足抢走了于小彤，于小彤吕钊同款发贴也引发诸多猜测。随后，陈小纭在评论区回复网友辟谣此事，表示：“假的，别伤害我朋友，谢谢啦。”陈小纭辟谣遭闺蜜插足致分手 	2020-08-30 10:40:34    	菜今天六斤吗	5614739556	菜今天六斤吗:nsdd//@曲奇饼干分你一毛:于小彤有啥好抢的……	赞[1]	2020-08-30 11:00:37	来自iPhone客户端
新浪娱乐	:#陈小纭辟谣吕钊插足传闻# 近日，#于小彤陈小纭分手# 一事引发热议。有网友爆料陈小纭闺蜜吕钊是现实版林有有，称其插足抢走了于小彤，于小彤吕钊同款发贴也引发诸多猜测。随后，陈小纭在评论区回复网友辟谣此事，表示：“假的，别伤害我朋友，谢谢啦。”陈小纭辟谣遭闺蜜插足致分手 	2020-08-30 10:40:34    	猪突猛进的白煮蛋	gankouyudetamogo	猪突猛进的白煮蛋:评论很真实，大家都没瞎	赞[1]	2020-08-30 11:00:08	来自印堂发黑的Android
新浪娱乐	:#陈小纭辟谣吕钊插足传闻# 近日，#于小彤陈小纭分手# 一事引发热议。有网友爆料陈小纭闺蜜吕钊是现实版林有有，称其插足抢走了于小彤，于小彤吕钊同款发贴也引发诸多猜测。随后，陈小纭在评论区回复网友辟谣此事，表示：“假的，别伤害我朋友，谢谢啦。”陈小纭辟谣遭闺蜜插足致分手 	2020-08-30 10:40:34    	好好做银	5450265133	好好做银:哈哈哈哈哈哈哈哈今日最好笑//@曲奇饼干分你一毛:于小彤有啥好抢的……	赞[0]	2020-08-30 10:57:43	来自iPhone XR
新浪娱乐	:#陈小纭辟谣吕钊插足传闻# 近日，#于小彤陈小纭分手# 一事引发热议。有网友爆料陈小纭闺蜜吕钊是现实版林有有，称其插足抢走了于小彤，于小彤吕钊同款发贴也引发诸多猜测。随后，陈小纭在评论区回复网友辟谣此事，表示：“假的，别伤害我朋友，谢谢啦。”陈小纭辟谣遭闺蜜插足致分手 	2020-08-30 10:40:34    	脱贫发财奔小康	1008898207	脱贫发财奔小康:哈哈啊哈//@曲奇饼干分你一毛:于小彤有啥好抢的……	赞[0]	2020-08-30 10:56:20	来自iPhone客户端
新浪娱乐	:#陈小纭辟谣吕钊插足传闻# 近日，#于小彤陈小纭分手# 一事引发热议。有网友爆料陈小纭闺蜜吕钊是现实版林有有，称其插足抢走了于小彤，于小彤吕钊同款发贴也引发诸多猜测。随后，陈小纭在评论区回复网友辟谣此事，表示：“假的，别伤害我朋友，谢谢啦。”陈小纭辟谣遭闺蜜插足致分手 	2020-08-30 10:40:34    	_走甜走冰唔該	5520735723	_走甜走冰唔該:回复@曲奇饼干分你一毛:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@曲奇饼干分你一毛:于小彤有啥好抢的……	赞[0]	2020-08-30 11:03:39	来自微博 weibo.com
新浪娱乐	:#陈小纭辟谣吕钊插足传闻# 近日，#于小彤陈小纭分手# 一事引发热议。有网友爆料陈小纭闺蜜吕钊是现实版林有有，称其插足抢走了于小彤，于小彤吕钊同款发贴也引发诸多猜测。随后，陈小纭在评论区回复网友辟谣此事，表示：“假的，别伤害我朋友，谢谢啦。”陈小纭辟谣遭闺蜜插足致分手 	2020-08-30 10:40:34    	·芝士桃桃奶盖·	6026871536	·芝士桃桃奶盖·:草哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@曲奇饼干分你一毛:于小彤有啥好抢的……	赞[0]	2020-08-30 11:03:32	来自iPhone客户端
新浪娱乐	:#陈小纭辟谣吕钊插足传闻# 近日，#于小彤陈小纭分手# 一事引发热议。有网友爆料陈小纭闺蜜吕钊是现实版林有有，称其插足抢走了于小彤，于小彤吕钊同款发贴也引发诸多猜测。随后，陈小纭在评论区回复网友辟谣此事，表示：“假的，别伤害我朋友，谢谢啦。”陈小纭辟谣遭闺蜜插足致分手 	2020-08-30 10:40:34    	旋转跳跃我踢你脸	super1017	旋转跳跃我踢你脸:真是 倒贴都不要 太吓人了！！//@迷惑行为创始人:回复@曲奇饼干分你一毛:哈哈哈哈哈哈这哥们是烫手山芋啊倒贴给我我都不敢要//@曲奇饼干分你一毛:于小彤有啥好抢的……	赞[0]	2020-08-30 11:03:02	来自给我来块冰iPhone客户端
