用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
沫小琪qq	2055987621	JdldH58Gh	#陈飞宇李佳琦直播#我的墙头真的好好看呀 ​	2020年07月28日 22:59		评论		https://weibo.com/2055987621/JdldH58Gh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdldH58Gh?uid=2055987621&rl=1
東七DONG	1734712041	JdldBcDCX	#陈飞宇李佳琦直播# 一个弹吉他，一个吹唢呐，最后再量一下陈飞宇少年头有多大#星闻速递# ​	2020年07月28日 22:59		评论		https://weibo.com/1734712041/JdldBcDCX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdldBcDCX?uid=1734712041&rl=1
浅浅浅-婉柠的宝贝	1807784543	Jdldwv3Q9	过来欣赏一下陈飞宇的颜值杀！果然，帅哥都是会弹吉他的！#陈飞宇李佳琦直播##陈飞宇李佳琦弹唱小星星# ​	2020年07月28日 22:59	3	3	4	https://weibo.com/1807784543/Jdldwv3Q9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdldwv3Q9?uid=1807784543&rl=1
黑化工友	7009701485	JdlddvVdf	#OLAY品牌大使陈飞宇# ✨#陈飞宇李佳琦直播# 小陈今天太可爱了！@OLAY ​​​	2020年07月28日 22:58		评论		https://weibo.com/7009701485/JdlddvVdf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlddvVdf?uid=7009701485&rl=1
何人共我霜与剑	7481228040	Jdld74hy4	#陈飞宇李佳琦直播#陈飞宇好可爱，他和佳琦互动超有梗的 ​	2020年07月28日 22:58		评论		https://weibo.com/7481228040/Jdld74hy4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdld74hy4?uid=7481228040&rl=1
白色的洋桔梗花	6733894228	JdlcM7H1X	唢呐版本的小星星听过木有！哈哈哈哈陈飞宇佳琦同框无敌了#陈飞宇李佳琦直播##陈飞宇李佳琦弹唱小星星# ​	2020年07月28日 22:57	3	3	3	https://weibo.com/6733894228/JdlcM7H1X?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlcM7H1X?uid=6733894228&rl=1
·4tunate	6140089718	JdlcE8YoN	#陈飞宇李佳琦直播# 今晚我真的好开心啊，两个大帅哥也太养眼了，看直播的时候我一直在笑就没停过，满足了太喜欢陈飞宇了 ​	2020年07月28日 22:57		评论		https://weibo.com/6140089718/JdlcE8YoN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlcE8YoN?uid=6140089718&rl=1
辛一格子	1621538655	JdlcwF5Hc	#陈飞宇李佳琦直播#飞宇昨天预告直播的微博带了🎺的emoji，没想到今天佳琦真的要表演吹唢呐而且还没有吹响… ​	2020年07月28日 22:56			2	https://weibo.com/1621538655/JdlcwF5Hc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlcwF5Hc?uid=1621538655&rl=1
兔子先生的栗子小姐	6478363400	Jdlciywuz	有时候 飞宇弟弟穿白衬衫真的太好看了！！今晚的直播真的弹吉他真的绝了！#陈飞宇李佳琦直播# ​	2020年07月28日 22:56		评论		https://weibo.com/6478363400/Jdlciywuz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdlciywuz?uid=6478363400&rl=1
咔咔脆的桃子	5913929920	JdlchC18o	#陈飞宇李佳琦直播#点进热搜的朋友也别错过穿大衣的陈飞宇！！！陈飞宇真的超绝的！！！！！@陈飞宇Arthur L·Peach桃子圆·的微博视频 ​	2020年07月28日 22:56	38	37	115	https://weibo.com/5913929920/JdlchC18o?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlchC18o?uid=5913929920&rl=1
头号迷妹王绿绿	6158196259	Jdlcgq3MG	#陈飞宇李佳琦直播#李佳琦手里的唢呐突然吹不响了，整段垮掉哈哈哈哈哈哈，好在陈飞宇的吉他还是在线～ L头号迷妹王绿绿的微博视频 ​	2020年07月28日 22:56			1	https://weibo.com/6158196259/Jdlcgq3MG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdlcgq3MG?uid=6158196259&rl=1
明星娱乐追星君	7340608725	Jdlc7kVWN	#陈飞宇李佳琦直播#陈飞宇做客李佳琦直播间，“人间唢呐”李佳琦在线翻车，最后选择了和陈飞宇一起唱了《小星星》，看到陈飞宇弹吉他，这画风有没有感觉次元壁破了呢 L明星娱乐爆料君的微博视频 ​	2020年07月28日 22:55			2	https://weibo.com/7340608725/Jdlc7kVWN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdlc7kVWN?uid=7340608725&rl=1
扒圈公子	5497348275	Jdlc5wgEs	#陈飞宇李佳琦直播# 希望陈飞宇李佳琦组个“飞行琦”乐队哈哈哈哈，今晚吉他唢呐合奏小星星，但是李佳琦唢呐没声音啦哈哈哈哈。#陈飞宇李佳琦弹唱小星星# ​	2020年07月28日 22:55	151	338	873	https://weibo.com/5497348275/Jdlc5wgEs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdlc5wgEs?uid=5497348275&rl=1
卡尔萨摩	6645741946	Jdlc5crB8	#陈飞宇李佳琦直播#看完李佳琦跟陈飞宇的吉他唢呐二重奏，我不禁有个大胆的想法，下次带上金靖？哈哈哈哈哈笑死个人#陈飞宇李佳琦弹唱小星星# ​	2020年07月28日 22:55	3	3	4	https://weibo.com/6645741946/Jdlc5crB8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdlc5crB8?uid=6645741946&rl=1
今天顶流们合作了吗	5258883769	Jdlc42H98	#陈飞宇李佳琦直播# 阿瑟今天好好看！！抱狗狗的样子好温柔 ​	2020年07月28日 22:55		评论		https://weibo.com/5258883769/Jdlc42H98?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdlc42H98?uid=5258883769&rl=1
一坛梨花白白白	6488981360	Jdlc1kN7N	#陈飞宇李佳琦直播#今天的小鱼很棒哦！ ​	2020年07月28日 22:55		评论		https://weibo.com/6488981360/Jdlc1kN7N?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdlc1kN7N?uid=6488981360&rl=1
飛魚收藏家	5624374198	JdlbTpoI4	#陈飞宇李佳琦直播#入股陈飞宇不亏哦希望点进热搜的朋友们天天开心身体健康 ​	2020年07月28日 22:55			9	https://weibo.com/5624374198/JdlbTpoI4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlbTpoI4?uid=5624374198&rl=1
彳余的追鱼日常	6116577908	JdlbNsyV6	#陈飞宇#cfy#陈飞宇李佳琦直播# 飞宇唱歌真的超级好听！！！！帅哥非常全能！@陈飞宇Arthur L彳余的追鱼日常的微博视频 ​	2020年07月28日 22:55	1		3	https://weibo.com/6116577908/JdlbNsyV6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlbNsyV6?uid=6116577908&rl=1
死生之巅墨微雨	3236617614	JdlbKgYfC	陈飞宇 #陈飞宇李佳琦直播# 衬衫满满少年感 笑起来太阔爱啦忍不住跟着嘴角上扬www @陈飞宇Arthur ​	2020年07月28日 22:55	2	10	37	https://weibo.com/3236617614/JdlbKgYfC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlbKgYfC?uid=3236617614&rl=1
余羽生	7410441884	JdlbJkomd	目测这是李佳琦直播间第一次上吉他吧！！哈哈飞宇gg超帅，白到发光～#陈飞宇李佳琦直播##陈飞宇李佳琦弹唱小星星# ​	2020年07月28日 22:55	3	3	3	https://weibo.com/7410441884/JdlbJkomd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlbJkomd?uid=7410441884&rl=1
汤和猫咪和好天气	5223631991	JdlbIaFyF	陈飞宇和李佳琦这两个人互动的好暖～吹唢呐+小星星，太独一无二了kiki#陈飞宇李佳琦直播##陈飞宇李佳琦弹唱小星星# 2杭州 ​	2020年07月28日 22:54	3		9	https://weibo.com/5223631991/JdlbIaFyF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlbIaFyF?uid=5223631991&rl=1
Mona洛洛	5481746583	JdlbAbY5T	#陈飞宇李佳琦直播#我都等了3个小时！哈哈哈喝着菠萝啤看李佳琦直播，太夏天啦～这个陈飞宇还挺帅的，皮肤好白净！#陈飞宇李佳琦弹唱小星星# ​	2020年07月28日 22:54	3	3	3	https://weibo.com/5481746583/JdlbAbY5T?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlbAbY5T?uid=5481746583&rl=1
一半橘瓣	5657756448	JdlbxhVGa	#陈飞宇李佳琦直播#两位大帅哥乐器合作弹唱小星星真的太可爱啦✨ L一半橘瓣的微博视频 ​	2020年07月28日 22:54		评论		https://weibo.com/5657756448/JdlbxhVGa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlbxhVGa?uid=5657756448&rl=1
古灵精怪爆棚	2395568037	Jdlbj3H1a	#陈飞宇李佳琦直播#Olay太好了哦，看到陈飞宇真的是白净又活力四射，超级喜欢，羡慕了呀#陈飞宇李佳琦弹唱小星星# ​​​	2020年07月28日 22:53	1	2	4	https://weibo.com/2395568037/Jdlbj3H1a?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jdlbj3H1a?uid=2395568037&rl=1
陈二猪的77	5177631129	JdlbcfREw	#陈飞宇李佳琦直播# 这俩量头围把我笑der了奇怪的谜团又多了一个，所以陈飞宇的头围是多少呢 ​	2020年07月28日 22:53			2	https://weibo.com/5177631129/JdlbcfREw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlbcfREw?uid=5177631129&rl=1
坚持早睡-	6386691669	JdlbawFnZ	#陈飞宇李佳琦直播# 来康康去年参加活动帅哥的大长腿@陈飞宇Arthur L坚持早睡-的微博视频 ​	2020年07月28日 22:53	1	1	5	https://weibo.com/6386691669/JdlbawFnZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlbawFnZ?uid=6386691669&rl=1
选秀粉聚集中心	6776097812	JdlaZzwiw	你瞅瞅你瞅瞅！陈飞宇这个侧颜！老公你帅成这样这像话吗！#陈飞宇李佳琦直播# L选秀粉聚集中心的微博视频 ​	2020年07月28日 22:53	165	183	1363	https://weibo.com/6776097812/JdlaZzwiw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdlaZzwiw?uid=6776097812&rl=1
