用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
娱闻少女	5471534537	JeMo6b8Av	#顾佳在浴缸里痛哭# 太心疼顾佳了这都什么事儿啊 许幻山这个男的太不值得了！ ​	2020年08月07日 09:59	120	101	1574	https://weibo.com/5471534537/JeMo6b8Av?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMo6b8Av?uid=5471534537&rl=1
法治成都	2635159794	JeMo2f6cd	【视频短片丨 原配可以向小三要回哪些钱？】#三十而已##顾佳在浴缸里痛哭# L济南中院的微博视频 ​	2020年08月07日 09:59	7	3	12	https://weibo.com/2635159794/JeMo2f6cd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMo2f6cd?uid=2635159794&rl=1
董小姐的追剧日记	6511455704	JeMnP2SDJ	#顾佳在浴缸里痛哭#“醒着太难过了”至少可以麻痹一会让自己暂时逃避这件事情，远离这个可悲的世界#心疼顾佳# ​	2020年08月07日 09:59	160	157	2789	https://weibo.com/6511455704/JeMnP2SDJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMnP2SDJ?uid=6511455704&rl=1
圈内太子	5777301328	JeMnM5yI4	#顾佳在浴缸里痛哭# | #三十而已#电视剧《三十而已》，林有有身上的蓝色烟花纹身彻底击垮了顾佳，顾佳躺在浴缸里失声痛哭... 许幻山你没有心  O网页链接 ​	2020年08月07日 09:59	170	335	856	https://weibo.com/5777301328/JeMnM5yI4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMnM5yI4?uid=5777301328&rl=1
娱乐圈探班	1312419972	JeMnFydmk	#顾佳在浴缸里痛哭#虽然怕被骂，但是我是想说一句，顾佳自己也有很大问题，自己给许环山了很大的压力，男人怕被说吃软饭 ​	2020年08月07日 09:58	167	265	4266	https://weibo.com/1312419972/JeMnFydmk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMnFydmk?uid=1312419972&rl=1
Y巷尾的梧桐u	6311174730	JeMnzDyQC	#顾佳在浴缸里痛哭#打击太大了！许幻山真是恶心透了 ​	2020年08月07日 09:58		评论		https://weibo.com/6311174730/JeMnzDyQC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMnzDyQC?uid=6311174730&rl=1
青海普法	5884880324	JeMno7esK	#普法课堂# 【视频短片丨 原配可以向小三要回哪些钱？】#三十而已##顾佳在浴缸里痛哭# @济南中院 L济南中院的微博视频 ​	2020年08月07日 09:58		1		https://weibo.com/5884880324/JeMno7esK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMno7esK?uid=5884880324&rl=1
剧透小少女	7413596508	JeMnm0YPP	#顾佳在浴缸里痛哭# 顾佳躺在浴缸里喝着酒说出来的那段话真让人心疼，想成为顾佳，又害怕成为顾佳 ​，心疼顾佳。 ​	2020年08月07日 09:58	46	46	56	https://weibo.com/7413596508/JeMnm0YPP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMnm0YPP?uid=7413596508&rl=1
高密普法	3172300192	JeMndciSC	#法治微课堂# 【视频短片丨 原配可以向小三要回哪些钱？】#三十而已##顾佳在浴缸里痛哭# L济南中院的微博视频 ​​​	2020年08月07日 09:57	14	53	33	https://weibo.com/3172300192/JeMndciSC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMndciSC?uid=3172300192&rl=1
娱乐饭桶	2770914283	JeMnceH3x	#顾佳在浴缸里痛哭# 顾佳在外人面前好刚强呀！自己难过的时候也是自我缓解舒压，面对工作和家庭问题，太心疼顾佳了！！！ ​	2020年08月07日 09:57	262	463	8245	https://weibo.com/2770914283/JeMnceH3x?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMnceH3x?uid=2770914283&rl=1
圈星星	6334013502	JeMnckaPB	#顾佳在浴缸里痛哭#真的太心疼顾佳了！！这个许幻山真的不配拥有这样的完美妻子，气死了气死了，顾佳说“醒着太难过了”，她没想到做的一切都成了他的压力。这一场戏看着真是太难受了，难过到流泪怎么止都止不住。#三十而已# ​	2020年08月07日 09:57	67	66	154	https://weibo.com/6334013502/JeMnckaPB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMnckaPB?uid=6334013502&rl=1
娱乐榜姐	2653906910	JeMn4h7g5	#顾佳在浴缸里痛哭# 从来都没有被困难打败的顾佳，看到林有有的蓝色烟花wen身，终究还会忍不住在浴缸里痛哭这一段代入感太强了，童谣演技真绝！！ ​	2020年08月07日 09:57	206	382	11402	https://weibo.com/2653906910/JeMn4h7g5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMn4h7g5?uid=2653906910&rl=1
饭圈少女喵	2839363032	JeMmZiYqk	#顾佳在浴缸里痛哭#林有有蓝色烟花纹身打破了顾佳心里最后一道防线！心疼顾佳！  L饭圈少女喵的微博视频 ​​​	2020年08月07日 09:57	111	109	447	https://weibo.com/2839363032/JeMmZiYqk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMmZiYqk?uid=2839363032&rl=1
新剧不断更	1830275485	JeMm87LdY	#顾佳在浴缸里痛哭#真的太心疼顾佳了！！这个许幻山真的不配拥有这样的完美妻子，气死了气死了，赶紧离了！ ​	2020年08月07日 09:55	146	183	1392	https://weibo.com/1830275485/JeMm87LdY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMm87LdY?uid=1830275485&rl=1
哈尔和汤和好天气	1578070471	JeMm12hzf	#顾佳在浴缸里痛哭#气死了，渣男贱女赶紧滚啊，顾佳你自己带着孩子搞事业吧，让这俩滚蛋！ ​	2020年08月07日 09:54			6	https://weibo.com/1578070471/JeMm12hzf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMm12hzf?uid=1578070471&rl=1
-桃雾星酒林-	6878476602	JeMlbgdfG	#顾佳在浴缸里痛哭#这段哭戏真的演得太好了，演技真的棒👍🏻👍🏻👍🏻 ​	2020年08月07日 09:52		评论		https://weibo.com/6878476602/JeMlbgdfG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeMlbgdfG?uid=6878476602&rl=1
一只刺猬喵	6463195059	JeIYIu3T0	电视剧 #顾佳在浴缸里痛哭# 顾佳*8p.●"以前我以为许幻山放的每一场烟花，都是为我，为这个家...我真可笑。"●"我不喝就得吃药了，醒着太难过。"看到林有有蓝色烟花纹身的那一刻，我能感受到，于顾佳而言，这一刻，远比刚知道偷情痛上千倍。▲整个人的心理防线全线崩塌、溃堤，她失 ​  展开全文c	2020年08月07日 01:19		1	3	https://weibo.com/6463195059/JeIYIu3T0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIYIu3T0?uid=6463195059&rl=1
暖雪千寻	1159128164	JeEZNDYMF	#三十而已##顾佳为什么净身出户# #顾佳在浴缸里痛哭# 关于顾佳离婚这点，非常非常非常的不合理！为了某种意义上打造一个顾佳的完美人设，明明是夫妻共同打下的家产，离婚是因为许幻山出轨导致，却让顾佳要净身出户，该争取的权益不争，这样的完美不但没有意义，反而会误导女性生活是艰难的，婚姻 ​  展开全文c	2020年08月06日 15:10		1	2	https://weibo.com/1159128164/JeEZNDYMF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeEZNDYMF?uid=1159128164&rl=1
娱圈扒皮	6290256477	JeDpdB1mp	#三十而已# 顾佳离婚后被帅哥搭讪，虽然婚姻失败，却魅力十足#顾佳在浴缸里痛哭# L娱圈扒皮的微博视频 2上海 ​	2020年08月06日 11:08		4	5	https://weibo.com/6290256477/JeDpdB1mp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeDpdB1mp?uid=6290256477&rl=1
阿猫电影	7016206379	JegH4dhPY	#林有有 许幻山#醒着太难过，隔着屏幕都觉得超级难受，那种天塌的感觉，说真的这个小三太幸运了，如果遇到那种冲动的原配，不是缺胳膊就是少腿，哪里会像佳佳那样好言好语还买机票#顾佳在浴缸里痛哭# L阿猫电影的微博视频 ​	2020年08月04日 01:18	13	34	146	https://weibo.com/7016206379/JegH4dhPY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JegH4dhPY?uid=7016206379&rl=1
新剧不能停	3986147355	JefV0FR7W	#顾佳在浴缸里痛哭#【童瑶 李泽锋《#三十而已#》第36-43集大结局！——泪奔！！心疼顾佳，看到她溺在浴缸里失声痛哭，太痛了，太痛了！！】过往所有的困难没有击败过顾佳，可是看到林有有露出的蓝色烟花纹身，她被击败了！因为，十年来，那个叫许幻山的男人无数次告诉她：“我所 ​  展开全文c	2020年08月03日 23:20	784	1250	30724	https://weibo.com/3986147355/JefV0FR7W?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefV0FR7W?uid=3986147355&rl=1
朋友圈可爱文案	3192798427	Je1DxzZJE	❀生活远比想象中委屈但是你也远比想象中更强大呀[米奇比心]#朋友圈文案##朋友圈分享##顾佳在浴缸里痛哭# ​	2020年08月02日 10:58	7		45	https://weibo.com/3192798427/Je1DxzZJE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je1DxzZJE?uid=3192798427&rl=1
