原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
我要剧透啦	:#顾佳穿搭#《三十而已》顾佳太霸气了，人间过绿器呀！顾佳的人设真的很迷人，学霸、聪明、人情练达、入得职场下得厨房，和老公一起创业赚到第一桶金后，毅然做起全职太太，誓要把儿子培养成成顶尖人才。于男人而言，除了压迫感较强，有这样的妻子很完美；于女人而言，这样的女人简直就是自己的人生目标！顾佳为人做事是有自己的道理的，我们称之为“顾学”吧！顾佳开除小三这件事上，她拿捏得十分精准，分清轻重，不吵不闹，稳准狠，教科书般的示范，你来看看：老公许幻山公司设计部新来了女员工李可。初来，李可就买25元一个的橙子送给老板，用尽小心思。顾佳看到，跑了N个店找到了这种橙子，让老公在家就能吃到甜橙，不必在公司对甜橙迷恋。在这种小事上，顾佳要求自己细节到位。但是，李可还是触到了顾佳的红线！公司有一个业务量占到50%的大客户万总，多年来，顾佳和老公一直小心伺候。但李可却在中间挑拨关系，对许幻山说：“许总，咱们这么好的设计他都不懂！就知道还价，咱们要是再让步，我都替你觉得委屈！”这一番挑拨，导致一直好脾气的许幻山和万总大打出手，公司损失惨重，面临破产危机。这时，顾佳可不能忍了！她直接写好了辞职信让李可走人：“一些女孩子不注重自己专业能力，把心思花在男领导上，在职场迟早要付出代价。我唯一不能容忍的是给公司造成了损失！”霸气顾佳！在处理各种靠近丈夫的女人问题上，她分清轻重，下手精准这部剧看得我好爽！女主又A又飒，顾佳手撕智斗绿茶，童瑶又美又飒演得也好，看得很过瘾，顾佳这个角色太适合她了，这个人设太圈粉啦！一直以来被国产憋屈女主形象气到的我这次有被爽到～姐妹们，“顾学”组团学起来！人间过绿器你值得拥有～ 我要剧透啦的微博视频	2020-07-23 08:55:57    	樱桃小宝宝佛系打工	5225538749	樱桃小宝宝佛系打工:转发微博	赞[0]	2020-07-24 12:44:50	来自Redmi Note 7 Pro
我要剧透啦	:#顾佳穿搭#《三十而已》顾佳太霸气了，人间过绿器呀！顾佳的人设真的很迷人，学霸、聪明、人情练达、入得职场下得厨房，和老公一起创业赚到第一桶金后，毅然做起全职太太，誓要把儿子培养成成顶尖人才。于男人而言，除了压迫感较强，有这样的妻子很完美；于女人而言，这样的女人简直就是自己的人生目标！顾佳为人做事是有自己的道理的，我们称之为“顾学”吧！顾佳开除小三这件事上，她拿捏得十分精准，分清轻重，不吵不闹，稳准狠，教科书般的示范，你来看看：老公许幻山公司设计部新来了女员工李可。初来，李可就买25元一个的橙子送给老板，用尽小心思。顾佳看到，跑了N个店找到了这种橙子，让老公在家就能吃到甜橙，不必在公司对甜橙迷恋。在这种小事上，顾佳要求自己细节到位。但是，李可还是触到了顾佳的红线！公司有一个业务量占到50%的大客户万总，多年来，顾佳和老公一直小心伺候。但李可却在中间挑拨关系，对许幻山说：“许总，咱们这么好的设计他都不懂！就知道还价，咱们要是再让步，我都替你觉得委屈！”这一番挑拨，导致一直好脾气的许幻山和万总大打出手，公司损失惨重，面临破产危机。这时，顾佳可不能忍了！她直接写好了辞职信让李可走人：“一些女孩子不注重自己专业能力，把心思花在男领导上，在职场迟早要付出代价。我唯一不能容忍的是给公司造成了损失！”霸气顾佳！在处理各种靠近丈夫的女人问题上，她分清轻重，下手精准这部剧看得我好爽！女主又A又飒，顾佳手撕智斗绿茶，童瑶又美又飒演得也好，看得很过瘾，顾佳这个角色太适合她了，这个人设太圈粉啦！一直以来被国产憋屈女主形象气到的我这次有被爽到～姐妹们，“顾学”组团学起来！人间过绿器你值得拥有～ 我要剧透啦的微博视频	2020-07-23 08:55:57    	王晓宇001	5263565288	王晓宇001:转发微博	赞[0]	2020-07-24 11:38:11	来自荣耀9i 千元潮美旗舰
我要剧透啦	:#顾佳穿搭#《三十而已》顾佳太霸气了，人间过绿器呀！顾佳的人设真的很迷人，学霸、聪明、人情练达、入得职场下得厨房，和老公一起创业赚到第一桶金后，毅然做起全职太太，誓要把儿子培养成成顶尖人才。于男人而言，除了压迫感较强，有这样的妻子很完美；于女人而言，这样的女人简直就是自己的人生目标！顾佳为人做事是有自己的道理的，我们称之为“顾学”吧！顾佳开除小三这件事上，她拿捏得十分精准，分清轻重，不吵不闹，稳准狠，教科书般的示范，你来看看：老公许幻山公司设计部新来了女员工李可。初来，李可就买25元一个的橙子送给老板，用尽小心思。顾佳看到，跑了N个店找到了这种橙子，让老公在家就能吃到甜橙，不必在公司对甜橙迷恋。在这种小事上，顾佳要求自己细节到位。但是，李可还是触到了顾佳的红线！公司有一个业务量占到50%的大客户万总，多年来，顾佳和老公一直小心伺候。但李可却在中间挑拨关系，对许幻山说：“许总，咱们这么好的设计他都不懂！就知道还价，咱们要是再让步，我都替你觉得委屈！”这一番挑拨，导致一直好脾气的许幻山和万总大打出手，公司损失惨重，面临破产危机。这时，顾佳可不能忍了！她直接写好了辞职信让李可走人：“一些女孩子不注重自己专业能力，把心思花在男领导上，在职场迟早要付出代价。我唯一不能容忍的是给公司造成了损失！”霸气顾佳！在处理各种靠近丈夫的女人问题上，她分清轻重，下手精准这部剧看得我好爽！女主又A又飒，顾佳手撕智斗绿茶，童瑶又美又飒演得也好，看得很过瘾，顾佳这个角色太适合她了，这个人设太圈粉啦！一直以来被国产憋屈女主形象气到的我这次有被爽到～姐妹们，“顾学”组团学起来！人间过绿器你值得拥有～ 我要剧透啦的微博视频	2020-07-23 08:55:57    	柳橙啊字晓离	lauraxiaoli	柳橙啊字晓离:转发微博	赞[0]	2020-07-23 13:31:01	来自iPhone客户端
我要剧透啦	:#顾佳穿搭#《三十而已》顾佳太霸气了，人间过绿器呀！顾佳的人设真的很迷人，学霸、聪明、人情练达、入得职场下得厨房，和老公一起创业赚到第一桶金后，毅然做起全职太太，誓要把儿子培养成成顶尖人才。于男人而言，除了压迫感较强，有这样的妻子很完美；于女人而言，这样的女人简直就是自己的人生目标！顾佳为人做事是有自己的道理的，我们称之为“顾学”吧！顾佳开除小三这件事上，她拿捏得十分精准，分清轻重，不吵不闹，稳准狠，教科书般的示范，你来看看：老公许幻山公司设计部新来了女员工李可。初来，李可就买25元一个的橙子送给老板，用尽小心思。顾佳看到，跑了N个店找到了这种橙子，让老公在家就能吃到甜橙，不必在公司对甜橙迷恋。在这种小事上，顾佳要求自己细节到位。但是，李可还是触到了顾佳的红线！公司有一个业务量占到50%的大客户万总，多年来，顾佳和老公一直小心伺候。但李可却在中间挑拨关系，对许幻山说：“许总，咱们这么好的设计他都不懂！就知道还价，咱们要是再让步，我都替你觉得委屈！”这一番挑拨，导致一直好脾气的许幻山和万总大打出手，公司损失惨重，面临破产危机。这时，顾佳可不能忍了！她直接写好了辞职信让李可走人：“一些女孩子不注重自己专业能力，把心思花在男领导上，在职场迟早要付出代价。我唯一不能容忍的是给公司造成了损失！”霸气顾佳！在处理各种靠近丈夫的女人问题上，她分清轻重，下手精准这部剧看得我好爽！女主又A又飒，顾佳手撕智斗绿茶，童瑶又美又飒演得也好，看得很过瘾，顾佳这个角色太适合她了，这个人设太圈粉啦！一直以来被国产憋屈女主形象气到的我这次有被爽到～姐妹们，“顾学”组团学起来！人间过绿器你值得拥有～ 我要剧透啦的微博视频	2020-07-23 08:55:57    	蓝精灵的蘑菇	2356804650	蓝精灵的蘑菇:转发微博	赞[0]	2020-07-25 21:19:01	来自小米8周年旗舰手机
我要剧透啦	:#顾佳穿搭#《三十而已》顾佳太霸气了，人间过绿器呀！顾佳的人设真的很迷人，学霸、聪明、人情练达、入得职场下得厨房，和老公一起创业赚到第一桶金后，毅然做起全职太太，誓要把儿子培养成成顶尖人才。于男人而言，除了压迫感较强，有这样的妻子很完美；于女人而言，这样的女人简直就是自己的人生目标！顾佳为人做事是有自己的道理的，我们称之为“顾学”吧！顾佳开除小三这件事上，她拿捏得十分精准，分清轻重，不吵不闹，稳准狠，教科书般的示范，你来看看：老公许幻山公司设计部新来了女员工李可。初来，李可就买25元一个的橙子送给老板，用尽小心思。顾佳看到，跑了N个店找到了这种橙子，让老公在家就能吃到甜橙，不必在公司对甜橙迷恋。在这种小事上，顾佳要求自己细节到位。但是，李可还是触到了顾佳的红线！公司有一个业务量占到50%的大客户万总，多年来，顾佳和老公一直小心伺候。但李可却在中间挑拨关系，对许幻山说：“许总，咱们这么好的设计他都不懂！就知道还价，咱们要是再让步，我都替你觉得委屈！”这一番挑拨，导致一直好脾气的许幻山和万总大打出手，公司损失惨重，面临破产危机。这时，顾佳可不能忍了！她直接写好了辞职信让李可走人：“一些女孩子不注重自己专业能力，把心思花在男领导上，在职场迟早要付出代价。我唯一不能容忍的是给公司造成了损失！”霸气顾佳！在处理各种靠近丈夫的女人问题上，她分清轻重，下手精准这部剧看得我好爽！女主又A又飒，顾佳手撕智斗绿茶，童瑶又美又飒演得也好，看得很过瘾，顾佳这个角色太适合她了，这个人设太圈粉啦！一直以来被国产憋屈女主形象气到的我这次有被爽到～姐妹们，“顾学”组团学起来！人间过绿器你值得拥有～ 我要剧透啦的微博视频	2020-07-23 08:55:57    	东北老矿工	7308344195	东北老矿工:转发微博	赞[0]	2020-07-25 19:50:43	来自iPhone客户端
我要剧透啦	:#顾佳穿搭#《三十而已》顾佳太霸气了，人间过绿器呀！顾佳的人设真的很迷人，学霸、聪明、人情练达、入得职场下得厨房，和老公一起创业赚到第一桶金后，毅然做起全职太太，誓要把儿子培养成成顶尖人才。于男人而言，除了压迫感较强，有这样的妻子很完美；于女人而言，这样的女人简直就是自己的人生目标！顾佳为人做事是有自己的道理的，我们称之为“顾学”吧！顾佳开除小三这件事上，她拿捏得十分精准，分清轻重，不吵不闹，稳准狠，教科书般的示范，你来看看：老公许幻山公司设计部新来了女员工李可。初来，李可就买25元一个的橙子送给老板，用尽小心思。顾佳看到，跑了N个店找到了这种橙子，让老公在家就能吃到甜橙，不必在公司对甜橙迷恋。在这种小事上，顾佳要求自己细节到位。但是，李可还是触到了顾佳的红线！公司有一个业务量占到50%的大客户万总，多年来，顾佳和老公一直小心伺候。但李可却在中间挑拨关系，对许幻山说：“许总，咱们这么好的设计他都不懂！就知道还价，咱们要是再让步，我都替你觉得委屈！”这一番挑拨，导致一直好脾气的许幻山和万总大打出手，公司损失惨重，面临破产危机。这时，顾佳可不能忍了！她直接写好了辞职信让李可走人：“一些女孩子不注重自己专业能力，把心思花在男领导上，在职场迟早要付出代价。我唯一不能容忍的是给公司造成了损失！”霸气顾佳！在处理各种靠近丈夫的女人问题上，她分清轻重，下手精准这部剧看得我好爽！女主又A又飒，顾佳手撕智斗绿茶，童瑶又美又飒演得也好，看得很过瘾，顾佳这个角色太适合她了，这个人设太圈粉啦！一直以来被国产憋屈女主形象气到的我这次有被爽到～姐妹们，“顾学”组团学起来！人间过绿器你值得拥有～ 我要剧透啦的微博视频	2020-07-23 08:55:57    	用户7320681151	7320681151	用户7320681151:转发微博	赞[0]	2020-07-25 17:41:43	来自vivo Z3性能实力派
我要剧透啦	:#顾佳穿搭#《三十而已》顾佳太霸气了，人间过绿器呀！顾佳的人设真的很迷人，学霸、聪明、人情练达、入得职场下得厨房，和老公一起创业赚到第一桶金后，毅然做起全职太太，誓要把儿子培养成成顶尖人才。于男人而言，除了压迫感较强，有这样的妻子很完美；于女人而言，这样的女人简直就是自己的人生目标！顾佳为人做事是有自己的道理的，我们称之为“顾学”吧！顾佳开除小三这件事上，她拿捏得十分精准，分清轻重，不吵不闹，稳准狠，教科书般的示范，你来看看：老公许幻山公司设计部新来了女员工李可。初来，李可就买25元一个的橙子送给老板，用尽小心思。顾佳看到，跑了N个店找到了这种橙子，让老公在家就能吃到甜橙，不必在公司对甜橙迷恋。在这种小事上，顾佳要求自己细节到位。但是，李可还是触到了顾佳的红线！公司有一个业务量占到50%的大客户万总，多年来，顾佳和老公一直小心伺候。但李可却在中间挑拨关系，对许幻山说：“许总，咱们这么好的设计他都不懂！就知道还价，咱们要是再让步，我都替你觉得委屈！”这一番挑拨，导致一直好脾气的许幻山和万总大打出手，公司损失惨重，面临破产危机。这时，顾佳可不能忍了！她直接写好了辞职信让李可走人：“一些女孩子不注重自己专业能力，把心思花在男领导上，在职场迟早要付出代价。我唯一不能容忍的是给公司造成了损失！”霸气顾佳！在处理各种靠近丈夫的女人问题上，她分清轻重，下手精准这部剧看得我好爽！女主又A又飒，顾佳手撕智斗绿茶，童瑶又美又飒演得也好，看得很过瘾，顾佳这个角色太适合她了，这个人设太圈粉啦！一直以来被国产憋屈女主形象气到的我这次有被爽到～姐妹们，“顾学”组团学起来！人间过绿器你值得拥有～ 我要剧透啦的微博视频	2020-07-23 08:55:57    	Camellia花渡	6432506728	Camellia花渡:转发微博	赞[0]	2020-07-25 12:49:55	来自HUAWEI P40 Pro 5G
我要剧透啦	:#顾佳穿搭#《三十而已》顾佳太霸气了，人间过绿器呀！顾佳的人设真的很迷人，学霸、聪明、人情练达、入得职场下得厨房，和老公一起创业赚到第一桶金后，毅然做起全职太太，誓要把儿子培养成成顶尖人才。于男人而言，除了压迫感较强，有这样的妻子很完美；于女人而言，这样的女人简直就是自己的人生目标！顾佳为人做事是有自己的道理的，我们称之为“顾学”吧！顾佳开除小三这件事上，她拿捏得十分精准，分清轻重，不吵不闹，稳准狠，教科书般的示范，你来看看：老公许幻山公司设计部新来了女员工李可。初来，李可就买25元一个的橙子送给老板，用尽小心思。顾佳看到，跑了N个店找到了这种橙子，让老公在家就能吃到甜橙，不必在公司对甜橙迷恋。在这种小事上，顾佳要求自己细节到位。但是，李可还是触到了顾佳的红线！公司有一个业务量占到50%的大客户万总，多年来，顾佳和老公一直小心伺候。但李可却在中间挑拨关系，对许幻山说：“许总，咱们这么好的设计他都不懂！就知道还价，咱们要是再让步，我都替你觉得委屈！”这一番挑拨，导致一直好脾气的许幻山和万总大打出手，公司损失惨重，面临破产危机。这时，顾佳可不能忍了！她直接写好了辞职信让李可走人：“一些女孩子不注重自己专业能力，把心思花在男领导上，在职场迟早要付出代价。我唯一不能容忍的是给公司造成了损失！”霸气顾佳！在处理各种靠近丈夫的女人问题上，她分清轻重，下手精准这部剧看得我好爽！女主又A又飒，顾佳手撕智斗绿茶，童瑶又美又飒演得也好，看得很过瘾，顾佳这个角色太适合她了，这个人设太圈粉啦！一直以来被国产憋屈女主形象气到的我这次有被爽到～姐妹们，“顾学”组团学起来！人间过绿器你值得拥有～ 我要剧透啦的微博视频	2020-07-23 08:55:57    	SKJYA	5729868651	SKJYA:转发微博	赞[0]	2020-07-25 12:38:34	来自nova6 5G自拍大不一样
我要剧透啦	:#顾佳穿搭#《三十而已》顾佳太霸气了，人间过绿器呀！顾佳的人设真的很迷人，学霸、聪明、人情练达、入得职场下得厨房，和老公一起创业赚到第一桶金后，毅然做起全职太太，誓要把儿子培养成成顶尖人才。于男人而言，除了压迫感较强，有这样的妻子很完美；于女人而言，这样的女人简直就是自己的人生目标！顾佳为人做事是有自己的道理的，我们称之为“顾学”吧！顾佳开除小三这件事上，她拿捏得十分精准，分清轻重，不吵不闹，稳准狠，教科书般的示范，你来看看：老公许幻山公司设计部新来了女员工李可。初来，李可就买25元一个的橙子送给老板，用尽小心思。顾佳看到，跑了N个店找到了这种橙子，让老公在家就能吃到甜橙，不必在公司对甜橙迷恋。在这种小事上，顾佳要求自己细节到位。但是，李可还是触到了顾佳的红线！公司有一个业务量占到50%的大客户万总，多年来，顾佳和老公一直小心伺候。但李可却在中间挑拨关系，对许幻山说：“许总，咱们这么好的设计他都不懂！就知道还价，咱们要是再让步，我都替你觉得委屈！”这一番挑拨，导致一直好脾气的许幻山和万总大打出手，公司损失惨重，面临破产危机。这时，顾佳可不能忍了！她直接写好了辞职信让李可走人：“一些女孩子不注重自己专业能力，把心思花在男领导上，在职场迟早要付出代价。我唯一不能容忍的是给公司造成了损失！”霸气顾佳！在处理各种靠近丈夫的女人问题上，她分清轻重，下手精准这部剧看得我好爽！女主又A又飒，顾佳手撕智斗绿茶，童瑶又美又飒演得也好，看得很过瘾，顾佳这个角色太适合她了，这个人设太圈粉啦！一直以来被国产憋屈女主形象气到的我这次有被爽到～姐妹们，“顾学”组团学起来！人间过绿器你值得拥有～ 我要剧透啦的微博视频	2020-07-23 08:55:57    	yueyetu525	3963634096	yueyetu525:	赞[0]	2020-07-24 14:15:15	来自华为P9手机摄影再突破
我要剧透啦	:#顾佳穿搭#《三十而已》顾佳太霸气了，人间过绿器呀！顾佳的人设真的很迷人，学霸、聪明、人情练达、入得职场下得厨房，和老公一起创业赚到第一桶金后，毅然做起全职太太，誓要把儿子培养成成顶尖人才。于男人而言，除了压迫感较强，有这样的妻子很完美；于女人而言，这样的女人简直就是自己的人生目标！顾佳为人做事是有自己的道理的，我们称之为“顾学”吧！顾佳开除小三这件事上，她拿捏得十分精准，分清轻重，不吵不闹，稳准狠，教科书般的示范，你来看看：老公许幻山公司设计部新来了女员工李可。初来，李可就买25元一个的橙子送给老板，用尽小心思。顾佳看到，跑了N个店找到了这种橙子，让老公在家就能吃到甜橙，不必在公司对甜橙迷恋。在这种小事上，顾佳要求自己细节到位。但是，李可还是触到了顾佳的红线！公司有一个业务量占到50%的大客户万总，多年来，顾佳和老公一直小心伺候。但李可却在中间挑拨关系，对许幻山说：“许总，咱们这么好的设计他都不懂！就知道还价，咱们要是再让步，我都替你觉得委屈！”这一番挑拨，导致一直好脾气的许幻山和万总大打出手，公司损失惨重，面临破产危机。这时，顾佳可不能忍了！她直接写好了辞职信让李可走人：“一些女孩子不注重自己专业能力，把心思花在男领导上，在职场迟早要付出代价。我唯一不能容忍的是给公司造成了损失！”霸气顾佳！在处理各种靠近丈夫的女人问题上，她分清轻重，下手精准这部剧看得我好爽！女主又A又飒，顾佳手撕智斗绿茶，童瑶又美又飒演得也好，看得很过瘾，顾佳这个角色太适合她了，这个人设太圈粉啦！一直以来被国产憋屈女主形象气到的我这次有被爽到～姐妹们，“顾学”组团学起来！人间过绿器你值得拥有～ 我要剧透啦的微博视频	2020-07-23 08:55:57    	布争上流枉少年	1048916832	布争上流枉少年:转发微博	赞[0]	2020-07-26 10:48:36	来自HUAWEI Mate30 Pro 5G
