原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	人情事故cc	7362471926	人情事故cc:愿一路走好啊	赞[0]	2020-09-14 10:52:06	来自vivo X23 AI非凡摄影
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	hhy叶子	6207135434	hhy叶子:节哀顺变啊	赞[0]	2020-09-14 10:52:07	来自vivo智能手机客户端
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	山河寂LZ	7118132812	山河寂LZ:一路走好	赞[0]	2020-09-14 10:52:01	来自iPhone客户端
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	众生仰慕的神y	7495601199	众生仰慕的神y:一句走好	赞[0]	2020-09-14 10:51:54	来自OnePlus 8
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	清雨空山	5815266369	清雨空山:	赞[0]	2020-09-14 10:51:48	来自iPhone客户端
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	又是新鲜感嘛a	5257433689	又是新鲜感嘛a:节哀顺变吧	赞[0]	2020-09-14 10:52:16	来自HUAWEI nova 3
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	欧气楪飞舞祈	7404932227	欧气楪飞舞祈:心疼	赞[0]	2020-09-14 10:52:31	来自nova5Pro人像超级夜景
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	你在枞中笑	5977857084	你在枞中笑:节哀顺变	赞[0]	2020-09-14 10:52:30	来自小米8周年旗舰手机
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	红豆派汤圆	2904608821	红豆派汤圆:愿天堂没有病痛	赞[0]	2020-09-14 10:52:24	来自前后2000万 OPPO R11
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	默然芥末酱	6086520556	默然芥末酱:节哀顺变	赞[0]	2020-09-14 10:52:23	来自realme X青春版
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	机灵怪先生	6343858430	机灵怪先生:转发微博	赞[0]	2020-09-14 10:52:19	来自荣耀V20 4800万3D相机
娱老汉	:#黄子韬爸爸追悼会#黄子韬父亲追悼于今日在会在北京八宝山殡仪馆举行，亲朋好友前来吊唁，黄子韬与家人曾表示，希望丧事一切从简，所以此次追悼会仅设置了一个小厅。  	2020-09-14 10:50:12    	艾了爱了爱	7138283918	艾了爱了爱:转发微博	赞[0]	2020-09-14 10:53:11	来自iPhone客户端
