用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
月牙港	1413844024	JgXUg2hVp	#16岁渐冻症男孩去世前恳求捐出器官#愿小天使👼在天堂没有病痛 ​	2020年08月21日 19:00		评论		https://weibo.com/1413844024/JgXUg2hVp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXUg2hVp?uid=1413844024&rl=1
咪咕纪录片	6367852360	JgXUd3RZ1	#16岁渐冻症男孩去世前恳求捐出器官#虽然身患渐冻症，但他的行为温暖了他人，愿天堂没有疾病没有离别，小天使一路走好！点开视频让我们一起了解另一位同样伟大的小天使，虽然只有2岁，但仍让我们钦佩 L2岁小天使捐献所有器官救6人，可悲，可敬，可惜！ ​	2020年08月21日 18:59	157	258	1328	https://weibo.com/6367852360/JgXUd3RZ1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXUd3RZ1?uid=6367852360&rl=1
深圳特区报	1893278624	JgXU0nxVw	【#16岁渐冻症男孩去世前恳求捐出器官# 传递！送送他！】武汉16岁的汉汉患有渐冻症，7月11日，汉汉告别人世。孩子在病榻上曾再三恳求“如果我去世了，请把我的整个身体捐献出去……”父母遵从其生前愿望，捐出他的肝脏、双肾和一对眼角膜。5名患者顺利完成移植，获得了重生！小天使，谢谢你来过！ ​  展开全文c	2020年08月21日 18:59		2	14	https://weibo.com/1893278624/JgXU0nxVw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXU0nxVw?uid=1893278624&rl=1
热门资讯第一线	6367852368	JgXTVmbVZ	#16岁渐冻症男孩去世前恳求捐出器官# 天使回天上了，他把自己的生命用另一种方式活在了这个世界！ 愿你来生有一个健康的身体，能幸福快乐的过完一辈子！（cr:鹰潭日报）  L热门资讯第一线的微博视频 ​	2020年08月21日 18:59	5		9	https://weibo.com/6367852368/JgXTVmbVZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXTVmbVZ?uid=6367852368&rl=1
今天奶狗pick什么香水	5669773529	JgXTS7gRv	#16岁渐冻症男孩去世前恳求捐出器官# 年纪小小这么懂事 小天使留给人间最后的礼物帮到了不少人 ​	2020年08月21日 18:59			4	https://weibo.com/5669773529/JgXTS7gRv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXTS7gRv?uid=5669773529&rl=1
南京广播电视台	2663751563	JgXTK7rgn	【#16岁渐冻症男孩去世前恳求捐出器官# 传递！送送他！】武汉16岁的汉汉患有渐冻症，7月11日，汉汉告别人世。孩子在病榻上曾再三恳求“如果我去世了，请把我的整个身体捐献出去……”父母遵从其生前愿望，捐出他的肝脏、双肾和一对眼角膜。5名患者顺利完成移植，获得了重生！小天使，谢谢你来过！ ​  展开全文c	2020年08月21日 18:58			3	https://weibo.com/2663751563/JgXTK7rgn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXTK7rgn?uid=2663751563&rl=1
BewhY-x	5077653003	JgXTJrrbo	#16岁渐冻症男孩去世前恳求捐出器官#不要无限地放大自己的"痛苦"，有时别人经历的远远是你不能想象的 2温州 ​	2020年08月21日 18:58		评论		https://weibo.com/5077653003/JgXTJrrbo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXTJrrbo?uid=5077653003&rl=1
思困日记	3242072881	JgXTGzAnk	#16岁渐冻症男孩去世前恳求捐出器官#小天使 但愿有来世 一定要健康快乐 ​	2020年08月21日 18:58			1	https://weibo.com/3242072881/JgXTGzAnk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXTGzAnk?uid=3242072881&rl=1
共青团大邑县委	2703487521	JgXTC5sHs	【#16岁渐冻症男孩去世前恳求捐出器官# 传递！送送他！】武汉16岁的汉汉患有渐冻症，7月11日，汉汉告别人世。孩子在病榻上曾再三恳求“如果我去世了，请把我的整个身体捐献出去……”父母遵从其生前愿望，捐出他的肝脏、双肾和一对眼角膜。5名患者顺利完成移植，获得了重生！小天使，谢谢你来过！ ​  展开全文c	2020年08月21日 18:58		2	8	https://weibo.com/2703487521/JgXTC5sHs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXTC5sHs?uid=2703487521&rl=1
·2218·	6984227049	JgXTA5LpT	#16岁渐冻症男孩去世前恳求捐出器官#比我大一点点的哥哥，下辈子你一定会遇到世界上最美好的事物 快快乐乐的活下去 ​	2020年08月21日 18:58		评论		https://weibo.com/6984227049/JgXTA5LpT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgXTA5LpT?uid=6984227049&rl=1
