原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	遗忘的快乐天堂	1764809194	遗忘的快乐天堂:还是希望依靠法律来治理	赞[0]	2020-09-02 19:31:04	来自nova6 5G自拍大不一样
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	日行一善每位朋友	6529676179	日行一善每位朋友:请问建议如何发？请发给教育局和老师急！九月一日和 九月三日 做八件帮助别人的小小事来纪念一下 可做什么每位朋友！讨论后行动！每天一分钟转发正能量文章新闻公益广告#大家一起当大雨高温大水后重建！防台风抗疫应急志愿者做些什么#！#为贫困毕业生做些事初三高三大四#哪有兼职工请告诉贫困同学老师	赞[1]	2020-09-02 19:29:31	来自2019微博极速版
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	luckyman86	3894975450	luckyman86:转发微博	赞[0]	2020-09-02 19:28:21	来自HUAWEI nova 2s
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	用户6766706173	6766706173	用户6766706173:支持净网，支持肖战！！！	赞[0]	2020-09-02 21:02:36	来自微博 weibo.com
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	PPgeng87	3533869490	PPgeng87:转发微博	赞[0]	2020-09-02 20:58:04	来自HUAWEI P30 Pro
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	喵小花花花世界	271349944	喵小花花花世界:转发微博	赞[0]	2020-09-02 20:57:48	来自Android
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	哈根与梦龙齐丨	5049797461	哈根与梦龙齐丨:其他事情咋没这么快呢	赞[0]	2020-09-02 20:36:22	来自Android
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	郁闷假逍遥	shantoujie123	郁闷假逍遥:	赞[0]	2020-09-02 20:25:27	来自HUAWEI Mate 20
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	juawf3936	7489548819	juawf3936:转发微博	赞[0]	2020-09-03 00:26:00	来自iPhone客户端
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	大碴粥黏米饭	5887482148	大碴粥黏米饭:转发微博	赞[0]	2020-09-03 00:25:06	来自iPhone客户端
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	嘻嘻哈哈嘿嘿啦1	6245747431	嘻嘻哈哈嘿嘿啦1:转发微博	赞[0]	2020-09-03 00:20:28	来自iPhone客户端
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	我这号再求封37434	6667130380	我这号再求封37434:转发微博	赞[0]	2020-09-03 00:08:42	来自荣耀 9X
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	微笑依然一	6777062608	微笑依然一:转发微博	赞[0]	2020-09-03 06:55:29	来自全屏双摄 OPPO A5
中新经纬	:【网信办：#1个月来处置1.36万违规吃播账号#】#网信办处置违规吃播账号1.36万个#据“网信中国”微信公众号消息，1个月来，主要网站平台共清理各类违法违规信息603万条，处置违法违规账号559万个，冻结“僵尸”账号92.8万个，处置百万粉丝以上账号169个；从应用商店移出无新闻服务资质应用程序7.2万款；依法处置违法违规直播平台338款，关闭主播直播间7.4万个，封禁违规主播账号10.5万个，处置违规“吃播”账号1.36万个。#网信办处置违规直播平台338款#	2020-09-02 19:25:03    	jacktao159	2792744084	jacktao159:转发微博	赞[0]	2020-09-03 06:09:12	来自Redmi Note 8 Pro四摄
