用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
嘟嘟哔卟	7425410418	Jh8vOpAYC	#TF三代#三代弟弟超级棒的！13个崽崽一起冲呀 ​	2020年08月22日 21:59		评论		https://weibo.com/7425410418/Jh8vOpAYC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8vOpAYC?uid=7425410418&rl=1
宋树立的小敖	6484134730	Jh8vOrNIl	#TF三代#来看看吧，超棒的弟弟们 2周口·西华县 ​	2020年08月22日 21:59		评论		https://weibo.com/6484134730/Jh8vOrNIl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8vOrNIl?uid=6484134730&rl=1
Ruiiii子	6303882094	Jh8vNi5Sq	#TF三代#真的穆祉丞太帅了太帅了我恩仔好棒 ​	2020年08月22日 21:59		评论		https://weibo.com/6303882094/Jh8vNi5Sq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8vNi5Sq?uid=6303882094&rl=1
爱豆新鲜事	1632619962	Jh8vM8mOF	#TF三代#三小只容易吗？奶完二代，再来奶三代，不过小弟弟们唱歌跳舞也不赖，要骂就骂李飞 ​	2020年08月22日 21:59	16	304	1257	https://weibo.com/1632619962/Jh8vM8mOF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8vM8mOF?uid=1632619962&rl=1
草莓的啵丝城堡	7421222918	Jh8vLvAFl	#TF三代#我花钱是去看TFBOYS演唱会的 为什么要给我们看三代?不得不说李飞死了 李飞没有心 ​	2020年08月22日 21:59		评论		https://weibo.com/7421222918/Jh8vLvAFl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8vLvAFl?uid=7421222918&rl=1
沐沐很可奶	7398766957	Jh8vLwIJc	#TF三代#公司够🐶 !但孩子是好孩子!余宇涵今天超棒的 ​	2020年08月22日 21:59		评论		https://weibo.com/7398766957/Jh8vLwIJc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8vLwIJc?uid=7398766957&rl=1
哎呀大佬啊	5887514861	Jh8vKBhch	#TF三代#怎么那么爱蹭呢？？？花钱又不是看你们这种无关人员的，李飞出来解释一下，和人沾边的事一点都不干?我们只想看三只你给我来个三代什么意思？让他们吸三只的血吗？他们平时吸的还不够多吗？？？都吸到演唱会来了，李飞出来挨打，每日一问sdfj倒闭了吗？不要再让他们出来吸血了好吗？？？做个人 ​  展开全文c	2020年08月22日 21:59		1		https://weibo.com/5887514861/Jh8vKBhch?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8vKBhch?uid=5887514861&rl=1
上好佳www_	6659706763	Jh8vKhv9d	#TF三代#还是那一句：孩子都是好孩子 ​	2020年08月22日 21:59			1	https://weibo.com/6659706763/Jh8vKhv9d?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8vKhv9d?uid=6659706763&rl=1
wzzzzz-c	7373595467	Jh8vKlTB7	#TF三代#被骂上热搜了？自己家不也这么过来的吗为什么恶意这么大 ​	2020年08月22日 21:59			1	https://weibo.com/7373595467/Jh8vKlTB7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8vKlTB7?uid=7373595467&rl=1
前辈要抓紧小盆友的手喔	5574407897	Jh8vK38RH	#TF三代#我看了一遍基本没什么人骂孩子都是骂公司，一群三代粉一边说我们骂孩子一边安利，ex，🍵 ​	2020年08月22日 21:59		15	55	https://weibo.com/5574407897/Jh8vK38RH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8vK38RH?uid=5574407897&rl=1
