原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	嗖嗖的跑快跑	5635529805	嗖嗖的跑快跑:大快人心！这种变态应该重罚！	赞[0]	2020-08-30 19:10:16	来自iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	魅影楼兰_祝华哥2021年健康快乐	1791084871	魅影楼兰_祝华哥2021年健康快乐:	赞[0]	2020-08-30 16:55:13	来自小米Max
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	kuduki77	1841160771	kuduki77:不给加害者打马赛克好评	赞[0]	2020-08-30 14:53:17	来自iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	kuduki77	1841160771	kuduki77:转发微博	赞[0]	2020-08-30 14:50:30	来自iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	morin_389	3326539424	morin_389:帅！！	赞[0]	2020-08-30 14:21:41	来自iPhone 7 Plus
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	圆子爱鱼籽	2434263613	圆子爱鱼籽:转发微博	赞[0]	2020-08-30 22:44:17	来自iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	Luka_wong	wby324	Luka_wong:转发微博	赞[0]	2020-08-30 22:40:24	来自iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	清风晓玉tt	3921003539	清风晓玉tt:这样的警察值得点赞	赞[0]	2020-08-30 22:31:52	来自HUAWEI Mate 30 5G
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	YJLYYH72287	5492111850	YJLYYH72287:必须👍	赞[0]	2020-08-30 22:20:11	来自HUAWEI P20
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	桔梗守护	7282863823	桔梗守护:	赞[0]	2020-08-30 22:20:07	来自iPad客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	岁月温柔200803	7385987369	岁月温柔200803:转发微博	赞[0]	2020-08-30 22:06:30	来自iPad客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	飞缘秋起	2323739194	飞缘秋起:转发微博	赞[0]	2020-08-30 22:04:43	来自Redmi Note 7 Pro
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	成都街头巷尾的小仙女	lizhaoyang38	成都街头巷尾的小仙女:转发微博	赞[0]	2020-08-30 22:03:43	来自iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	山屿山凡	3189988102	山屿山凡:转发微博	赞[0]	2020-08-30 22:58:45	来自vivo智能手机
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	许溪一梦	5943231317	许溪一梦:为见义勇为的警察点赞👍🏻👍🏻	赞[0]	2020-08-30 22:57:57	来自iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	星美商贸有限公司	5644836110	星美商贸有限公司:转发微博	赞[0]	2020-08-30 22:57:21	来自荣耀7X 全面屏手机
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	Dear佐霖	3828356510	Dear佐霖:转发微博	赞[0]	2020-08-30 22:56:29	来自荣耀10青春版
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	还是阿朱-	2881190062	还是阿朱-:转发微博	赞[0]	2020-08-30 22:55:54	来自nova6 5G自拍大不一样
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	月底花见	1746409347	月底花见:转发微博	赞[0]	2020-08-30 22:54:52	来自小米8周年旗舰手机
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	小尖尖亚	6181544777	小尖尖亚:转发微博	赞[0]	2020-08-30 22:51:43	来自Android客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	艾米糊糊	amyyao0721	艾米糊糊:转发微博	赞[0]	2020-08-30 23:03:18	来自iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	JENNYXXX	6276641590	JENNYXXX:太帅了，我们需要这样的警察👮	赞[0]	2020-08-30 23:02:59	来自HUAWEI nova 3
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	嘟嘟的温暖小窝	1921602797	嘟嘟的温暖小窝:为每个正义的人点赞	赞[0]	2020-08-30 23:02:41	来自iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	我的男神叫刘在石	5726069938	我的男神叫刘在石:太棒了，为正义警察点赞👍	赞[0]	2020-08-30 23:02:35	来自前置双摄vivo X9
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	赵小胖的主子	2821058681	赵小胖的主子:转发微博	赞[0]	2020-08-30 23:02:10	来自Redmi Note 8 Pro四摄
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	阿方知有	6286727665	阿方知有:转发微博	赞[0]	2020-08-30 23:33:24	来自全屏双摄 OPPO A5
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	张东生-金龙律师-石家庄	5771712086	张东生-金龙律师-石家庄:👏	赞[0]	2020-08-30 23:30:53	来自Android
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	AYING君	2932646561	AYING君:转发微博	赞[0]	2020-08-30 23:28:24	来自nova7你在焦点在
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	依旧小丑鸭	5589281550	依旧小丑鸭:转发微博	赞[0]	2020-08-30 23:27:49	来自Redmi K20 Pro 真旗舰
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	玩耍自在	6610351796	玩耍自在:看这个不打码的版本	赞[0]	2020-08-30 23:26:10	来自iPhone
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	伪装者在潜伏	5402218394	伪装者在潜伏:转发微博	赞[0]	2020-08-30 23:13:34	来自iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	Billbilllan	575997754	Billbilllan:转发微博	赞[0]	2020-08-30 23:10:06	来自荣耀8 美得与众不同
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	啾咪一下小林夕	6590721903	啾咪一下小林夕:转这个没打码的	赞[0]	2020-08-30 23:48:16	来自iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	小岛代表	ccxm90	小岛代表://@娱乐恶婆婆:转一个不打码的，让全国人民认识下这个贱男！	赞[0]	2020-08-30 23:45:54	来自手机iPhone客户端
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	衿朝醉	7154886913	衿朝醉:呜呜呜小哥哥太酷了 摁个赞	赞[10]	2020-08-30 23:42:03	来自荣耀9 美得有声有色
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	南有琴	6488229257	南有琴:看着就解气！为人民警察鼓掌！	赞[0]	2020-08-30 23:41:42	来自
央视网青年	:【大快人心！#交警抱摔醉酒猥亵女学生男子# 】26日，江苏南京一女孩在餐厅遭一男子猥亵，斥责对方后竟遭殴打。同在餐厅内的民警王曦，立即上前拉开男子，男子又进行推搡。王曦随即亮明警察身份，将其制伏。目前，男子已被刑拘。网友：那句“我就是警察”太有安全感了！央视新闻的微博视频 	2020-08-30 14:15:38    	縠转流年	5217963688	縠转流年:我丢，也太帅了吧	赞[1]	2020-08-30 23:40:58	来自OPPO R15 梦镜版
