用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
宜昌网警巡查执法	3265957290	JeyDEqieD	【国务院安委办、应急管理部：立即开展#全国危化品储存安全专项检查整治#】黎巴嫩首都贝鲁特港口区当地时间4日傍晚发生剧烈爆炸，目前已造成100多人死亡、4000多人受伤。5日，国务院安委会办公室、应急管理部召开全国安全生产专题视频会议，强调要以港口、码头、物流仓库、化工园区等为重点，立即开展 ​  展开全文c	2020年08月05日 22:59		评论		https://weibo.com/3265957290/JeyDEqieD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyDEqieD?uid=3265957290&rl=1
攀枝花综合广播	2286385060	JeyDtbAT5	【国务院安委办、应急管理部：立即开展#全国危化品储存安全专项检查整治#】黎巴嫩首都贝鲁特港口区当地时间4日傍晚发生剧烈爆炸，目前已造成100多人死亡、4000多人受伤。5日，国务院安委会办公室、应急管理部召开全国安全生产专题视频会议，强调要以港口、码头、物流仓库、化工园区等为重点，立即开展 ​  展开全文c	2020年08月05日 22:59			2	https://weibo.com/2286385060/JeyDtbAT5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyDtbAT5?uid=2286385060&rl=1
河北长城网	1936119834	JeyDfkrfO	【国务院安委办、应急管理部：立即开展#全国危化品储存安全专项检查整治#】黎巴嫩首都贝鲁特港口区当地时间4日傍晚发生剧烈爆炸，目前已造成100多人死亡、4000多人受伤。5日，国务院安委会办公室、应急管理部召开全国安全生产专题视频会议，强调要以港口、码头、物流仓库、化工园区等为重点，立即开展 ​  展开全文c	2020年08月05日 22:58	2		6	https://weibo.com/1936119834/JeyDfkrfO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyDfkrfO?uid=1936119834&rl=1
通拉嘎	1246095481	JeyD0e5TJ	#全国危化品储存安全专项检查整治#好好检查 ​	2020年08月05日 22:58	1	5	5	https://weibo.com/1246095481/JeyD0e5TJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyD0e5TJ?uid=1246095481&rl=1
a平安健康是每个人的希望	6664325012	JeyCZAesh	#全国危化品储存安全专项检查整治# 安全生产月都检查了吗？ ​每次非要等到出事后才整顿，不出事故就不整顿，出了事故不处理有关责任人。责任人不依法处理能不出安全事故吗？ La平安健康是每个人的希望的微博视频 ​	2020年08月05日 22:58		评论		https://weibo.com/6664325012/JeyCZAesh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyCZAesh?uid=6664325012&rl=1
夏日温柔萦绕	5627739822	JeyCU1PH0	#全国危化品储存安全专项检查整治# 别地方出事了赶紧看看我们安不安全 ​	2020年08月05日 22:57			1	https://weibo.com/5627739822/JeyCU1PH0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyCU1PH0?uid=5627739822&rl=1
阿懵酱Plus	2764131202	JeyCC0ldd	#全国危化品储存安全专项检查整治#我们这里化工厂基本每周都会有火灾，经常半夜听到消防车过来，化工厂作业的味道也特别难闻，像毒气，隔得老远飘到屋子里很恶心，他们也只敢晚上开工，然而这是县政府和武汉合作迁进的一批化工企业，所以很多时候我都觉得有些好政策都只是说说而已，趋利社会让人绝望 ​	2020年08月05日 22:57		评论		https://weibo.com/2764131202/JeyCC0ldd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyCC0ldd?uid=2764131202&rl=1
人真美	2686355031	JeyCzlKDk	#全国危化品储存安全专项检查整治#我们一直都在变好，逝者安息 ​	2020年08月05日 22:57			1	https://weibo.com/2686355031/JeyCzlKDk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyCzlKDk?uid=2686355031&rl=1
走路不打伞	6162195277	JeyCvdAvW	#全国危化品储存安全专项检查整治#居安思危，平安！ ​	2020年08月05日 22:56			1	https://weibo.com/6162195277/JeyCvdAvW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyCvdAvW?uid=6162195277&rl=1
酷八养乐多大魔王	6383725230	JeyCauau8	#全国危化品储存安全专项检查整治#15年8月12天津港爆炸之后就该大检查，严加防范。这样的事真的不能再发生了。 ​	2020年08月05日 22:56		评论		https://weibo.com/6383725230/JeyCauau8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyCauau8?uid=6383725230&rl=1
粤港澳-大湾区	3140752367	JeyC0vNpO	#全国危化品储存安全专项检查整治# 居安思危，防患于未然！ ​	2020年08月05日 22:55			1	https://weibo.com/3140752367/JeyC0vNpO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyC0vNpO?uid=3140752367&rl=1
我是宣啊	1908052431	JeyBhfYqz	#全国危化品储存安全专项检查整治#防患于未然引以为戒不要在有无辜的人伤亡了 ​	2020年08月05日 22:53			1	https://weibo.com/1908052431/JeyBhfYqz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyBhfYqz?uid=1908052431&rl=1
隔b老周	6427263349	JeyB4xsBP	#全国危化品储存安全专项检查整治#对危化品生产、贮存、加工、运输、销售和使用单位必须高频度严格检查。 ​	2020年08月05日 22:53			2	https://weibo.com/6427263349/JeyB4xsBP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyB4xsBP?uid=6427263349&rl=1
爱看头条	1892327960	JeyAY2zou	【国务院安委办、应急管理部：立即开展#全国危化品储存安全专项检查整治#】黎巴嫩首都贝鲁特港口区当地时间4日傍晚发生剧烈爆炸，目前已造成100多人死亡、4000多人受伤。5日，国务院安委会办公室、应急管理部召开全国安全生产专题视频会议，强调要以港口、码头、物流仓库、化工园区等为重点，立即开 ​  展开全文c	2020年08月05日 22:53			4	https://weibo.com/1892327960/JeyAY2zou?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyAY2zou?uid=1892327960&rl=1
华夏铸军魂	5855598209	JeyAnsnt0	#全国危化品储存安全专项检查整治#如果不是黎巴嫩安全爆炸事件！估计不会这么快吧！亡羊补牢为时不晚！ 危化品储存你担心的是国企近还是私企呢呢？ ​	2020年08月05日 22:51		7	339	https://weibo.com/5855598209/JeyAnsnt0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyAnsnt0?uid=5855598209&rl=1
娃哈哈盖中盖	5127409360	JeyzYi3ir	#全国危化品储存安全专项检查整治#见不贤而自省支持，防患于未然🙏 ​	2020年08月05日 22:50			1	https://weibo.com/5127409360/JeyzYi3ir?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyzYi3ir?uid=5127409360&rl=1
林峦峦	5627536262	JeyzY0uB9	#全国危化品储存安全专项检查整治#黎巴嫩的爆炸给大家敲了一记警钟 ​	2020年08月05日 22:50			1	https://weibo.com/5627536262/JeyzY0uB9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyzY0uB9?uid=5627536262&rl=1
巧克力胖子很绝情	7423612763	JeyzRt7QQ	上蹿下跳的猹#全国危化品储存安全专项检查整治#果然居安思危，看到危化品带来的严重后果，就赶紧加强自己的安全管理！其实只要HSE做到位，严格遵守，就不会发生问题！ ​	2020年08月05日 22:50			1	https://weibo.com/7423612763/JeyzRt7QQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyzRt7QQ?uid=7423612763&rl=1
娱乐音乐追综	6227941017	JeyzI1Y9d	#全国危化品储存安全专项检查整治# 时刻绷紧安全这根弦！未雨绸缪，防患于未然 ​	2020年08月05日 22:50		评论		https://weibo.com/6227941017/JeyzI1Y9d?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyzI1Y9d?uid=6227941017&rl=1
小米饭1559	2629025377	JeyzbzT5N	#全国危化品储存安全专项检查整治#支持，防范于未然 ​	2020年08月05日 22:48			1	https://weibo.com/2629025377/JeyzbzT5N?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyzbzT5N?uid=2629025377&rl=1
Red_Sea_Fu	5665336012	JeyyMqLCc	#全国危化品储存安全专项检查整治#学化学的我呀支持呀！做的好！ ​	2020年08月05日 22:47		评论		https://weibo.com/5665336012/JeyyMqLCc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyyMqLCc?uid=5665336012&rl=1
蕾--G	6229514824	JeyyLh2Be	#全国危化品储存安全专项检查整治#防患于未然把不必要的灾难提前避免 ​	2020年08月05日 22:47		评论		https://weibo.com/6229514824/JeyyLh2Be?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyyLh2Be?uid=6229514824&rl=1
老九32593	6588230192	JeyysAzIQ	#全国危化品储存安全专项检查整治# ​	2020年08月05日 22:47		评论		https://weibo.com/6588230192/JeyysAzIQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyysAzIQ?uid=6588230192&rl=1
说走就走旅行攻略	6933650997	Jeyy5wzkw	#全国危化品储存安全专项检查整治#防患于未然，这个真的很有必要，危化品不出事故则已，一出事故几乎都是大事故🙏🙏 L说走就走旅行攻略的微博视频 ​	2020年08月05日 22:46	21	3	45	https://weibo.com/6933650997/Jeyy5wzkw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeyy5wzkw?uid=6933650997&rl=1
各界新闻网官微	7126605018	Jeyy2ndHs	【国务院安委办、应急管理部：立即开展#全国危化品储存安全专项检查整治#】黎巴嫩首都贝鲁特港口区当地时间4日傍晚发生剧烈爆炸，目前已造成100多人死亡、4000多人受伤。5日，国务院安委会办公室、应急管理部召开全国安全生产专题视频会议，强调要以港口、码头、物流仓库、化工园区等为重点，立即开展 ​  展开全文c	2020年08月05日 22:45	1		1	https://weibo.com/7126605018/Jeyy2ndHs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeyy2ndHs?uid=7126605018&rl=1
顾楠折酒	6719199612	Jeyy01xBx	#全国危化品储存安全专项检查整治#全国危化品储存安全专项检查整治未雨绸缪防患于未然！！ ​	2020年08月05日 22:45		评论		https://weibo.com/6719199612/Jeyy01xBx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jeyy01xBx?uid=6719199612&rl=1
大强	2272673835	JeyxOa2wO	#全国危化品储存安全专项检查整治#这个检查整治是正常的，安全的警钟要长鸣，但总有松懈的地方。大面积检查，保证万无一失。 ​	2020年08月05日 22:45	14	11	134	https://weibo.com/2272673835/JeyxOa2wO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeyxOa2wO?uid=2272673835&rl=1
