原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	爱情小偷	6436627383	爱情小偷:转发微博	赞[0]	2020-08-24 22:27:55	来自realme X全屏敢越级
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	蓦然676	6018898616	蓦然676:真的好甜呀	赞[0]	2020-08-24 22:27:52	来自Android
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	可爱头目A	6034898364	可爱头目A:我也这么感觉	赞[0]	2020-08-24 22:28:06	来自前后2000万 OPPO R11
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	欧哩开心吖	6359587594	欧哩开心吖:转发微博	赞[0]	2020-08-24 22:28:06	来自OPPO A11
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	鲜袖小姐	5518684656	鲜袖小姐:太会撩了	赞[0]	2020-08-24 22:28:07	来自iPhone客户端
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	小池里有小鸭子	7319237137	小池里有小鸭子:转发微博	赞[0]	2020-08-24 22:28:06	来自荣耀 9X
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	_顾生_	6443685342	_顾生_:教教我呗，要不然一直单身	赞[0]	2020-08-24 22:28:03	来自OPPO Reno3 Pro 5G
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	卍解天锁斩月一户	goodmanPassionLee	卍解天锁斩月一户:好甜	赞[0]	2020-08-24 22:28:15	来自nova5Pro人像超级夜景
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	led小小孩	6789796881	led小小孩:这也太厉害了吧。	赞[0]	2020-08-24 22:28:13	来自OPPO R9s
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	蔓航·	7300382809	蔓航·:真的实在是太会说了	赞[0]	2020-08-24 22:28:13	来自vivo NEX AI智慧旗舰
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	情似流水去无形	6704561070	情似流水去无形:转发微博	赞[0]	2020-08-24 22:28:10	来自nova5i 2400万AI四摄
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	小小小姐姐你好啊	6448337238	小小小姐姐你好啊:还哈太喜欢了吧	赞[0]	2020-08-24 22:28:21	来自Android
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	V甜心妹妹	6078161377	V甜心妹妹:剧情很精彩！喜欢看	赞[0]	2020-08-24 22:28:20	来自红米Redmi
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	醉酒su相思	2886405997	醉酒su相思:转发微博	赞[0]	2020-08-24 22:28:20	来自OPPO R11 Plus
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	我是爱笑的娜娜a521	7359740266	我是爱笑的娜娜a521:转发微博	赞[0]	2020-08-24 22:28:19	来自vivo X27 4800万三摄
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	唧唧哇哇zz	5651442135	唧唧哇哇zz:太甜了	赞[0]	2020-08-24 22:28:18	来自iPhone客户端
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	江南暖房	6118561581	江南暖房:转发微博	赞[0]	2020-08-24 22:28:17	来自nova4e 3200W立体美颜
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	阿弥陀佛的姐姐	6673307080	阿弥陀佛的姐姐:哇塞！太甜蜜了哦	赞[0]	2020-08-24 22:28:31	来自nova5i 2400万AI四摄
前线娱乐	:#凌霄 我这辈子都是你的人# 凌霄太会说情话了记得教教小哥呗，怕他找不到女朋友了 	2020-08-24 22:26:33    	送你一朵小红花qq	6676586268	送你一朵小红花qq:好会说话	赞[0]	2020-08-24 22:28:30	来自HUAWEI nova 2s
