原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
宋威龙全国后援会	:#凌霄烫伤# swl #宋威龙以家人之名# 又是心疼凌霄的一天，辣条们速来接收来自凌男友的贴心安慰吧～ 	2020-08-19 21:01:07    	菠壕包	5397436322	菠壕包:心疼	赞[0]	2020-08-19 21:05:00	来自iPhone客户端
宋威龙全国后援会	:#凌霄烫伤# swl #宋威龙以家人之名# 又是心疼凌霄的一天，辣条们速来接收来自凌男友的贴心安慰吧～ 	2020-08-19 21:01:07    	丞诺i	5683293135	丞诺i:转发微博	赞[0]	2020-08-19 21:03:18	来自nova5i 2400万AI四摄
宋威龙全国后援会	:#凌霄烫伤# swl #宋威龙以家人之名# 又是心疼凌霄的一天，辣条们速来接收来自凌男友的贴心安慰吧～ 	2020-08-19 21:01:07    	那就叫我玛瑙吧	6372161436	那就叫我玛瑙吧:转发微博	赞[0]	2020-08-19 21:03:16	来自微博 weibo.com
宋威龙全国后援会	:#凌霄烫伤# swl #宋威龙以家人之名# 又是心疼凌霄的一天，辣条们速来接收来自凌男友的贴心安慰吧～ 	2020-08-19 21:01:07    	2020年遇见所有美好	7438799681	2020年遇见所有美好:#凌霄烫伤# 暖心大哥凌霄#宋威龙以家人之名#	赞[1]	2020-08-19 21:03:14	来自荣耀 9X PRO
宋威龙全国后援会	:#凌霄烫伤# swl #宋威龙以家人之名# 又是心疼凌霄的一天，辣条们速来接收来自凌男友的贴心安慰吧～ 	2020-08-19 21:01:07    	疯子在右yy	3284767027	疯子在右yy:转发微博	赞[0]	2020-08-19 21:01:58	来自iPhone客户端
宋威龙全国后援会	:#凌霄烫伤# swl #宋威龙以家人之名# 又是心疼凌霄的一天，辣条们速来接收来自凌男友的贴心安慰吧～ 	2020-08-19 21:01:07    	侯雅瑜99	6506384669	侯雅瑜99:#宋威龙以家人之名# swl#宋威龙凌霄#  妈耶～这表情包也太可爱了吧😳💕 @宋威龙99	赞[1]	2020-08-19 22:03:24	来自iPhone客户端
宋威龙全国后援会	:#凌霄烫伤# swl #宋威龙以家人之名# 又是心疼凌霄的一天，辣条们速来接收来自凌男友的贴心安慰吧～ 	2020-08-19 21:01:07    	Lim52	5949818555	Lim52:Repost	赞[0]	2020-08-19 21:52:06	来自iPhone
宋威龙全国后援会	:#凌霄烫伤# swl #宋威龙以家人之名# 又是心疼凌霄的一天，辣条们速来接收来自凌男友的贴心安慰吧～ 	2020-08-19 21:01:07    	想引起小宋的注意	5715659235	想引起小宋的注意:好可爱	赞[1]	2020-08-19 21:51:14	来自HUAWEI nova 3
宋威龙全国后援会	:#凌霄烫伤# swl #宋威龙以家人之名# 又是心疼凌霄的一天，辣条们速来接收来自凌男友的贴心安慰吧～ 	2020-08-19 21:01:07    	短腿少女y	6233958435	短腿少女y:可可爱爱	赞[0]	2020-08-19 21:30:30	来自荣耀X10 5G
宋威龙全国后援会	:#凌霄烫伤# swl #宋威龙以家人之名# 又是心疼凌霄的一天，辣条们速来接收来自凌男友的贴心安慰吧～ 	2020-08-19 21:01:07    	哎呀SONG	snowcat995	哎呀SONG:#宋威龙[超话]#	赞[0]	2020-08-19 21:26:14	来自iPhone客户端
