原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	朝著夢想前進的阿星	2808194955	朝著夢想前進的阿星:轉發微博	赞[0]	2020-08-19 21:00:01	来自三星android智能手机
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	JinRoee竹子	jinroee	JinRoee竹子:这段真的快看哭了	赞[0]	2020-08-19 20:59:56	来自iPhone客户端
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	朱丽叶的小鱼儿	5340517290	朱丽叶的小鱼儿:转发微博	赞[0]	2020-08-19 21:38:59	来自荣耀20 PRO
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	anan小金	2033497374	anan小金:凌霄给子秋夹丸子那里突然忍不住想哭，都是苦孩子啊	赞[1]	2020-08-19 21:28:12	来自荣耀V9 我想要的快
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	花好良辰同载酒	5290997742	花好良辰同载酒://@tang圆_白团团:不会啦，等尖尖爆发了三兄妹消除隔阂后还是会坐在哥俩中间的//@馒头不知道的:尖尖再也不坐他俩中间了 尖尖坐俩爸中间照顾俩爸	赞[0]	2020-08-19 21:15:45	来自
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	古灵精怪的糯米酥	5692635686	古灵精怪的糯米酥:转发微博	赞[0]	2020-08-19 21:09:02	来自前后2000万 OPPO R11s
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	可不可以只睡觉_	6383732289	可不可以只睡觉_:行了哥和小哥的兄弟情才是最好的	赞[0]	2020-08-19 21:07:57	来自nova5Pro人像超级夜景
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	限期心动__	6765169460	限期心动__:就让凌霄和小哥在一起吧	赞[0]	2020-08-19 21:04:29	来自微博国际版
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	波妞波妞大金鱼	5033939047	波妞波妞大金鱼:妈的我想磕大哥和小哥了，b站素材都在这儿了	赞[0]	2020-08-19 21:04:18	来自Android
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	漉雪-	6046222328	漉雪-:我宣布宋威龙就是我见一个爱一个里面最近最爱的那个！	赞[1]	2020-08-19 21:04:00	来自微博国际版
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	运动时间到了	5236648163	运动时间到了:要温馨不要隔阂！！！	赞[0]	2020-08-19 21:03:11	来自
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	司钰涵人艺戏迷	6051830857	司钰涵人艺戏迷:转发微博	赞[0]	2020-08-19 23:36:14	来自iPhone客户端
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	是N_Clover啊	6406403419	是N_Clover啊:哭死 两个哥哥真的好苦	赞[0]	2020-08-19 23:26:51	来自iPhone客户端
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	说话不骂人	7035833861	说话不骂人:夹菜和碰杯那里，太好代了吧呜呜呜呜呜呜	赞[0]	2020-08-19 23:04:51	来自iPhone客户端
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	是不在此处	717793345	是不在此处:#以家人之名# 这剧的亲情线真的细腻感动	赞[0]	2020-08-19 22:43:38	来自荣耀10 AI变色更潮美
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	球球NWJ	1855028273	球球NWJ:我觉得这时候只有大哥小哥最能明白对方，都知道对方这九年不容易	赞[0]	2020-08-19 22:34:20	来自iPhone客户端
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	内心戏青年演员	2662846283	内心戏青年演员:唉	赞[0]	2020-08-19 22:29:50	来自iPhone客户端
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	今天Evan好好学习了吗	5224670869	今天Evan好好学习了吗:嗐 凌霄的细心真是把我吃得死死的	赞[0]	2020-08-19 22:00:22	来自iPhone客户端
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	涵涵布丁糖	5997981511	涵涵布丁糖://@馒头不知道的:尖尖再也不坐他俩中间了 尖尖坐俩爸中间照顾俩爸	赞[0]	2020-08-20 10:32:48	来自iPad mini
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	Irene巴黎飞雪	2514005340	Irene巴黎飞雪:转发微博	赞[0]	2020-08-20 07:47:53	来自OPPO智能手机
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	碳酸饼干历险记_	6528289401	碳酸饼干历险记_:要我我也不想坐了 好烦哭死我了//@馒头不知道的:尖尖再也不坐他俩中间了 尖尖坐俩爸中间照顾俩爸	赞[0]	2020-08-20 02:40:47	来自iPhone客户端
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	南鱼0909	2889498287	南鱼0909:转发微博	赞[0]	2020-08-20 01:00:53	来自nova6 5G自拍大不一样
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	林敏义	reallinlumin	林敏义:转发微博	赞[0]	2020-08-20 00:05:33	来自iPhone 6
中影小水	:#以家人之名# 凌霄的烫伤，凌爸曾经的脑震荡，贺子秋生气为什么都不告诉他，李尖尖一句话把子秋怼得又郁闷了，细心的凌霄，夹了一块肉给他……就像当年，把汤端给他一样，把子秋从自责中暂时拉了出来……凌爸的生日，一家五口多年后的一次火锅~还是开开心心吃完啦谭松韵 / 宋威龙 / 张新成 / 涂松岩 / 张晞临#凌霄烫伤# http://t.cn/A6Uus4qq	2020-08-19 20:56:50    	热心市民小武_	5239625017	热心市民小武_:他们感情都好好后面不要虐了吧	赞[0]	2020-08-19 23:48:28	来自vivo X20全面屏手机
