原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	空负曲江花满路	3201291875	空负曲江花满路:转发微博	赞[0]	2020-09-13 19:42:22	来自华为手机 畅享玩不停
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	川沙妲己我的好儿儿	5866678322	川沙妲己我的好儿儿:转发微博	赞[0]	2020-09-13 19:42:20	来自iPhone客户端
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	小燕子37769	5558116236	小燕子37769:转发微博	赞[0]	2020-09-13 19:42:15	来自iPhone客户端
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	鸽鏃網	3224566662	鸽鏃網:转发微博	赞[0]	2020-09-13 19:41:21	来自nova7你在焦点在
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	y-vampire-y	1670706011	y-vampire-y:转发微博	赞[0]	2020-09-13 19:40:54	来自iPhone客户端
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	惜雯贝贝	2337270630	惜雯贝贝:转发微博	赞[1]	2020-09-13 19:40:41	来自OPPO Reno4 Pro 5G
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	chouinshu	1826598725	chouinshu:转发微博	赞[1]	2020-09-13 19:40:40	来自iPhone客户端
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	丶夏大宝die	3169230657	丶夏大宝die:转发微博	赞[0]	2020-09-13 19:40:13	来自HUAWEI Mate 20 Pro
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	玉儿20120414	3889304699	玉儿20120414:转发微博	赞[1]	2020-09-13 19:44:29	来自荣耀手机 勇敢做自己
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	哆瑞咪发嗦yu	3192068311	哆瑞咪发嗦yu:转发微博	赞[0]	2020-09-13 19:43:50	来自nova6 5G自拍大不一样
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	越来越强大的梁华华	2033232975	越来越强大的梁华华:转发微博	赞[0]	2020-09-13 19:43:45	来自iPhone客户端
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	Ms_Wu小妮	2680845681	Ms_Wu小妮:转发微博	赞[0]	2020-09-13 19:43:37	来自Android客户端
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	热爱抹茶的抹茶君	5148185544	热爱抹茶的抹茶君:转发微博	赞[0]	2020-09-13 19:43:15	来自iPhone客户端
抚州发布	:三秒教你变出玫瑰花，五秒系出蝴蝶结，马住！！！#刚领完证的新人是什么样的# 全球创意搜罗的微博视频 抚州 	2020-09-13 18:11:09    	是你的就是你的lucky	2516532373	是你的就是你的lucky:转发微博	赞[0]	2020-09-13 19:43:05	来自小米5X 拍人更美
