用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
木丸居士	1269735961	JeIrRA1Ph	#包商银行将被提起破产申请#这不会是最后一个破产的银行，大家记得要规避风险 ​	2020年08月06日 23:58		1		https://weibo.com/1269735961/JeIrRA1Ph?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIrRA1Ph?uid=1269735961&rl=1
我的键盘有超能力	2032497997	JeIrHk0Q7	#包商银行将被提起破产申请#突然想起来包商银行客服前两天还给我打电话还说什么包商银行被升级成国有银行，定期年利率4.2是全市最高，让我赶紧去存钱。。。。 ​	2020年08月06日 23:57		评论		https://weibo.com/2032497997/JeIrHk0Q7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIrHk0Q7?uid=2032497997&rl=1
乌拉乌拉__Q	1250396713	JeIr8qLrd	还真被陆先生这个乌鸦嘴说中了？去年就说不久的将来肯定会有银行倒闭#包商银行将被提起破产申请# 2杭州 ​	2020年08月06日 23:56		6	1	https://weibo.com/1250396713/JeIr8qLrd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIr8qLrd?uid=1250396713&rl=1
HERMES的小窝	1415676655	JeIqO2vXU	#包商银行将被提起破产申请#【央行：包商银行严重资不抵债，将被提起破产申请。存款保障方案看这里！】#包商银行将被提起破产申请# 8月6日，中国人民银行披露《2020年第二季度中国货币政策执行报告》，回顾了包商银行风险处置。央行称，根据前期包商银行严重资不抵债的清产核资结果，包商银行将被提起 ​  展开全文c	2020年08月06日 23:55	1	2	3	https://weibo.com/1415676655/JeIqO2vXU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIqO2vXU?uid=1415676655&rl=1
HERMES的小窝	1415676655	JeIqwDwoT	#包商银行将被提起破产申请#【央行：#包商银行将被提起破产申请#，对原股东的股权等依法清算】8月6日，央行发布《2020年第二季度中国货币政策执行报告》。报告以专栏的形式回顾了包商银行风险处置情况。2019年5月24日，包商银行因出现严重信用风险，被人民银行、银保监会联合接管。接管组全面行使包商 ​  展开全文c	2020年08月06日 23:54		3	1	https://weibo.com/1415676655/JeIqwDwoT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIqwDwoT?uid=1415676655&rl=1
沉静长师	6931430602	JeIqd44DO	说真话知真相#包商银行将被提起破产申请#银行出现倒闭的情形已经成为事实，有第一个也就有第二个，需要注意防范风险！ ​	2020年08月06日 23:54			2	https://weibo.com/6931430602/JeIqd44DO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIqd44DO?uid=6931430602&rl=1
深山客卿	7439332346	JeIq58HPQ	#包商银行将被提起破产申请#第一起吧，不过不意外，运营模式注定走不远 ​	2020年08月06日 23:53		评论		https://weibo.com/7439332346/JeIq58HPQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIq58HPQ?uid=7439332346&rl=1
寒夜KK	1405733295	JeIq3DOaV	#包商银行将被提起破产申请#我的个天？银行业的快来解释一下，破产是神马个意思啊 ​	2020年08月06日 23:53		2	2	https://weibo.com/1405733295/JeIq3DOaV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIq3DOaV?uid=1405733295&rl=1
不想92162	6664584213	JeIpx8F6S	#包商银行将被提起破产申请#在一堆影视花边新闻的夹缝中的正经事 ​	2020年08月06日 23:52		2	1	https://weibo.com/6664584213/JeIpx8F6S?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIpx8F6S?uid=6664584213&rl=1
访员袁志强	2523760152	JeIp5jOLn	访员话题【央行：包商银行严重资不抵债，将被提起破产申请。存款保障方案看这里！】#包商银行将被提起破产申请# 8月6日，中国人民银行披露《2020年第二季度中国货币政策执行报告》，回顾了包商银行风险处置。央行称，根据前期包商银行严重资不抵债的清产核资结果，包商银行将被提起破产申请， ​  展开全文c	2020年08月06日 23:51		评论		https://weibo.com/2523760152/JeIp5jOLn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIp5jOLn?uid=2523760152&rl=1
孔财神创业投资	2479962720	JeIoKpofK	【央行：#包商银行将被提起破产申请# 对原股东的股权等依法清算】允许银行破产，央行不再兜底是好事，该出清的就应该出清，脓包不破，伤不会好。 ​	2020年08月06日 23:50			1	https://weibo.com/2479962720/JeIoKpofK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeIoKpofK?uid=2479962720&rl=1
