用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
天津一中院	3774510130	JeI43FqF6	#包头达茂旗鼠疫1人死亡35人被隔离#【#包头发布达茂旗鼠疫疫情Ⅲ级预警#】据内蒙古包头市卫健委，8月2日，包头市接到达茂旗卫生健康委报告，达茂旗石宝镇温都不令村委苏吉新村发生一例死亡病例，自治区、包头市疾控中心鼻咽拭子PCR核酸检测呈阳性，自治区综合疾控中心鼻咽拭子基因测序检测符合鼠疫目标 ​  展开全文c	2020年08月06日 22:59	1	评论		https://weibo.com/3774510130/JeI43FqF6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeI43FqF6?uid=3774510130&rl=1
易喵燚烊	6372259008	JeI437iYk	#包头达茂旗鼠疫1人死亡35人被隔离#这个地方离我就真的很近了，希望大家都平安🙏另外，希望卫生防疫部门能科普一下如何防范鼠疫，要干货。 ​	2020年08月06日 22:59	1	57	14	https://weibo.com/6372259008/JeI437iYk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeI437iYk?uid=6372259008&rl=1
我终于要换名字了	3482137045	JeI3YnxP5	#包头达茂旗鼠疫1人死亡35人被隔离#我的小村村啊！ ​	2020年08月06日 22:59			1	https://weibo.com/3482137045/JeI3YnxP5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeI3YnxP5?uid=3482137045&rl=1
晓晓晓晓晓晓阳	6292669982	JeI3Snq6m	#包头达茂旗鼠疫1人死亡35人被隔离#所以在出现鼠间鼠疫初期的时候就要提早防范。 ​	2020年08月06日 22:59		2	3	https://weibo.com/6292669982/JeI3Snq6m?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeI3Snq6m?uid=6292669982&rl=1
柠檬味儿iiiPF6	5694866132	JeI3CcMuI	#包头达茂旗鼠疫1人死亡35人被隔离#平安 ​	2020年08月06日 22:58		评论		https://weibo.com/5694866132/JeI3CcMuI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeI3CcMuI?uid=5694866132&rl=1
医学界网站	2780297340	JeI3rclJB	#包头达茂旗鼠疫1人死亡35人被隔离#中国11个鼠疫自然疫源地鼠疫耶尔森菌质粒谱类型及其分布特征 - 2015《中华预防医学杂志》 ​	2020年08月06日 22:58	6	4	16	https://weibo.com/2780297340/JeI3rclJB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeI3rclJB?uid=2780297340&rl=1
会昌发布	3310807924	JeI3nlNSU	#包头达茂旗鼠疫1人死亡35人被隔离#【#包头发布达茂旗鼠疫疫情Ⅲ级预警#】据内蒙古包头市卫健委，8月2日，包头市接到达茂旗卫生健康委报告，达茂旗石宝镇温都不令村委苏吉新村发生一例死亡病例，自治区、包头市疾控中心鼻咽拭子PCR核酸检测呈阳性，自治区综合疾控中心鼻咽拭子基因测序检测符合鼠疫目标 ​  展开全文c	2020年08月06日 22:57		评论		https://weibo.com/3310807924/JeI3nlNSU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeI3nlNSU?uid=3310807924&rl=1
最南充	1774114510	JeI3d2yeU	#包头达茂旗鼠疫1人死亡35人被隔离#【#包头发布达茂旗鼠疫疫情Ⅲ级预警#】据内蒙古包头市卫健委，8月2日，包头市接到达茂旗卫生健康委报告，达茂旗石宝镇温都不令村委苏吉新村发生一例死亡病例，自治区、包头市疾控中心鼻咽拭子PCR核酸检测呈阳性，自治区综合疾控中心鼻咽拭子基因测序检测符合鼠疫目标 ​  展开全文c	2020年08月06日 22:57	1		1	https://weibo.com/1774114510/JeI3d2yeU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeI3d2yeU?uid=1774114510&rl=1
问艺术	6451609106	JeI39vOpR	#包头达茂旗鼠疫1人死亡35人被隔离#【#包头发布达茂旗鼠疫疫情Ⅲ级预警#请注意预警 你了解鼠疫吗？ ​	2020年08月06日 22:57		1	224	https://weibo.com/6451609106/JeI39vOpR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeI39vOpR?uid=6451609106&rl=1
杏林心雨	5671098772	JeI39tCK0	#包头达茂旗鼠疫1人死亡35人被隔离#鼠疫是鼠疫杆菌所致的烈性传染病，鼠疫杆菌对外环境抵抗力不强，对光、热、干燥及一般消毒剂均敏感。鼠疫是鼠类及其它啮齿类动物的传染病，可借蚤传染人，发病急、传染性强、病死率高。腺鼠疫多见于疫情初期。肺鼠疫多见于高峰期，是人间鼠疫的重要传染源。跳蚤是最 ​  展开全文c	2020年08月06日 22:57		评论		https://weibo.com/5671098772/JeI39tCK0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeI39tCK0?uid=5671098772&rl=1
