用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
我真的叫直直啊	5995937592	JksldyFH5	#原来谐音梗真的会扣钱#直直和朋友散步，朋友突然悠悠地说：感觉现在四季都变慢了。直直一震惊，想他一工科男，居然能说出那么诗意的话来。 过了一会他又说：是该换个5G了 ​	2020年09月13日 17:59	2	7	44	https://weibo.com/5995937592/JksldyFH5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JksldyFH5?uid=5995937592&rl=1
诗瑶63270	6552946472	Jkslan1Z2	#原来谐音梗真的会扣钱#:我喜欢李白的诗，陆游气坏了。结果我家就没有网了第一遍读的时候竟然都没发现是谐音 ​	2020年09月13日 17:59		评论		https://weibo.com/6552946472/Jkslan1Z2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jkslan1Z2?uid=6552946472&rl=1
·仲夏夜玫瑰·	6351374777	JkskZavs7	#原来谐音梗真的会扣钱#哈哈哈哈哈哈笑死了 ​	2020年09月13日 17:59			1	https://weibo.com/6351374777/JkskZavs7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkskZavs7?uid=6351374777&rl=1
可立克	7477084155	JkskVjVKo	领导：谐音梗，扣钱领导：你是不是想吃炒鱿鱼？#原来谐音梗真的会扣钱# ​	2020年09月13日 17:59		评论		https://weibo.com/7477084155/JkskVjVKo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkskVjVKo?uid=7477084155&rl=1
会摇滚的仙人掌	5945777214	JkskUnpLE	#原来谐音梗真的会扣钱#一天，英文字母A和B谈恋爱了，B对A说“A，只要我存在一天就会爱你一天。一直一直到永远。”A宠溺的抱抱他深情的说道“你个傻B” ​	2020年09月13日 17:58			1	https://weibo.com/5945777214/JkskUnpLE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkskUnpLE?uid=5945777214&rl=1
番茄乌梅小居居	2275610335	JkskAAxPH	#原来谐音梗真的会扣钱#扣钱的时候没有一个王建国是无辜的 ​	2020年09月13日 17:58		2	2	https://weibo.com/2275610335/JkskAAxPH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkskAAxPH?uid=2275610335&rl=1
Fan·Stars_0616	6148683466	JksktsRZ6	#原来谐音梗真的会扣钱#哈哈哈哈哈哈哈哈谐音梗扣钱不再是说说而已 ​	2020年09月13日 17:57			2	https://weibo.com/6148683466/JksktsRZ6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JksktsRZ6?uid=6148683466&rl=1
憨憨花花H	6368729369	JksjE8vVP	#原来谐音梗真的会扣钱# ​	2020年09月13日 17:55		评论		https://weibo.com/6368729369/JksjE8vVP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JksjE8vVP?uid=6368729369&rl=1
菠萝鸡尾包	1811433471	JksiNeSNA	#原来谐音梗真的会扣钱# @贾耗Xlife ​	2020年09月13日 17:53			1	https://weibo.com/1811433471/JksiNeSNA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JksiNeSNA?uid=1811433471&rl=1
慧慧子On	6642584298	JksiGoNQS	#原来谐音梗真的会扣钱##seventeen# 救命，我第一个想到次人 ​	2020年09月13日 17:53			1	https://weibo.com/6642584298/JksiGoNQS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JksiGoNQS?uid=6642584298&rl=1
