用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
神说要有光sumo	1770151083	JbYnfgZCo	#周深工作室# 实在按耐不住还是抽个奖吧转发抽一位打929，7月25日那天抽吧不用关注祝周深前程似锦，未来如鲲鹏展翅，扶摇九万里   欢迎新伙伴@周深工作室 🈲 氧🈲 湖🈲 一切嘴过周星的人O抽奖详情 ​	2020年07月19日 22:59	1195	552	278	https://weibo.com/1770151083/JbYnfgZCo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYnfgZCo?uid=1770151083&rl=1
十级汤泡饭爱好者小缘	2964330505	JbYnbEJQ0	#周深工作室#工作室先把随风给我整热搜上去！事业粉着急啊！ ​	2020年07月19日 22:59			14	https://weibo.com/2964330505/JbYnbEJQ0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYnbEJQ0?uid=2964330505&rl=1
帅哥的事情少管	1961751242	JbYnasQ6f	#周深工作室# 虽然 但是冲！！！！！ ​	2020年07月19日 22:59		评论		https://weibo.com/1961751242/JbYnasQ6f?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYnasQ6f?uid=1961751242&rl=1
我想当个魔法师	1897370912	JbYnabeoU	#周深工作室# 终于！！！ ​	2020年07月19日 22:59			2	https://weibo.com/1897370912/JbYnabeoU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYnabeoU?uid=1897370912&rl=1
很辣的辣味辣椒	5323389836	JbYn8nCsu	#周深工作室#  要越来越好☺️☺️☺️分享单曲 K越来越好 (@网易云音乐) ​	2020年07月19日 22:59		评论		https://weibo.com/5323389836/JbYn8nCsu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYn8nCsu?uid=5323389836&rl=1
邹阿嬷	2190483632	JbYn2t1sS	#周深工作室# 在你的歌声里仿佛能短暂的当一个无忧无虑的小朋友@卡布叻_周深 L卡布叻_周深的秒拍视频 ​	2020年07月19日 22:59		1	16	https://weibo.com/2190483632/JbYn2t1sS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYn2t1sS?uid=2190483632&rl=1
沫儿51944	5870322975	JbYn2dCHU	#周深工作室#深深终于要自己单干了吗，好感动呀，终于要摆脱苦海了吗，祝深深越来越好，未来陪你去更大的舞台呀 ​	2020年07月19日 22:59		评论		https://weibo.com/5870322975/JbYn2dCHU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYn2dCHU?uid=5870322975&rl=1
林夕兮喵叽	6072134071	JbYmYECWe	#周深工作室#。    #周深随风# 今天听直播的时候就觉得很好听了，听了现场饭拍，觉得哇塞，原来还可以更好听！！！就是叭，饭拍画质太差找了半天都找不到周深人L白白白SandraY的微博视频 ​	2020年07月19日 22:59	1	1	13	https://weibo.com/6072134071/JbYmYECWe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYmYECWe?uid=6072134071&rl=1
芒果影视站	1751008202	JbYmYn1KF	#周深工作室#成立了！那深深子的音乐之路越走走6了啊！莫名觉得周深与最近因三十而已大火的江疏影好像 ​	2020年07月19日 22:59	224	216	358	https://weibo.com/1751008202/JbYmYn1KF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYmYn1KF?uid=1751008202&rl=1
雨绪子	2210505687	JbYmWDR5r	#周深工作室#真的吗？恭喜深深，有种熬出头的感觉了 ​	2020年07月19日 22:59		评论		https://weibo.com/2210505687/JbYmWDR5r?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYmWDR5r?uid=2210505687&rl=1
树黍子	6394778130	JbYmVrVcT	#周深工作室# #周深随风# 深深越来越帅气了！！随风太好听了，啊啊啊！再次变身啊啊啊精！！！米米永远支持你！风雨同周深情不移 L梅赛德斯-奔驰文化中心的微博视频 ​	2020年07月19日 22:59			4	https://weibo.com/6394778130/JbYmVrVcT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYmVrVcT?uid=6394778130&rl=1
小白今天也要磕糖嗷	5727610124	JbYmV881K	#周深工作室# 终于等到这一天啦周老板你要越来越好！！啊啊啊啊啊啊 ​	2020年07月19日 22:59			1	https://weibo.com/5727610124/JbYmV881K?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYmV881K?uid=5727610124&rl=1
深深快翻我	7187076156	JbYmT2WAo	#周深工作室#希望深深子有更好的发展 2上海·梅园三街坊 ​	2020年07月19日 22:59		评论		https://weibo.com/7187076156/JbYmT2WAo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYmT2WAo?uid=7187076156&rl=1
夜耶灯	5751846225	JbYmRCsje	#周深工作室# 生活越来越好～～～ ​	2020年07月19日 22:58		评论		https://weibo.com/5751846225/JbYmRCsje?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYmRCsje?uid=5751846225&rl=1
对雨无痕	5228045460	JbYmQ7RCW	#周深工作室# 蹲…@卡布叻_周深 ​	2020年07月19日 22:58		评论		https://weibo.com/5228045460/JbYmQ7RCW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYmQ7RCW?uid=5228045460&rl=1
卡布叻枫枫抢你a	1965621815	JbYmOAMBK	#周深工作室#呜呜呜呜，随风啊随风，好听得很呢！大家听听叻！#周深随风# 2北京 ​	2020年07月19日 22:58			1	https://weibo.com/1965621815/JbYmOAMBK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYmOAMBK?uid=1965621815&rl=1
卡布叻_想想	5912024731	JbYmL7zQ1	#周深工作室#深深！终于有自己的工作室了，我眼泪直接流了下来，深深以后的发展一定会越来越好的！ ​	2020年07月19日 22:58		评论		https://weibo.com/5912024731/JbYmL7zQ1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYmL7zQ1?uid=5912024731&rl=1
轩辕无天	1406309052	JbYmK9UkX	#周深工作室#深深，你会越来越好，越飞越高，而我们会在世界每一个地方等你开个唱，大声说爱你！ 2加拿大 ​	2020年07月19日 22:58		2	2	https://weibo.com/1406309052/JbYmK9UkX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JbYmK9UkX?uid=1406309052&rl=1
