用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
山北绍哥	7152595603	Jk2ps3aea	#大连有奖举报48种禁养犬#狗也不能养了，看来狗的日子也不好过了。中华犬都不能养，看来消失也不远了。牛神说文话事 ​	2020年09月10日 23:58		2	5	https://weibo.com/7152595603/Jk2ps3aea?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2ps3aea?uid=7152595603&rl=1
茶叔儿	1750959514	Jk2pjsO9i	#大连有奖举报48种禁养犬#啊！！快全国推广吧我每次出门看到比特犬腿都软了 ​	2020年09月10日 23:58			5	https://weibo.com/1750959514/Jk2pjsO9i?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2pjsO9i?uid=1750959514&rl=1
很6很耀眼的白衬衫	3867985699	Jk2p7z9zi	#大连有奖举报48种禁养犬#what？！什么骚操作呀！！ ​	2020年09月10日 23:57		评论		https://weibo.com/3867985699/Jk2p7z9zi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2p7z9zi?uid=3867985699&rl=1
高考少女101_违规橙	5332842857	Jk2p1qdT6	#大连有奖举报48种禁养犬#呕 ​	2020年09月10日 23:57		评论		https://weibo.com/5332842857/Jk2p1qdT6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2p1qdT6?uid=5332842857&rl=1
冬舟之元	5539612686	Jk2oXBSv2	#大连有奖举报48种禁养犬#我在想的是，大连事怎么这么多....一天俩rs ​	2020年09月10日 23:57			4	https://weibo.com/5539612686/Jk2oXBSv2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2oXBSv2?uid=5539612686&rl=1
不看回复	6488530835	Jk2oPDa1o	#大连有奖举报48种禁养犬#土狗不应该吧，虽然是55厘米以上。。但是。。 ​	2020年09月10日 23:57		评论		https://weibo.com/6488530835/Jk2oPDa1o?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2oPDa1o?uid=6488530835&rl=1
--依水而盼--	3029383957	Jk2oOp1H4	#大连有奖举报48种禁养犬#必须禁养！！！我推荐城区禁止养全部犬类宠物，我半年之前去公园跑步，一圈下来都是遛狗的，有的不栓绳子，而有的栓绳子了但是特么那个绳子3，4米长，你栓的什么绳子4月份跑步的时候，还被一直狗追着咬，我特么都感觉牙齿都碰到我腿了，幸好跑的快没咬穿，只留下 ​  展开全文c	2020年09月10日 23:57		8	11	https://weibo.com/3029383957/Jk2oOp1H4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2oOp1H4?uid=3029383957&rl=1
GO正义者	6572756723	Jk2oz6yjp	#大连有奖举报48种禁养犬#这里面很多犬种真的不必禁，还有中华田园犬作为中国本土犬种的出路到底在哪儿？？禁养犬种之前能加强对养狗人的教育和规范、提供更多专业知识比禁养更有用 L维护正义的铁粉的微博视频 ​	2020年09月10日 23:56	51	2	15	https://weibo.com/6572756723/Jk2oz6yjp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2oz6yjp?uid=6572756723&rl=1
在小岛看星星和海盗船	6715289985	Jk2osy3Qj	#大连有奖举报48种禁养犬#重点是管人和市场好不好，不让养你就禁了禁养犬的市场，再说人家好好养大的狗你说放哪去？杀了？扔了？活埋了？每天看这种新闻十分不理解还有就是宠物市场本来就不应该被炒起来 ​	2020年09月10日 23:56		2	10	https://weibo.com/6715289985/Jk2osy3Qj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2osy3Qj?uid=6715289985&rl=1
cgkfiygljvk	5766932908	Jk2ocBKQJ	#大连有奖举报48种禁养犬#支持禁养！小区里就有一家养杜宾的 每天溜它还不牵绳 每次遇见它都得躲得远远的绕着它走 这种情况下要是发生什么意外情况主人根本就阻止不了！！ ​	2020年09月10日 23:55		5	35	https://weibo.com/5766932908/Jk2ocBKQJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2ocBKQJ?uid=5766932908&rl=1
脆弱的胭脂喵	6362991478	Jk2nYmqyG	#大连有奖举报48种禁养犬#规范人的行为比直接抓狗更管用 ​	2020年09月10日 23:55			1	https://weibo.com/6362991478/Jk2nYmqyG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2nYmqyG?uid=6362991478&rl=1
涧正载极恒河沙阿僧祇那由他	5113065675	Jk2mUfuAW	#大连有奖举报48种禁养犬#支持全国推广 ​	2020年09月10日 23:52			1	https://weibo.com/5113065675/Jk2mUfuAW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk2mUfuAW?uid=5113065675&rl=1
