用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
王源儿的栏杆腿	6013363732	JdN5Dw2Oq	#接挪车电话找回丢失8年的车#丢了八年的车还能找回来，看来车主和这车还挺有缘分嘛 ​	2020年07月31日 21:56		评论		https://weibo.com/6013363732/JdN5Dw2Oq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdN5Dw2Oq?uid=6013363732&rl=1
搜狐千里眼	6168007956	JdN4RiUhk	#接挪车电话找回丢失8年的车#【又惊又喜！男子#车丢8年后接到挪车电话#】7月29日，河南南阳。杨先生接到挪车电话，赶往现场后发现这竟是他8年前丢失的车。据了解2012年杨先生做租车生意，把车租给雷某后没了踪影，报案发现雷某租了三辆车后都转手低价卖出，此前民警已找回两辆，最后这辆也终于物 ​  展开全文c	2020年07月31日 21:54	2	1	1	https://weibo.com/6168007956/JdN4RiUhk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdN4RiUhk?uid=6168007956&rl=1
南昌广播电视台	3274822530	JdN4sz5fa	【男子#接挪车电话找回丢失8年的车#，称车辆没安装GPS，一直没找到】7月29日，河南南阳。杨先生接到挪车电话，到场一看竟是他丢了8年的小车。2012年杨先生将车租给雷某，对方迟迟不还，报警后发现雷某是以租车为由将车低价抵押。因车辆没安装GPS，一直没找到，没想到这次意外寻回。 ​  展开全文c	2020年07月31日 21:54			3	https://weibo.com/3274822530/JdN4sz5fa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdN4sz5fa?uid=3274822530&rl=1
来一口甜橘_	7240837912	JdN3TEIND	#接挪车电话找回丢失8年的车#这都能找得到！厉害了 ​	2020年07月31日 21:52		评论		https://weibo.com/7240837912/JdN3TEIND?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdN3TEIND?uid=7240837912&rl=1
楚天交通广播	2000016880	JdN3jgPIx	【男子#接挪车电话找回丢失8年的车#】7月29日，河南南阳。杨先生接到挪车电话，到场一看竟是他丢了8年的小车。2012年杨先生将车租给雷某，对方迟迟不还，报警后发现雷某是以租车为由将车低价抵押。因车辆没安装GPS，一直没找到，没想到这次意外寻回。L一手video的秒拍视频 ​	2020年07月31日 21:51	1	1	1	https://weibo.com/2000016880/JdN3jgPIx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdN3jgPIx?uid=2000016880&rl=1
南丰蜜桔赵志刚	1116062844	JdN2RgXXx	#接挪车电话找回丢失8年的车#8年了，这车还能开么？留有挪车电话还是有用的。 ​	2020年07月31日 21:50		评论		https://weibo.com/1116062844/JdN2RgXXx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdN2RgXXx?uid=1116062844&rl=1
郑州反邪教	5976894768	JdN2rhT1E	【男子#接挪车电话找回丢失8年的车#，称车辆没安装GPS，一直没找到】7月29日，河南南阳。杨先生接到挪车电话，到场一看竟是他丢了8年的小车。2012年杨先生将车租给雷某，对方迟迟不还，报警后发现雷某是以租车为由将车低价抵押。因车辆没安装GPS，一直没找到，没想到这次意外寻回。 ​  展开全文c	2020年07月31日 21:49	5	5	6	https://weibo.com/5976894768/JdN2rhT1E?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdN2rhT1E?uid=5976894768&rl=1
种斌Marco	1887312183	JdN2804cR	#接挪车电话找回丢失8年的车#应证了那句唯老婆和车不能外借，借了就很难再找回来了！这个哥们还算是幸运的车没有出啥大事，如果真要出事了真跳黄河也洗不清！做人有时候要学会拒绝是对自己最大的负责！ ​	2020年07月31日 21:48			2	https://weibo.com/1887312183/JdN2804cR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdN2804cR?uid=1887312183&rl=1
我的啵啵是男神	5692673146	JdN1n4k0E	#接挪车电话找回丢失8年的车#这都能找到，厉害了厉害了 ​	2020年07月31日 21:46		评论		https://weibo.com/5692673146/JdN1n4k0E?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdN1n4k0E?uid=5692673146&rl=1
绵阳交警一大队	2610786607	JdMZP3l9J	【男子#接挪车电话找回丢失8年的车#，称车辆没安装GPS，一直没找到】7月29日，河南南阳。杨先生接到挪车电话，到场一看竟是他丢了8年的小车。2012年杨先生将车租给雷某，对方迟迟不还，报警后发现雷某是以租车为由将车低价抵押。因车辆没安装GPS，一直没找到，没想到这次意外寻回。  ​  展开全文c	2020年07月31日 21:42			2	https://weibo.com/2610786607/JdMZP3l9J?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdMZP3l9J?uid=2610786607&rl=1
