原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	一代枭雄的武器	5831180430	一代枭雄的武器:转发微博	赞[0]	2020-09-10 19:43:24	来自华为手机
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	虎小凌	7318784272	虎小凌:转发微博	赞[0]	2020-09-10 19:43:19	来自OPPO Reno Ace
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	周大人的日常	1624808125	周大人的日常:转发微博	赞[0]	2020-09-10 19:46:08	来自柔光自拍vivo X7Plus
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	曼珊最可爱	7373266786	曼珊最可爱:转发微博	赞[0]	2020-09-10 19:44:10	来自HUAWEI P20
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	大象R0V	6006247033	大象R0V:转发微博	赞[0]	2020-09-10 19:43:54	来自前置双摄vivo X9
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	密哥很酷	6308013105	密哥很酷:转发微博	赞[0]	2020-09-10 19:43:44	来自vivo U3 强劲芯动力
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	小米happy-55555	5837812643	小米happy-55555:转发微博	赞[0]	2020-09-10 19:43:28	来自Android客户端
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	新顺自然_xo3	5562641400	新顺自然_xo3:转发微博	赞[0]	2020-09-10 19:43:27	来自OPPO R9s
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	Ruby_1127	5715603913	Ruby_1127:转发微博	赞[0]	2020-09-10 20:28:38	来自HUAWEI Mate 30
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	有cpq	5243665591	有cpq:转发微博	赞[0]	2020-09-10 20:22:15	来自OPPO智能手机
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	潮流初心	5641347907	潮流初心:转发微博	赞[0]	2020-09-10 20:00:32	来自OPPO智能手机
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	局部混乱	6118783349	局部混乱:转发微博	赞[0]	2020-09-10 21:11:23	来自Android
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	还哈哈哈哈哈哈哈哈哈哈哈哈	1870608017	还哈哈哈哈哈哈哈哈哈哈哈哈:哈哈哈	赞[0]	2020-09-10 21:03:50	来自iPhone客户端
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	王哥我赵叔呢	6284017949	王哥我赵叔呢:转发微博	赞[0]	2020-09-10 21:02:25	来自OnePlus 7T Pro
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	春老儿	7153103897	春老儿:这个主播更爱笑，声音浑厚，断句也恰到好处，铿锵有力，给人慷慨激昂的感觉。	赞[0]	2020-09-10 20:57:02	来自华为畅享10
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	ffffuuu666	5800540645	ffffuuu666:转发微博	赞[0]	2020-09-10 20:47:12	来自荣耀20 PRO
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	你的目光所及之处19	6220628338	你的目光所及之处19:转发微博	赞[0]	2020-09-10 20:41:17	来自魅族 16 旗舰手机
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	面包房的二掌柜	1862951893	面包房的二掌柜:哇塞出息了是潘涛！！	赞[0]	2020-09-10 20:40:37	来自HUAWEI P30
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	时光向暖sunshine	5352602522	时光向暖sunshine:转发微博	赞[0]	2020-09-10 21:41:37	来自
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	聰聰鄉鄉	6225859558	聰聰鄉鄉://@MR雙魚雙魚:无论换谁来也改变不了中国人民都过着幸福美满的生活，外国人民都生活在水深火热之中！	赞[0]	2020-09-10 21:38:11	来自荣耀畅玩5X 全网通
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	Aloha2020Go	5847320454	Aloha2020Go:这个音乐还蛮好听的	赞[0]	2020-09-10 21:35:46	来自微博国际版
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	达达dadadadadadadada	5911226555	达达dadadadadadadada:转发微博	赞[0]	2020-09-10 21:26:09	来自iPhone客户端
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	姐姐是鲸鱼哦	6573420647	姐姐是鲸鱼哦:转发微博	赞[0]	2020-09-10 21:23:29	来自荣耀10 AI变色更潮美
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	sun_巴黎黑夜	sunyan786812	sun_巴黎黑夜:转发微博	赞[0]	2020-09-10 23:06:56	来自Redmi K20
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	稚或不稚	5729965071	稚或不稚:转发微博	赞[0]	2020-09-10 22:22:36	来自华为畅享10
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	lucky唔理周	5955427311	lucky唔理周:哈哈哈，主持人挺帅哈～	赞[0]	2020-09-10 22:20:21	来自HUAWEI Mate 30 5G
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	萌团萌萌哒	6027940433	萌团萌萌哒:转发微博	赞[0]	2020-09-10 22:18:43	来自vivo AI智慧拍照X21
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	不上岸不处对象	5838590863	不上岸不处对象:哈哈哈哈哈这个配音满分	赞[0]	2020-09-10 22:06:05	来自小米6 拍人更美
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	竻卡丘	5628632242	竻卡丘:转发微博	赞[0]	2020-09-10 22:01:08	来自nova4自拍极点全面屏
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	吃一颗凯凯心心	7374696464	吃一颗凯凯心心:隔着屏幕都能感受到新主持人的心情，眉开眼笑	赞[0]	2020-09-10 21:47:44	来自HUAWEI P40 5G
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	卢三少爷	3597970952	卢三少爷:转发微博	赞[0]	2020-09-11 02:21:41	来自iPhone客户端
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	LeslieL8	6674001832	LeslieL8:转发微博	赞[0]	2020-09-11 01:54:12	来自iPhone
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	抱抱二狗狗	2404108604	抱抱二狗狗:转发微博	赞[0]	2020-09-11 01:33:58	来自iPhone X
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	Lyric-melody	2133837003	Lyric-melody:转发微博	赞[0]	2020-09-11 01:01:12	来自iPhone客户端
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	Oo季oO45324	7408424385	Oo季oO45324:转发微博	赞[0]	2020-09-11 00:46:18	来自iPhone客户端
娱乐圈小伙	:#新闻联播新主播潘涛#之前是东方新闻的潘涛 我以为我走错频道了 确实是新闻联播哈哈 明哥ID你在不在的微博视频 	2020-09-10 19:40:54    	杨YANG还是咩咩	2923490427	杨YANG还是咩咩:转发微博	赞[0]	2020-09-11 00:24:00	来自HUAWEI P40 Pro 5G
