用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
妙妙脾气依旧暴躁	7223770796	Ji3t6iPpY	#李子璇舞台变自信了# 绝了 ​	2020年08月28日 22:59		评论		https://weibo.com/7223770796/Ji3t6iPpY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3t6iPpY?uid=7223770796&rl=1
妙妙脾气依旧暴躁	7223770796	Ji3t3yIQx	#李子璇舞台变自信了# 她好棒 ​	2020年08月28日 22:59		评论		https://weibo.com/7223770796/Ji3t3yIQx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3t3yIQx?uid=7223770796&rl=1
璇璇是豆子	6719428515	Ji3t2rb4m	#李子璇舞台变自信了#超级棒@李子璇豆子 ​	2020年08月28日 22:59		评论		https://weibo.com/6719428515/Ji3t2rb4m?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3t2rb4m?uid=6719428515&rl=1
扒圈四爷	6414243187	Ji3t2r8Qd	#李子璇舞台变自信了##少年之名总决赛##少年之名#@李子璇小豆子 作为助演少女来到@优酷少年之名 再次与@胡彦斌 相遇， 导师直言“近两年变化大，变得更自信了”小豆子一直在好好长大呀！L少年之名的优酷视频 ​	2020年08月28日 22:59	1		11	https://weibo.com/6414243187/Ji3t2r8Qd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3t2r8Qd?uid=6414243187&rl=1
丸子是我na	6490407590	Ji3t1vHIn	#李子璇舞台变自信了#太绝了！ ​	2020年08月28日 22:59		评论		https://weibo.com/6490407590/Ji3t1vHIn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3t1vHIn?uid=6490407590&rl=1
李向阳愿望达成记	5845512855	Ji3t1twqT	#李子璇舞台变自信了#你一直都很优秀 ​	2020年08月28日 22:59		1	6	https://weibo.com/5845512855/Ji3t1twqT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3t1twqT?uid=5845512855&rl=1
妙妙脾气依旧暴躁	7223770796	Ji3t06ysN	#李子璇舞台变自信了#  她从不让人失望 ​	2020年08月28日 22:59		评论		https://weibo.com/7223770796/Ji3t06ysN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3t06ysN?uid=7223770796&rl=1
ALZX111	7464200203	Ji3sYBGyt	#李子璇舞台变自信了#临时换曲但还是完成的很优秀的舞台！你是未来可期的李子璇 ​	2020年08月28日 22:59		评论		https://weibo.com/7464200203/Ji3sYBGyt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3sYBGyt?uid=7464200203&rl=1
再看我就把你吃掉xxc	5277793634	Ji3sWxFKs	#李子璇舞台变自信了#妹妹不容易 加油啊 ​	2020年08月28日 22:59		评论		https://weibo.com/5277793634/Ji3sWxFKs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3sWxFKs?uid=5277793634&rl=1
想不出名字了·	2465288547	Ji3sVDhZx	#李子璇舞台变自信了#李子璇 未来可期 ​	2020年08月28日 22:59		评论		https://weibo.com/2465288547/Ji3sVDhZx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3sVDhZx?uid=2465288547&rl=1
是00哇	5661224055	Ji3sVyU0k	#李子璇舞台变自信了#哈哈哈脚艺人完美卡点L尚导演的小宝贝的微博视频 ​	2020年08月28日 22:59	1	3	14	https://weibo.com/5661224055/Ji3sVyU0k?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3sVyU0k?uid=5661224055&rl=1
无糖雪碧加柠檬	6138481499	Ji3sS6KY2	#李子璇舞台变自信了# 我的妈呀李子璇这个腰也太绝了叭 没想到长得这么甜美的漂亮小姐姐跳起舞来这么酷炫 爱了爱了L阿丘RuanRuan的微博视频 ​	2020年08月28日 22:59		评论		https://weibo.com/6138481499/Ji3sS6KY2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3sS6KY2?uid=6138481499&rl=1
一粒特立独行的小豆子	5648131490	Ji3sRaeDB	#李子璇舞台变自信了# 从创出来两面多了，终于能拥有热搜了希望这个宝藏女孩能被更多人发现，能拥有更多舞台啊 ​	2020年08月28日 22:59		评论		https://weibo.com/5648131490/Ji3sRaeDB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3sRaeDB?uid=5648131490&rl=1
我又快乐了kk	6761907157	Ji3sPnL6g	#李子璇舞台变自信了#李子璇好漂亮好酷好可爱 ​	2020年08月28日 22:59		评论		https://weibo.com/6761907157/Ji3sPnL6g?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3sPnL6g?uid=6761907157&rl=1
风萧萧乐哉	1856172091	Ji3sPsaup	#李子璇舞台变自信了# lzx#李子璇暗夜骑士造型#谢谢胡老师的夸奖，那就看看李子璇之前跳的《你要的全拿走》 吧～是跳舞一直都很有自信的豆豆崽@李子璇豆子  L李子璇豆子的微博视频 ​	2020年08月28日 22:59	1	1	6	https://weibo.com/1856172091/Ji3sPsaup?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3sPsaup?uid=1856172091&rl=1
他好酥哦	2099584781	Ji3sP56R8	#李子璇舞台变自信了# 不敢说顶尖，但是李子璇舞台魅力真的很可以，让粉丝骄傲！！ ​	2020年08月28日 22:59		1	1	https://weibo.com/2099584781/Ji3sP56R8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Ji3sP56R8?uid=2099584781&rl=1
