原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	王小宇07324	6883227626	王小宇07324:李宇春，最好的榜样	赞[0]	2020-08-26 16:01:01	来自iPhone客户端
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	守护摩天轮的幸福	2382019520	守护摩天轮的幸福:都是回忆呀	赞[1]	2020-08-26 16:01:01	来自HUAWEI Mate 20
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	与葱静默相随	7323780387	与葱静默相随:转发微博	赞[0]	2020-08-26 16:00:46	来自荣耀30青春版 5G
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	小宇的醋玉米	6527906192	小宇的醋玉米:#李宇春826出道十五周年# #李宇春竟出道15年了# #李宇春[超话]#我们的狂欢❤️ 	赞[0]	2020-08-26 16:04:26	来自荣耀8青春版 颜值担当
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	万岁少女的虎牙lee	6362947808	万岁少女的虎牙lee:#李宇春竟出道15年了# #和李宇春在一起15年# 	赞[0]	2020-08-26 16:03:54	来自iPhone客户端
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	会长家小兔子	3223008513	会长家小兔子:#和李宇春在一起15年# #李宇春826出道十五周年#	赞[0]	2020-08-26 16:11:41	来自360安全浏览器
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	urnot_lemon	5587104462	urnot_lemon:#李宇春826出道十五周年# #和李宇春在一起15年# 	赞[0]	2020-08-26 16:10:47	来自nova5Pro人像超级夜景
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	urnotchrisf	5993734499	urnotchrisf:#和李宇春在一起15年# #李宇春竟出道15年了#	赞[0]	2020-08-26 16:10:31	来自小米手机
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	宇你相随310	6913709138	宇你相随310:#和李宇春在一起15年# #李宇春826出道十五周年# 丰盛了回忆存演唱会总结	赞[0]	2020-08-26 16:10:16	来自vivo智能手机
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	鱼儿耐葱	03106393	鱼儿耐葱:满满的都是回忆#和李宇春在一起15年# #李宇春竟出道15年了# @李宇春	赞[1]	2020-08-26 16:10:14	来自哇哇哇哇哇Android
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	投西瓜一票	6861957470	投西瓜一票:@李宇春 #李宇春826出道十五周年# #和李宇春在一起15年#	赞[0]	2020-08-26 16:08:18	来自
每天离会长音乐近一点	:#李宇春穿15年前比赛衣服现身机场# 好暖2005年—2020年15年间我们共同拥有的37场演唱会，是我们的大聚会，更是我们的音乐狂欢！舞台上下是我们最好的距离！15年彼此陪伴是最长情的告白！未来我们依然和 一起@李宇春！感谢所有用镜头记录美的歌迷朋友，感谢@每天离李宇春音乐近一点 策划，感谢@小曹摄影师 的作图，压轴感谢@李宇春 给我们带了的顶级视听盛宴!#和李宇春在一起15年# #李宇春[超话]# lyc	2020-08-26 15:59:57    	要记得的是	5886020027	要记得的是:#李宇春[超话]##李宇春竟出道15年了# 	赞[0]	2020-08-26 16:07:51	来自vivo iQOO生而强悍
