原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	是璐同学啊	5660189186	是璐同学啊:#杨洋太老实了# 顺口溜棒哒	赞[0]	2020-07-31 21:58:04	来自Android
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	老杨小魔女	6112067119	老杨小魔女:转发微博	赞[0]	2020-07-31 21:57:58	来自Redmi 10X 全芯超越
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	icon灬咩咩	5172781705	icon灬咩咩:转发微博	赞[0]	2020-07-31 21:57:58	来自OPPO超视野全面屏R15
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	迷恋最初的微笑	5678767598	迷恋最初的微笑:杨洋太难了	赞[0]	2020-07-31 21:57:57	来自OPPO超视野全面屏R15
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	很暴躁好说话	1084207980	很暴躁好说话:转发微博	赞[0]	2020-07-31 21:58:48	来自vivo Z5x性能实力派
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	爱洋爱你	1115857150	爱洋爱你:转发微博	赞[0]	2020-07-31 21:58:49	来自HUAWEI P30
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	莹心向洋yy	6718698756	莹心向洋yy:#杨洋太老实了# #杨洋元气满满的哥哥# 抱抱哥哥@杨洋 	赞[0]	2020-07-31 21:58:42	来自唯爱咩咩Android
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	丫頭不愛哭icon	yingzi9621	丫頭不愛哭icon:#杨洋太老实了# #元气满满的哥哥# 说好的@杨洋 第一名呢怎么就暴露了呢	赞[0]	2020-07-31 21:58:28	来自咩宝的Android
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	YOUNG_SWEE	2749159917	YOUNG_SWEE:嘎哈哈哈哈哈哈哈哈	赞[0]	2020-07-31 21:58:17	来自vivo X27
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	心已属洋0909	5737355491	心已属洋0909:#杨洋[超话]##杨洋太老实了# @杨洋	赞[0]	2020-07-31 21:58:12	来自OPPO智能手机
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	所念皆是洋	6646661992	所念皆是洋:转发微博	赞[0]	2020-07-31 21:58:12	来自nova4自拍极点全面屏
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	杨洋的小小老婆	5734404625	杨洋的小小老婆:抱抱@杨洋	赞[0]	2020-07-31 21:58:11	来自iPhone客户端
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	全宇宙最好的杨洋啊	5246265577	全宇宙最好的杨洋啊:#杨洋太老实了# 他真的超级好啊 他没有提一个字只是检讨自己，所以答应我下次一定让他赢！	赞[2]	2020-07-31 21:59:11	来自荣耀10青春版
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	黄瓜炸酥·	5636015448	黄瓜炸酥·:🐑：这份爱，沉重了点	赞[0]	2020-07-31 21:59:08	来自老杨丢了的Android
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	杨总的YMC	6321090129	杨总的YMC:唉	赞[0]	2020-07-31 21:59:05	来自OPPO R9s
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	百事有羊皆可爱	5687702827	百事有羊皆可爱:太难了我崽崽	赞[0]	2020-07-31 21:59:05	来自nova5Pro人像超级夜景
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	今天杨洋更博了没	5974019625	今天杨洋更博了没:转发微博	赞[0]	2020-07-31 21:59:04	来自nova5 人像超级夜景
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	灵咩_不忘初心icon	5013920249	灵咩_不忘初心icon:#杨洋太老实了# #杨洋元气满满的哥哥# 检讨自己 	赞[0]	2020-07-31 21:59:02	来自🐳 Android
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	凫笔1998	6331786430	凫笔1998:让娃赢！	赞[0]	2020-07-31 21:59:01	来自荣耀9i 千元潮美旗舰
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	稚Shin	6203167245	稚Shin:#杨洋元气满满的哥哥# 呜呜呜宝贝@杨洋 ，羊毛们都自我检讨	赞[0]	2020-07-31 21:58:59	来自荣耀8X
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	咩咩的卷羊毛	3070869753	咩咩的卷羊毛:转发微博	赞[0]	2020-07-31 21:59:41	来自nova7你在焦点在
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	洋光尤深	7030816928	洋光尤深:#杨洋太老实了# #杨洋元气满满的哥哥#	赞[0]	2020-07-31 21:59:38	来自OPPO R9
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	媆咩-z	6010739349	媆咩-z:羊毛检讨//@黄瓜炸酥:🐑：这份爱，沉重了点	赞[0]	2020-07-31 21:59:37	来自小米Play 自带流量
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	洋溢着甜幂icon	5590108099	洋溢着甜幂icon:#杨洋[超话]# #杨洋元气满满的哥哥# 深刻检讨！哥哥太难了[允悲]@杨洋	赞[0]	2020-07-31 21:59:36	来自iPhone 11
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	洋光尤深	7030816928	洋光尤深:转发微博	赞[0]	2020-07-31 21:59:26	来自OPPO R9
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	杨大志家的钢丝球啊	3936797775	杨大志家的钢丝球啊:#杨洋太老实了# 哈哈哈哈哈笑死我了	赞[0]	2020-07-31 21:59:23	来自华为手机 畅享玩不停
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	胡婉迪--Hannah	6040248036	胡婉迪--Hannah:#杨洋元气满满的哥哥#	赞[0]	2020-07-31 21:59:16	来自nova7你在焦点在
杨洋官方后援会	:#杨洋太老实了##杨洋元气满满的哥哥# 杨洋哥哥对不起羊毛宝宝来赔礼口嗨说要保护你最终让你空欢喜@杨洋  元气满满的哥哥的微博视频 	2020-07-31 21:57:33    	向洋花的微笑	5701520673	向洋花的微笑:#元气满满的哥哥# #杨洋元气满满的哥哥# 相信我们不会让你一直空欢喜的@杨洋	赞[0]	2020-07-31 22:00:28	来自360手机 N6 Pro
