原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
封面新闻	:【校方通报：#浙大犯强奸罪学生被开除学籍# 】浙江大学公号深夜通告：#浙大努某某被开除#。校学生奖惩委员会以事实为依据、以法纪为准绳，进行了认真的研究讨论，同意重启处分程序。此后，依据《浙江大学学生违纪处理办法》的规定，向本人送达重新处分预通知，并应本人要求，举行了不利处分听证。听证会上，被处分人对违纪事实无异议。听证委员会对给予该生开除学籍处分予以支持。7月31日，浙江大学校务会议依据《浙江大学学生违纪处理办法》决定给予努某某开除学籍处分。 浙江大学：给予2016级本科学生努某某开除学籍处分资料视频戳 封面新闻的微博视频	2020-07-31 23:58:21    	伐得嘎	10170829	伐得嘎:就浙！！！	赞[6]	2020-08-01 00:02:39	来自iPhone 11 Pro Max
封面新闻	:【校方通报：#浙大犯强奸罪学生被开除学籍# 】浙江大学公号深夜通告：#浙大努某某被开除#。校学生奖惩委员会以事实为依据、以法纪为准绳，进行了认真的研究讨论，同意重启处分程序。此后，依据《浙江大学学生违纪处理办法》的规定，向本人送达重新处分预通知，并应本人要求，举行了不利处分听证。听证会上，被处分人对违纪事实无异议。听证委员会对给予该生开除学籍处分予以支持。7月31日，浙江大学校务会议依据《浙江大学学生违纪处理办法》决定给予努某某开除学籍处分。 浙江大学：给予2016级本科学生努某某开除学籍处分资料视频戳 封面新闻的微博视频	2020-07-31 23:58:21    	一天吃三顿饭1	6196323248	一天吃三顿饭1:@浙江大学 影响招生啦？	赞[1]	2020-07-31 23:59:35	来自iPhone客户端
封面新闻	:【校方通报：#浙大犯强奸罪学生被开除学籍# 】浙江大学公号深夜通告：#浙大努某某被开除#。校学生奖惩委员会以事实为依据、以法纪为准绳，进行了认真的研究讨论，同意重启处分程序。此后，依据《浙江大学学生违纪处理办法》的规定，向本人送达重新处分预通知，并应本人要求，举行了不利处分听证。听证会上，被处分人对违纪事实无异议。听证委员会对给予该生开除学籍处分予以支持。7月31日，浙江大学校务会议依据《浙江大学学生违纪处理办法》决定给予努某某开除学籍处分。 浙江大学：给予2016级本科学生努某某开除学籍处分资料视频戳 封面新闻的微博视频	2020-07-31 23:58:21    	有琴羽_	6504483494	有琴羽_:转发微博	赞[0]	2020-08-01 00:05:09	来自iPhone X
封面新闻	:【校方通报：#浙大犯强奸罪学生被开除学籍# 】浙江大学公号深夜通告：#浙大努某某被开除#。校学生奖惩委员会以事实为依据、以法纪为准绳，进行了认真的研究讨论，同意重启处分程序。此后，依据《浙江大学学生违纪处理办法》的规定，向本人送达重新处分预通知，并应本人要求，举行了不利处分听证。听证会上，被处分人对违纪事实无异议。听证委员会对给予该生开除学籍处分予以支持。7月31日，浙江大学校务会议依据《浙江大学学生违纪处理办法》决定给予努某某开除学籍处分。 浙江大学：给予2016级本科学生努某某开除学籍处分资料视频戳 封面新闻的微博视频	2020-07-31 23:58:21    	捏捏刷屏专用	3746725881	捏捏刷屏专用:。//@伐得嘎:就浙！！！	赞[0]	2020-08-01 00:04:31	来自iPhone客户端
封面新闻	:【校方通报：#浙大犯强奸罪学生被开除学籍# 】浙江大学公号深夜通告：#浙大努某某被开除#。校学生奖惩委员会以事实为依据、以法纪为准绳，进行了认真的研究讨论，同意重启处分程序。此后，依据《浙江大学学生违纪处理办法》的规定，向本人送达重新处分预通知，并应本人要求，举行了不利处分听证。听证会上，被处分人对违纪事实无异议。听证委员会对给予该生开除学籍处分予以支持。7月31日，浙江大学校务会议依据《浙江大学学生违纪处理办法》决定给予努某某开除学籍处分。 浙江大学：给予2016级本科学生努某某开除学籍处分资料视频戳 封面新闻的微博视频	2020-07-31 23:58:21    	围脖甲	1670139795	围脖甲:转发微博	赞[0]	2020-08-01 00:19:58	来自坚果 Pro 2 特别版
封面新闻	:【校方通报：#浙大犯强奸罪学生被开除学籍# 】浙江大学公号深夜通告：#浙大努某某被开除#。校学生奖惩委员会以事实为依据、以法纪为准绳，进行了认真的研究讨论，同意重启处分程序。此后，依据《浙江大学学生违纪处理办法》的规定，向本人送达重新处分预通知，并应本人要求，举行了不利处分听证。听证会上，被处分人对违纪事实无异议。听证委员会对给予该生开除学籍处分予以支持。7月31日，浙江大学校务会议依据《浙江大学学生违纪处理办法》决定给予努某某开除学籍处分。 浙江大学：给予2016级本科学生努某某开除学籍处分资料视频戳 封面新闻的微博视频	2020-07-31 23:58:21    	你家的小范	6445903541	你家的小范:转发微博	赞[0]	2020-08-01 00:14:08	来自Redmi Note 7 Pro
封面新闻	:【校方通报：#浙大犯强奸罪学生被开除学籍# 】浙江大学公号深夜通告：#浙大努某某被开除#。校学生奖惩委员会以事实为依据、以法纪为准绳，进行了认真的研究讨论，同意重启处分程序。此后，依据《浙江大学学生违纪处理办法》的规定，向本人送达重新处分预通知，并应本人要求，举行了不利处分听证。听证会上，被处分人对违纪事实无异议。听证委员会对给予该生开除学籍处分予以支持。7月31日，浙江大学校务会议依据《浙江大学学生违纪处理办法》决定给予努某某开除学籍处分。 浙江大学：给予2016级本科学生努某某开除学籍处分资料视频戳 封面新闻的微博视频	2020-07-31 23:58:21    	程璟昊请好好读书学习写论文	UncleCherng618	程璟昊请好好读书学习写论文:	赞[1]	2020-08-01 00:12:04	来自微博搜索
封面新闻	:【校方通报：#浙大犯强奸罪学生被开除学籍# 】浙江大学公号深夜通告：#浙大努某某被开除#。校学生奖惩委员会以事实为依据、以法纪为准绳，进行了认真的研究讨论，同意重启处分程序。此后，依据《浙江大学学生违纪处理办法》的规定，向本人送达重新处分预通知，并应本人要求，举行了不利处分听证。听证会上，被处分人对违纪事实无异议。听证委员会对给予该生开除学籍处分予以支持。7月31日，浙江大学校务会议依据《浙江大学学生违纪处理办法》决定给予努某某开除学籍处分。 浙江大学：给予2016级本科学生努某某开除学籍处分资料视频戳 封面新闻的微博视频	2020-07-31 23:58:21    	月球上没风	6257310080	月球上没风:Coca-Cola	赞[0]	2020-08-01 00:31:49	来自荣耀10 AI变色更潮美
封面新闻	:【校方通报：#浙大犯强奸罪学生被开除学籍# 】浙江大学公号深夜通告：#浙大努某某被开除#。校学生奖惩委员会以事实为依据、以法纪为准绳，进行了认真的研究讨论，同意重启处分程序。此后，依据《浙江大学学生违纪处理办法》的规定，向本人送达重新处分预通知，并应本人要求，举行了不利处分听证。听证会上，被处分人对违纪事实无异议。听证委员会对给予该生开除学籍处分予以支持。7月31日，浙江大学校务会议依据《浙江大学学生违纪处理办法》决定给予努某某开除学籍处分。 浙江大学：给予2016级本科学生努某某开除学籍处分资料视频戳 封面新闻的微博视频	2020-07-31 23:58:21    	薄荷清茶Rf	7483502809	薄荷清茶Rf:转发微博	赞[0]	2020-08-01 00:27:28	来自小米手机4
封面新闻	:【校方通报：#浙大犯强奸罪学生被开除学籍# 】浙江大学公号深夜通告：#浙大努某某被开除#。校学生奖惩委员会以事实为依据、以法纪为准绳，进行了认真的研究讨论，同意重启处分程序。此后，依据《浙江大学学生违纪处理办法》的规定，向本人送达重新处分预通知，并应本人要求，举行了不利处分听证。听证会上，被处分人对违纪事实无异议。听证委员会对给予该生开除学籍处分予以支持。7月31日，浙江大学校务会议依据《浙江大学学生违纪处理办法》决定给予努某某开除学籍处分。 浙江大学：给予2016级本科学生努某某开除学籍处分资料视频戳 封面新闻的微博视频	2020-07-31 23:58:21    	阿泰的深夜评测	gts1989	阿泰的深夜评测:开除了，再来查查违法的事	赞[3]	2020-08-01 00:24:09	来自OnePlus 8 Pro
