用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
夏天遇见了鹿	3034004137	JfV5QgCHC	#深圳疫情#瑟瑟发抖 ​	2020年08月14日 21:59		评论		https://weibo.com/3034004137/JfV5QgCHC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5QgCHC?uid=3034004137&rl=1
小乔Echo	3125127531	JfV5PACsd	#深圳疫情#深圳食品供应链接连出现病毒，不敢买菜了都，吃啥呀 ​	2020年08月14日 21:59		1		https://weibo.com/3125127531/JfV5PACsd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5PACsd?uid=3125127531&rl=1
我是你家的二婶	2288160282	JfV5Gr2D5	#深圳疫情#晕死，本来打算过几天买冷冻鸡翅回来做咖喱鸡，现在怎么办呀？！ ​	2020年08月14日 21:59		评论		https://weibo.com/2288160282/JfV5Gr2D5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5Gr2D5?uid=2288160282&rl=1
HTBNDF	6308861810	JfV5Dy9vW	#深圳疫情#每次看到这种新闻第一反应就是“别推迟开学，别取消考试”🙏🙏🙏 ​	2020年08月14日 21:59		4	2	https://weibo.com/6308861810/JfV5Dy9vW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5Dy9vW?uid=6308861810&rl=1
高材生tamia	6507756363	JfV5xhxLT	#深圳疫情#🙏 ​	2020年08月14日 21:59		评论		https://weibo.com/6507756363/JfV5xhxLT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5xhxLT?uid=6507756363&rl=1
白雪公主和她的睡美人	7488741222	JfV5wogDX	#深圳疫情#诶……疫情真的是军恋最大的障碍一切个人外出取消就算了…今天宝贝发手机超开心的告诉我明天有集体外出…我也超激动现在最怕收手机以后接到陌生人电话怕接了就是宝贝借了手机和我说活动取消…果然今天也接到了已经是第二次了…每次bd一有外出活动疫情就来搞事情…我佛 ​  展开全文c	2020年08月14日 21:59		评论		https://weibo.com/7488741222/JfV5wogDX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5wogDX?uid=7488741222&rl=1
天色昕然紫	5680243220	JfV5w9XKr	#深圳疫情#戴口罩戴口罩戴口罩每天坐地铁的我慌了 ​	2020年08月14日 21:59		评论		https://weibo.com/5680243220/JfV5w9XKr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5w9XKr?uid=5680243220&rl=1
罗洛亚-Zero	2051898975	JfV5v0eM3	#深圳疫情#大家口罩带带好 ​	2020年08月14日 21:59		评论		https://weibo.com/2051898975/JfV5v0eM3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5v0eM3?uid=2051898975&rl=1
趣多多益善	5677313422	JfV5k4ecj	#深圳疫情#还是少出门为妙 ​	2020年08月14日 21:58		评论		https://weibo.com/5677313422/JfV5k4ecj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5k4ecj?uid=5677313422&rl=1
鲜果与花	5105785388	JfV5fkphG	#深圳疫情#不要这样啊，神兽们马上要开学了，深圳一定要稳住 ​	2020年08月14日 21:58		评论		https://weibo.com/5105785388/JfV5fkphG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5fkphG?uid=5105785388&rl=1
把酒祝东风--且共从容	1428372445	JfV5dglMz	#深圳疫情# 刚刚考虑是不是可以不戴口罩了，坏消息便又来了，瑟瑟发抖中。 ​	2020年08月14日 21:58			1	https://weibo.com/1428372445/JfV5dglMz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5dglMz?uid=1428372445&rl=1
是大刘刘	6071861295	JfV5coc2p	#深圳疫情#内心慌的一匹，瑟瑟发抖 ​	2020年08月14日 21:58		评论		https://weibo.com/6071861295/JfV5coc2p?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5coc2p?uid=6071861295&rl=1
彪彪彪R	5229571073	JfV5azvAX	#深圳疫情#今天广东人民表示很慌张，但愿没事，深圳加油！！！ 2东莞 ​	2020年08月14日 21:58			35	https://weibo.com/5229571073/JfV5azvAX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5azvAX?uid=5229571073&rl=1
-chiyee-	5163081649	JfV5748Y0	#深圳疫情#？刚收到录取 考上了深圳的大学 ​	2020年08月14日 21:58			1	https://weibo.com/5163081649/JfV5748Y0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV5748Y0?uid=5163081649&rl=1
王俊凯他好帅喔	6631576421	JfV53dyd4	#深圳疫情#救命   到底什么时候能结束啊 ​	2020年08月14日 21:58		评论		https://weibo.com/6631576421/JfV53dyd4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV53dyd4?uid=6631576421&rl=1
ice李就现在	2499016640	JfV4Z5p3O	#深圳疫情#因为陆丰那个 ，这个热搜又被顶上来了，今年太难了，希望不要再有新的感染了 ​	2020年08月14日 21:57		4	6	https://weibo.com/2499016640/JfV4Z5p3O?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4Z5p3O?uid=2499016640&rl=1
_莺时十九很想很想	6185306389	JfV4UlEat	#深圳疫情#草爷刚吃了炸鸡 ​	2020年08月14日 21:57		4		https://weibo.com/6185306389/JfV4UlEat?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4UlEat?uid=6185306389&rl=1
忆笙羽毛	3863087748	JfV4P2FDd	#深圳疫情#唉，难啊 ​	2020年08月14日 21:57			1	https://weibo.com/3863087748/JfV4P2FDd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4P2FDd?uid=3863087748&rl=1
云翮·	5857979336	JfV4Oauto	#深圳疫情# 草埔上班的我慌兮兮…… 三号线每天挤得跟啥似的，车厢二维码都扫不上，更别说公司里有很多同事不好好戴口罩了 ​	2020年08月14日 21:57			1	https://weibo.com/5857979336/JfV4Oauto?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4Oauto?uid=5857979336&rl=1
原来我是扬贵妃	7456993189	JfV4M4emj	不是吧求广州挺住啊！中级千万别取消……#深圳疫情# ​	2020年08月14日 21:57		评论		https://weibo.com/7456993189/JfV4M4emj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4M4emj?uid=7456993189&rl=1
谢谢谢谢谢榭啊	5332481781	JfV4Hh6gj	#深圳疫情# 明天回深的✈️啊，一定要稳住，这么长时间零新增了🙏🙏🙏平安。 ​	2020年08月14日 21:57		2	3	https://weibo.com/5332481781/JfV4Hh6gj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4Hh6gj?uid=5332481781&rl=1
walkerOwen3	3952080059	JfV4B9kMG	#深圳疫情#前有龙岗进口水产，又来罗湖盒马鲜生最近深圳貌似不太安全，尽量待在这个山沟沟里不出去浪了，要惜命 2深圳·福永凤凰村 ​	2020年08月14日 21:56		2	10	https://weibo.com/3952080059/JfV4B9kMG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4B9kMG?uid=3952080059&rl=1
庚饭亦是火龙果-H	3208932353	JfV4oDYHL	#深圳疫情#吐血 吐血 我的随心飞啊 是不是要出不去深圳了 ​	2020年08月14日 21:56			2	https://weibo.com/3208932353/JfV4oDYHL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4oDYHL?uid=3208932353&rl=1
痴情的屁屁	3834992472	JfV4lrg13	#深圳疫情#这个疫情快点结束吧。🙏🙏🙏希望疫苗早日面世！消灭这个可恶的病毒！！！  ​ ​	2020年08月14日 21:56			1	https://weibo.com/3834992472/JfV4lrg13?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4lrg13?uid=3834992472&rl=1
美丽和谐家园	2245819014	JfV4lbS0Z	【超市员工在汕尾确诊，#深圳排查出2人核酸检测阳性#】#深圳疫情#8月14日，深圳接广东省卫健委通报，一名此前在深圳工作的女性在老家汕尾陆丰市确诊为新冠肺炎。陈某，女，41岁，深圳市罗湖区水贝盒马鲜生超市酸奶销售员，居住在龙岗区布吉润祥家园。8月6日，与其子女从深圳乘大巴车返回老家汕尾陆丰 ​  展开全文c	2020年08月14日 21:56		评论		https://weibo.com/2245819014/JfV4lbS0Z?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4lbS0Z?uid=2245819014&rl=1
做人最重要的就是开心呀呀	3319629821	JfV4k2aYu	#深圳疫情#半个月后还能开学吗？ ​	2020年08月14日 21:56		评论		https://weibo.com/3319629821/JfV4k2aYu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4k2aYu?uid=3319629821&rl=1
Cyndi54321	5261977215	JfV4j5ARX	#深圳疫情#啥时候可以不戴口罩啊 ​	2020年08月14日 21:56		评论		https://weibo.com/5261977215/JfV4j5ARX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4j5ARX?uid=5261977215&rl=1
爱撒娇么么哒	7387573929	JfV4fimE6	#深圳疫情#不是吧，我刚吃了鸡翅 ​	2020年08月14日 21:56		评论		https://weibo.com/7387573929/JfV4fimE6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4fimE6?uid=7387573929&rl=1
Abaoxueyi	5651608668	JfV4ep7IL	#深圳疫情#我看到了冻鸡翅！！！是不是我这段时间都不能吃鸡翅了 ​	2020年08月14日 21:56		1	2	https://weibo.com/5651608668/JfV4ep7IL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV4ep7IL?uid=5651608668&rl=1
雨暮凉之	6091095259	JfV467GBe	#深圳疫情#拜拜了别啊！！！不想带口罩 ​	2020年08月14日 21:55		评论		https://weibo.com/6091095259/JfV467GBe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV467GBe?uid=6091095259&rl=1
泡不了鱼蛋	6572779814	JfV44j2Cp	#深圳疫情#希望下半年的好事多一点！疫情也好一点！🙏 ​	2020年08月14日 21:55			2	https://weibo.com/6572779814/JfV44j2Cp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV44j2Cp?uid=6572779814&rl=1
终极梦想胖10斤	6037064009	JfV440lwR	#深圳疫情# 刚刚发布今日核酸检测又确诊两例我在水贝上班瑟瑟发抖，最近太放松了在公司都没戴口罩。身边好几个都去过盒马。 2深圳 ​	2020年08月14日 21:55		17	3	https://weibo.com/6037064009/JfV440lwR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV440lwR?uid=6037064009&rl=1
一朵青莲Sophia	2411359754	JfV3XeEYc	#深圳疫情#瑟瑟发抖。。。 2深圳 ​	2020年08月14日 21:55			1	https://weibo.com/2411359754/JfV3XeEYc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3XeEYc?uid=2411359754&rl=1
Summer晓晓FAHA	6879935173	JfV3WmxcP	#深圳疫情# 天天坐3号线的我慌了 在地铁上老是听巡逻的在提醒乘客戴好口罩，可惜还是有人不听 ​	2020年08月14日 21:55		评论		https://weibo.com/6879935173/JfV3WmxcP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3WmxcP?uid=6879935173&rl=1
请记住你的胃有多痛	1852888383	JfV3RymBt	#深圳疫情#天知道我今天才入职一家公司发现大家都没有戴口罩我也不想成为另类就把口罩摘了结果晚上就这……阿弥陀佛大家出行戴口罩吧周末的欢乐谷我就不去了我躺尸我刷剧我…… ​	2020年08月14日 21:55		9		https://weibo.com/1852888383/JfV3RymBt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3RymBt?uid=1852888383&rl=1
收集偏爱	3005256971	JfV3IoMfV	#深圳疫情#别这样，我还要考试，千万别取消别延期求求了…… ​	2020年08月14日 21:54		5	3	https://weibo.com/3005256971/JfV3IoMfV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3IoMfV?uid=3005256971&rl=1
小杰Azj	5573406955	JfV3DnnTq	#深圳疫情#才慢慢松懈了 ，出门渐渐有人不戴口罩，现在又要开始了。 2深圳 ​	2020年08月14日 21:54			4	https://weibo.com/5573406955/JfV3DnnTq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3DnnTq?uid=5573406955&rl=1
爱吃辣椒的肺物	5921934685	JfV3yobgo	#深圳疫情#这行情回医院上班后岂不是不能回家 ​	2020年08月14日 21:54		评论		https://weibo.com/5921934685/JfV3yobgo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3yobgo?uid=5921934685&rl=1
拉ki-Lucky	3977372702	JfV3y7HwV	#深圳疫情# 我的天，这病毒🦠 啥时候全灭啊！！！怪吓人的，没完没了的让人慌… ​	2020年08月14日 21:54		6		https://weibo.com/3977372702/JfV3y7HwV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3y7HwV?uid=3977372702&rl=1
辽沈晚报	1801817195	JfV3y9Uhn	【超市员工在汕尾确诊，#深圳排查出2人核酸检测阳性#】#深圳疫情#8月14日，深圳接广东省卫健委通报，一名此前在深圳工作的女性在老家汕尾陆丰市确诊为新冠肺炎。陈某，女，41岁，深圳市罗湖区水贝盒马鲜生超市酸奶销售员，居住在龙岗区布吉润祥家园。8月6日，与其子女从深圳乘大巴车返回老家汕尾陆丰 ​  展开全文c	2020年08月14日 21:54	2	8	9	https://weibo.com/1801817195/JfV3y9Uhn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3y9Uhn?uid=1801817195&rl=1
贰拾伍點壹-MINT	2955418433	JfV3t6kpD	#深圳疫情#本地鸡：爱会消失的对不对 ​	2020年08月14日 21:54			2	https://weibo.com/2955418433/JfV3t6kpD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3t6kpD?uid=2955418433&rl=1
酸奶草莓味的星星	5538760925	JfV3suFVb	#深圳疫情#还好盒马会强制所有人戴口罩明天开始带医用外科了 ​	2020年08月14日 21:54			1	https://weibo.com/5538760925/JfV3suFVb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3suFVb?uid=5538760925&rl=1
Luckylinnyaya	3966691239	JfV3q5FGO	#深圳疫情#是不是又不能过七夕了 ​	2020年08月14日 21:54			1	https://weibo.com/3966691239/JfV3q5FGO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3q5FGO?uid=3966691239&rl=1
娱圈三岁	2348439980	JfV3mA2u4	#深圳疫情#身在深圳的我，瑟瑟发抖🥶🥶🥶🥶过几天还得出远门呢，这是不让我出门啊 ​	2020年08月14日 21:53		2	1	https://weibo.com/2348439980/JfV3mA2u4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3mA2u4?uid=2348439980&rl=1
jacksonW迷妹	5915358699	JfV3lroy4	#深圳疫情#深圳那么多人，真的别这样，保佑🙏 ​	2020年08月14日 21:53		评论		https://weibo.com/5915358699/JfV3lroy4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3lroy4?uid=5915358699&rl=1
小名叫八一	2985810427	JfV3iculw	#深圳疫情#口罩戴起，口罩戴起 2深圳 ​	2020年08月14日 21:53		3		https://weibo.com/2985810427/JfV3iculw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV3iculw?uid=2985810427&rl=1
易氏婆婆	2592957892	JfV36nfeC	#深圳疫情#………… ​	2020年08月14日 21:53		评论		https://weibo.com/2592957892/JfV36nfeC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV36nfeC?uid=2592957892&rl=1
如何让猫活100岁	1852796582	JfV36iQ5e	#深圳疫情#为啥通报又删了 ​	2020年08月14日 21:53			1	https://weibo.com/1852796582/JfV36iQ5e?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV36iQ5e?uid=1852796582&rl=1
白鸟鸟儿	1427139674	JfV31kJVw	#深圳疫情#本来已感觉🦠离我十万八千里很安全了，戴口罩也都很敷衍了的时候，这是闹哪出？ ​	2020年08月14日 21:53		4		https://weibo.com/1427139674/JfV31kJVw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV31kJVw?uid=1427139674&rl=1
灵魂边舞边唱	2282990207	JfV2V9DIX	#深圳疫情#听说是在罗湖水贝…希望深圳稳住啊啊啊 ​	2020年08月14日 21:52		评论		https://weibo.com/2282990207/JfV2V9DIX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV2V9DIX?uid=2282990207&rl=1
蓝允er	2828361913	JfV2QFbYp	#深圳疫情#害怕！前两天才刚吃完鸡翅，不敢吃了，深圳你可要挺住啊！ ​	2020年08月14日 21:52		评论		https://weibo.com/2828361913/JfV2QFbYp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV2QFbYp?uid=2828361913&rl=1
吞金兽的印钞机	6865085037	JfV2Kbnm6	#深圳疫情#别啊别死灰复燃给我稳住，感觉这些天大家都松懈了，街上没几个戴口罩的 ​	2020年08月14日 21:52		评论		https://weibo.com/6865085037/JfV2Kbnm6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV2Kbnm6?uid=6865085037&rl=1
光头帮主	6756482870	JfV2GkOef	【#广东陆丰新增病例3家属核酸阳性#：深圳盒马生鲜再查出两例阳性】8月14日，深圳接广东省卫健委通报，一名此前在深圳工作的女性在老家汕尾陆丰市确诊为新冠肺炎。陈某，女，41岁，深圳市罗湖区水贝盒马鲜生超市酸奶销售员，居住在龙岗区布吉润祥家园。8月6日，与其子女从深圳乘大巴车返回老家汕尾陆 ​  展开全文c	2020年08月14日 21:52	1	8	24	https://weibo.com/6756482870/JfV2GkOef?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV2GkOef?uid=6756482870&rl=1
__臣妾做不到啊	7319143653	JfV2v660q	#深圳疫情# 深圳的市民们，大家一起坚守住 ​	2020年08月14日 21:51			1	https://weibo.com/7319143653/JfV2v660q?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV2v660q?uid=7319143653&rl=1
桜芝奶圆	6522637774	JfV2qmjiL	#深圳疫情#因为这个我妈连炸鸡都不让我买 ​	2020年08月14日 21:51		2	1	https://weibo.com/6522637774/JfV2qmjiL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JfV2qmjiL?uid=6522637774&rl=1
