用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
玛卡巴卡剧喜欢	3779166975	Jcqg1DY3E	#王漫妮拒绝梁正贤付房租#虽然梁正贤是个海王但是漫妮还是一头栽进了他的温柔乡希望他不要伤害我们漫妮啊 ​	2020年07月22日 21:59	103	104	102	https://weibo.com/3779166975/Jcqg1DY3E?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqg1DY3E?uid=3779166975&rl=1
影视圈萌主	1844421834	JcqfVpxkq	#王漫妮拒绝梁正贤付房租# U1S1王漫妮的三观真的好正！可以穷精致但也很独立，懂得拒绝 ！但凡一个男人真心，他会给你一个家，而不是租一个房子！ L影视圈萌主的微博视频 ​	2020年07月22日 21:58	233	230	413	https://weibo.com/1844421834/JcqfVpxkq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqfVpxkq?uid=1844421834&rl=1
地砖上的电灯泡	6905642733	JcqfksgAx	#王漫妮拒绝梁正贤付房租#我觉得漫妮是对的，无功不受禄，大家平等。 ​	2020年07月22日 21:57		评论		https://weibo.com/6905642733/JcqfksgAx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqfksgAx?uid=6905642733&rl=1
娱乐陈叔	2312839423	JcqeUarlR	#剧综汇精彩# |#王漫妮拒绝梁正贤付房租#梁正贤是真的会撩，但王漫妮就像当初在游轮上一样，拒绝了梁正贤付房租。她是精致穷，也是真的有骨气，你能理解她的选择吗？ ​#没有假期的日日夜夜# L娱乐帅蜀黍的微博视频 ​	2020年07月22日 21:56	1	5	15	https://weibo.com/2312839423/JcqeUarlR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqeUarlR?uid=2312839423&rl=1
帕琪琪_Iris	5519764468	JcqercWME	#王漫妮拒绝梁正贤付房租#真的比起陈屿 这个梁正贤更让我觉得恶心！陈屿其实是个好男人 只不过他俩不合适这个梁正贤我看见他的胡茬就想给他剃了人面兽心 骗我漫妮 ​	2020年07月22日 21:55		9	21	https://weibo.com/5519764468/JcqercWME?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqercWME?uid=5519764468&rl=1
一秒综	5247525828	JcqeptLgM	#王漫妮拒绝梁正贤付房租#王漫妮三观太正了, 梁正贤提出给她租房子，但是妮妮子拒绝了,精致穷，也是真的有骨气 O网页链接 ​	2020年07月22日 21:55			2	https://weibo.com/5247525828/JcqeptLgM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqeptLgM?uid=5247525828&rl=1
娱闻新风尚	2078691200	Jcqemh4gL	#王漫妮拒绝梁正贤付房租# 时刻坚持独立不物质的自己，三观够正 ​	2020年07月22日 21:54	426	480	1918	https://weibo.com/2078691200/Jcqemh4gL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqemh4gL?uid=2078691200&rl=1
追花少年药不停	6617388195	JcqecegiA	#王漫妮拒绝梁正贤付房租#梁政贤对漫妮还是很好的，想着漫妮住的房子离上班地方太远，就提出来为漫妮租个近点的房子。可漫妮还是觉得现在这个房子挺好的，而且谈恋爱如果牵扯上经济问题就不纯粹了，她还是想要简单一点的爱情……感觉漫妮三观好正，梁正贤也挺体贴的，希望两人能够好好的王漫妮/ ​  展开全文c	2020年07月22日 21:54	8	29	128	https://weibo.com/6617388195/JcqecegiA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqecegiA?uid=6617388195&rl=1
娱戈	6102709503	Jcqe2nyH0	#王漫妮拒绝梁正贤付房租# 梁正贤是个撩妹高手！！！面对这么会的男人谁不心动呀！！漫妮的心动也是真真的，对于她来说这段感情有赌的成分，但还是义无反顾的正式交往了。不过王漫妮拒绝梁正贤付房租不用伴侣的钱生活这一点真的很棒。 ​​​#娱乐影像力# ​	2020年07月22日 21:54			2	https://weibo.com/6102709503/Jcqe2nyH0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqe2nyH0?uid=6102709503&rl=1
职场王小妹	7099440978	JcqdOi9rx	#王漫妮拒绝梁正贤付房租#生活中学会拒绝依赖，与工作中学会拒绝“顺便”同等重要。Cr:见水印 2上海 L职场王小妹的微博视频 ​	2020年07月22日 21:53	3	1	20	https://weibo.com/7099440978/JcqdOi9rx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqdOi9rx?uid=7099440978&rl=1
甘团子	1976032403	JcqdNFoWw	#王漫妮拒绝梁正贤付房租#我要气死了！！！我很吃他的颜啊！！不会官配是王自健吧不要啊不要啊不要啊 ​	2020年07月22日 21:53			14	https://weibo.com/1976032403/JcqdNFoWw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqdNFoWw?uid=1976032403&rl=1
狗仔	1645167401	JcqdMaJiz	#王漫妮拒绝梁正贤付房租#王漫妮拒绝了梁正贤付房租，你可以用千万种方式表达爱意，付房租就算了。 ​	2020年07月22日 21:53			1	https://weibo.com/1645167401/JcqdMaJiz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqdMaJiz?uid=1645167401&rl=1
你的千寻_	6304994325	JcqdK8QFy	#王漫妮拒绝梁正贤付房租#三观很正 这男的可真会撩 看着就很渣啊 ​	2020年07月22日 21:53		评论		https://weibo.com/6304994325/JcqdK8QFy?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqdK8QFy?uid=6304994325&rl=1
金领先森	6539534207	Jcqdxrupn	#王漫妮拒绝梁正贤付房租##三十而已# 梁正贤好得不真实了 还好王漫妮有一定的分辨能力但是在这样的攻势下，有多少女生能不心动 ​	2020年07月22日 21:52	128	126	304	https://weibo.com/6539534207/Jcqdxrupn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqdxrupn?uid=6539534207&rl=1
中捷司法	5238240104	JcqdsmL1N	以案释法#王漫妮拒绝梁正贤付房租#【恋爱期间赠送的钱、礼物能要回吗？】注意了！ 恋爱期间，常常存在小礼物、金钱、大额财产等的赠与，分手后，赠与方想要极力挽回损失，那是否可以要回送出去的财物呢？需要视情况而定。#三十而已# L四川成都沈律师的秒拍视频 ​​​	2020年07月22日 21:52	1		3	https://weibo.com/5238240104/JcqdsmL1N?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqdsmL1N?uid=5238240104&rl=1
热播电视剧	1072962941	JcqdlhjIh	#王漫妮拒绝梁正贤付房租#果然渣男是真的会撩，但王漫妮就像当初在游轮上一样，拒绝了梁正贤付房租。她虽然穷，但真的有骨气，你喜欢这样的漫妮吗？ ​	2020年07月22日 21:52	111	111	370	https://weibo.com/1072962941/JcqdlhjIh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqdlhjIh?uid=1072962941&rl=1
青山见我应如是鸭	7202026218	JcqcZ8KDB	#王漫妮拒绝梁正贤付房租#妮妮子三观真的蛮正的，不过就是，恋爱了脑子不太好使啊，快点离这个渣男远一点吧... ​	2020年07月22日 21:51		评论		https://weibo.com/7202026218/JcqcZ8KDB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqcZ8KDB?uid=7202026218&rl=1
lmlyLarissa选选	5518451385	JcqcFDw41	#王漫妮拒绝梁正贤付房租#为什么我还没有更新，你们就已经看了 ​	2020年07月22日 21:50			3	https://weibo.com/5518451385/JcqcFDw41?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqcFDw41?uid=5518451385&rl=1
小互求职bot	7053949336	Jcqcx5Ay1	#北京中低收入家庭租房补贴提高#  【租房有“3个W”，看清楚不上当！】租房网上精挑细选，联系中介实地考察，当你终于看到了位置合适、大小ok、房型满意的房屋，是否会毫不犹豫签下中介手中的合约书？注意！这可不是一个合格的租客！签订合约应有哪些意识？注意这些细节↓  #王漫妮拒绝梁正贤付房租#   ​  展开全文c	2020年07月22日 21:50		评论		https://weibo.com/7053949336/Jcqcx5Ay1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqcx5Ay1?uid=7053949336&rl=1
这小孩是个好青年	2495536264	JcqctdWKM	#王漫妮拒绝梁正贤付房租#三十而已现在真的非常火今天一早上班在食堂就开始热烈讨论了，到办公室开晨会的时候，几个女生还在继续讨论，男同事说今天晨会内容就是三十而已吧中午食堂继续讨论，午休的时候其他部门几个同事过来借了腾讯VIP会员真的实🔥大声说一句，江疏影真的好白好 ​  展开全文c	2020年07月22日 21:50			2	https://weibo.com/2495536264/JcqctdWKM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqctdWKM?uid=2495536264&rl=1
影娱桥头堡	5583823216	JcqcshnvA	一直和妈妈说不想将就的王漫妮终于遇到了白马王子，梁正贤太会了，两个人在邮轮上相遇又一同去努瓦哈图潜水旅行，回国之后#王漫妮梁正贤交往#。但是梁正贤长期居住香港担心王漫妮一个人住在上海郊区，想给她租房子不过#王漫妮拒绝梁正贤付房租#，两个人亲密的人还是要有距离感，王漫妮这个感情观蛮正的 ​  展开全文c	2020年07月22日 21:50			1	https://weibo.com/5583823216/JcqcshnvA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqcshnvA?uid=5583823216&rl=1
happyfnfnd	6462584752	JcqcmnTlG	#王漫妮拒绝梁正贤付房租#海王是什么意思？ ​	2020年07月22日 21:50		评论		https://weibo.com/6462584752/JcqcmnTlG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqcmnTlG?uid=6462584752&rl=1
娱队长	2448908877	Jcqcc3wok	#王漫妮拒绝梁正贤付房租#《三十而已》中王漫妮的感情观值得肯定，不过可惜遇人不淑，渣男注定会伤害他！ O网页链接 ​	2020年07月22日 21:49	114	118	378	https://weibo.com/2448908877/Jcqcc3wok?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqcc3wok?uid=2448908877&rl=1
非知名追剧可	7203563213	Jcqc9oRRY	#王漫妮拒绝梁正贤付房租#【关晓彤 卜冠今 李庚希 董思怡☁️盘自源，点赞平伦👇🏻👇🏻，评论处无偿分享♾♾♾《#二十不惑#》播至第15-16集！——“TYTO”半熟半青春女团看来要增加新成员了，“红楼四子”要合体了！今晚，小果、石头、大宝一起救梁爽的剧情竟然看得人有些心潮澎湃！ ​  展开全文c	2020年07月22日 21:49		1		https://weibo.com/7203563213/Jcqc9oRRY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqc9oRRY?uid=7203563213&rl=1
_Kalie	2771013111	Jcqc7Adbt	#王漫妮拒绝梁正贤付房租#在追求愛情時 也不忘記自己是個獨立的個體 ​	2020年07月22日 21:49			7	https://weibo.com/2771013111/Jcqc7Adbt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqc7Adbt?uid=2771013111&rl=1
剧透少女朱碧萝	6511176063	JcqaYoA3h	#王漫妮拒绝梁正贤付房租#越看越觉得梁正贤这个男人不对劲，总有种他是“海王”的感觉，希望已经在上海打拼了这么多年的王漫妮长长心，不要被骗了 ​	2020年07月22日 21:46	354	6	553	https://weibo.com/6511176063/JcqaYoA3h?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqaYoA3h?uid=6511176063&rl=1
王木木同学0711	7162762892	JcqaU3fk1	#王漫妮拒绝梁正贤付房租##王漫妮 梁正贤#有酒窝的男生都很危险，要远离（PS:张艺兴除外，本来离得也很远）  ​​​  ​​​怎么看这两酒窝都透漏着危险 2衡水 ​	2020年07月22日 21:46			2	https://weibo.com/7162762892/JcqaU3fk1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqaU3fk1?uid=7162762892&rl=1
芒果捞蜀黍	5041973520	Jcqar3w8R	#王漫妮拒绝梁正贤付房租# 梁正贤会说情话、会制造浪漫，但曼妮却拒绝了梁正贤为她支付房租。如果一个男人真心，他会给你一个家，而不是租一个房子！这是每一个女孩都要明白的！王漫妮的三观真的好正！！#三十而已真实# O网页链接 ​	2020年07月22日 21:45	2		9	https://weibo.com/5041973520/Jcqar3w8R?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqar3w8R?uid=5041973520&rl=1
小宇095	3477391590	JcqapAP5F	#王漫妮拒绝梁正贤付房租# ​王漫妮三观太正了，时刻让自己保持不物质又是独立的自己！自己主宰自己的人生和情感！ ​	2020年07月22日 21:45		1		https://weibo.com/3477391590/JcqapAP5F?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JcqapAP5F?uid=3477391590&rl=1
新剧大婊哥	6465495720	Jcqa3FsYw	三十而已富豪男朋友梁正贤提出要帮王漫妮租房子，没想到她却拒绝了！有一说一，王漫妮这个角色三观真的很正，即使自己穷也不想心安理得的用男朋友的钱#王漫妮拒绝梁正贤付房租# ​	2020年07月22日 21:44	202	201	331	https://weibo.com/6465495720/Jcqa3FsYw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcqa3FsYw?uid=6465495720&rl=1
追剧喵大王	6223965229	Jcq9XcN7r	#王漫妮拒绝梁正贤付房租#梁正贤这个渣男！！！！！！王漫妮三观好正啊，清醒独立，爱情纯粹 ​	2020年07月22日 21:44	157	316	444	https://weibo.com/6223965229/Jcq9XcN7r?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq9XcN7r?uid=6223965229&rl=1
诱甜樱花·	5964337556	Jcq9Uy8Tr	#王漫妮拒绝梁正贤付房租#如果是我的话，也会像漫妮姐这么做的，好的你也能遇到好的那个他，相爱的人是相互扶持一起走下去的，而不是物质上的需要   姐姐三观很正 ​	2020年07月22日 21:43			7	https://weibo.com/5964337556/Jcq9Uy8Tr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq9Uy8Tr?uid=5964337556&rl=1
路过云的风	5418794525	Jcq9IFAsw	#王漫妮拒绝梁正贤付房租#如果是我的话，也会像漫妮姐这么做的，好的你也能遇到好的那个他，相爱的人是相互扶持一起走下去的，而不是物质上的需要 @edward_馬志威  姐姐三观很正 ​	2020年07月22日 21:43			2	https://weibo.com/5418794525/Jcq9IFAsw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq9IFAsw?uid=5418794525&rl=1
娜一朵	6346583396	Jcq9nrnR5	#王漫妮 梁正贤#不喜欢艳遇，不喜欢随便喜欢抓得住，看得见的东西年近30，失恋过，独立过，遇见爱情同样会义无反顾很欣赏王漫妮的独立，果敢，遇见了绝不放弃#王漫妮拒绝梁正贤付房租# 如果后续不出问题，他们应该是很好的一对 L娜一朵的微博视频 ​	2020年07月22日 21:42		评论		https://weibo.com/6346583396/Jcq9nrnR5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq9nrnR5?uid=6346583396&rl=1
娱baby	1256970057	Jcq92rs4s	#王漫妮拒绝梁正贤付房租# 王漫妮在亲密关系中还是很清醒的，既不拜金又保持独立，希望她能有好的归宿吧！不过这个梁正贤是不是Mr right，这点存疑，大家觉得呢？#三十而已# O网页链接 ​	2020年07月22日 21:41	598	761	1319	https://weibo.com/1256970057/Jcq92rs4s?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq92rs4s?uid=1256970057&rl=1
综艺圈长	6017228113	Jcq8Pssvv	#王漫妮拒绝梁正贤付房租# ​王漫妮三观太正了，拒绝梁正贤付房租！时刻让自己保持不物质又独立的自己！！！ ​	2020年07月22日 21:41	106	106	585	https://weibo.com/6017228113/Jcq8Pssvv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq8Pssvv?uid=6017228113&rl=1
影视圈萌主	1844421834	Jcq8vDqwB	#王漫妮拒绝梁正贤付房租# 梁正贤会说情话、会制造浪漫，除了不在上海简直是个完美对象还提出要帮王漫妮付房租，却被漫妮拒绝，但凡一个男人真心，他会给你一个家，而不是租一个房子！王漫妮的三观真的好正！！ L影视圈萌主的微博视频 ​​​​	2020年07月22日 21:40	26	27	37	https://weibo.com/1844421834/Jcq8vDqwB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq8vDqwB?uid=1844421834&rl=1
抓马视频_	7437651125	Jcq8qidMo	#王漫妮梁正贤交往#梁正贤是个撩妹高手！！！面对这么会的男人谁不心动呀！！漫妮的心动也是真真的，对于她来说这段感情有赌的成分，但还是义无反顾的正式交往了。不过#王漫妮拒绝梁正贤付房租#，不用伴侣的钱生活这一点真的很棒。 ​​​	2020年07月22日 21:40			3	https://weibo.com/7437651125/Jcq8qidMo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq8qidMo?uid=7437651125&rl=1
影视剧透圈	5938342102	Jcq8dloJ9	#王漫妮拒绝梁正贤付房租# 梁正贤提出要给王漫妮租房，王漫妮断然的拒绝了，果然漫妮还是有底线的，没有被爱情冲昏了头脑! L影视剧透圈的微博视频 ​	2020年07月22日 21:39	94	92	190	https://weibo.com/5938342102/Jcq8dloJ9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq8dloJ9?uid=5938342102&rl=1
吖懒妞	5515313021	Jcq83Blbb	从来都是会哭的小孩有糖吃懂事的孩子没人疼到现在还没懂吗#钟晓芹陈屿离婚##王漫妮拒绝梁正贤付房租# ​	2020年07月22日 21:39		评论		https://weibo.com/5515313021/Jcq83Blbb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq83Blbb?uid=5515313021&rl=1
追剧少女喵大仙	2839538472	Jcq7Xo1ZX	#王漫妮拒绝梁正贤付房租# 人间清醒漫妮子还是逃不开渣男甜言蜜语官配在哪里我先心疼会儿 L追剧少女喵大仙的微博视频 ​	2020年07月22日 21:39	104	106	572	https://weibo.com/2839538472/Jcq7Xo1ZX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq7Xo1ZX?uid=2839538472&rl=1
娱乐猫妹	1958901187	Jcq7wuz87	#王漫妮拒绝梁正贤付房租# 好甜好甜好甜啊！梁正贤也太会了，谁看了会不心动！不过王漫妮还是拒绝了梁正贤要给她租个房子，感情观真的很正啊 ​​​	2020年07月22日 21:38		评论		https://weibo.com/1958901187/Jcq7wuz87?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq7wuz87?uid=1958901187&rl=1
卷毛阿宁	6440053367	Jcq7vAdwX	梁正贤这个海王出门捕鱼了！！！#王漫妮拒绝梁正贤付房租# ​真的得承认王漫妮三观太正了，时刻让自己保持不物质又独立的自己！！！ ​她其实在上海生活8年，接触的高端男客人不少，应该有这个分辨能力的。不过男的这角色太写实了，和现实中这类人完全同样的路数。 ​	2020年07月22日 21:38			1	https://weibo.com/6440053367/Jcq7vAdwX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jcq7vAdwX?uid=6440053367&rl=1
