原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
四川监狱	:【被狗绳绊倒，老人腾空面朝下摔地后身亡】#老人被狗绳绊倒摔地后身亡#8月17日，广东佛山。顺德区一名老人被奔跑的狗所挂绳子绊倒，腾空面朝下摔地。杏坛镇官方人士告诉澎湃新闻，老人经送医抢救无效去世，死者家属和狗主人双方正沟通。（素材来源：相关人士）被狗绳绊倒，老人腾空面朝下摔地后身亡 澎湃新闻的微博视频 @澎湃新闻 @法治四川	2020-08-18 16:59:17    	巴中监狱	7072674320	巴中监狱:转发微博	赞[0]	2020-08-18 18:32:13	来自vivo AI智慧拍照X21
四川监狱	:【被狗绳绊倒，老人腾空面朝下摔地后身亡】#老人被狗绳绊倒摔地后身亡#8月17日，广东佛山。顺德区一名老人被奔跑的狗所挂绳子绊倒，腾空面朝下摔地。杏坛镇官方人士告诉澎湃新闻，老人经送医抢救无效去世，死者家属和狗主人双方正沟通。（素材来源：相关人士）被狗绳绊倒，老人腾空面朝下摔地后身亡 澎湃新闻的微博视频 @澎湃新闻 @法治四川	2020-08-18 16:59:17    	四川省大英监狱	7303040340	四川省大英监狱:转发微博	赞[0]	2020-08-18 18:24:24	来自微博 weibo.com
四川监狱	:【被狗绳绊倒，老人腾空面朝下摔地后身亡】#老人被狗绳绊倒摔地后身亡#8月17日，广东佛山。顺德区一名老人被奔跑的狗所挂绳子绊倒，腾空面朝下摔地。杏坛镇官方人士告诉澎湃新闻，老人经送医抢救无效去世，死者家属和狗主人双方正沟通。（素材来源：相关人士）被狗绳绊倒，老人腾空面朝下摔地后身亡 澎湃新闻的微博视频 @澎湃新闻 @法治四川	2020-08-18 16:59:17    	四川省邑州监狱	6011935645	四川省邑州监狱:转发微博	赞[0]	2020-08-20 16:34:03	来自微博 weibo.com
四川监狱	:【被狗绳绊倒，老人腾空面朝下摔地后身亡】#老人被狗绳绊倒摔地后身亡#8月17日，广东佛山。顺德区一名老人被奔跑的狗所挂绳子绊倒，腾空面朝下摔地。杏坛镇官方人士告诉澎湃新闻，老人经送医抢救无效去世，死者家属和狗主人双方正沟通。（素材来源：相关人士）被狗绳绊倒，老人腾空面朝下摔地后身亡 澎湃新闻的微博视频 @澎湃新闻 @法治四川	2020-08-18 16:59:17    	四川省嘉州监狱	5975519710	四川省嘉州监狱:转发微博	赞[0]	2020-08-20 14:24:00	来自360安全浏览器
四川监狱	:【被狗绳绊倒，老人腾空面朝下摔地后身亡】#老人被狗绳绊倒摔地后身亡#8月17日，广东佛山。顺德区一名老人被奔跑的狗所挂绳子绊倒，腾空面朝下摔地。杏坛镇官方人士告诉澎湃新闻，老人经送医抢救无效去世，死者家属和狗主人双方正沟通。（素材来源：相关人士）被狗绳绊倒，老人腾空面朝下摔地后身亡 澎湃新闻的微博视频 @澎湃新闻 @法治四川	2020-08-18 16:59:17    	四川省宜宾监狱	7036626925	四川省宜宾监狱:转发微博	赞[0]	2020-08-19 10:34:16	来自nova7Pro你在焦点在
四川监狱	:【被狗绳绊倒，老人腾空面朝下摔地后身亡】#老人被狗绳绊倒摔地后身亡#8月17日，广东佛山。顺德区一名老人被奔跑的狗所挂绳子绊倒，腾空面朝下摔地。杏坛镇官方人士告诉澎湃新闻，老人经送医抢救无效去世，死者家属和狗主人双方正沟通。（素材来源：相关人士）被狗绳绊倒，老人腾空面朝下摔地后身亡 澎湃新闻的微博视频 @澎湃新闻 @法治四川	2020-08-18 16:59:17    	四川省广元监狱	5714098344	四川省广元监狱:转发微博	赞[0]	2020-08-19 10:27:54	来自HUAWEI P30
四川监狱	:【被狗绳绊倒，老人腾空面朝下摔地后身亡】#老人被狗绳绊倒摔地后身亡#8月17日，广东佛山。顺德区一名老人被奔跑的狗所挂绳子绊倒，腾空面朝下摔地。杏坛镇官方人士告诉澎湃新闻，老人经送医抢救无效去世，死者家属和狗主人双方正沟通。（素材来源：相关人士）被狗绳绊倒，老人腾空面朝下摔地后身亡 澎湃新闻的微博视频 @澎湃新闻 @法治四川	2020-08-18 16:59:17    	四川省锦江监狱	7276435896	四川省锦江监狱:转发微博	赞[0]	2020-08-19 09:16:58	来自微博 weibo.com
四川监狱	:【被狗绳绊倒，老人腾空面朝下摔地后身亡】#老人被狗绳绊倒摔地后身亡#8月17日，广东佛山。顺德区一名老人被奔跑的狗所挂绳子绊倒，腾空面朝下摔地。杏坛镇官方人士告诉澎湃新闻，老人经送医抢救无效去世，死者家属和狗主人双方正沟通。（素材来源：相关人士）被狗绳绊倒，老人腾空面朝下摔地后身亡 澎湃新闻的微博视频 @澎湃新闻 @法治四川	2020-08-18 16:59:17    	四川省眉州监狱	7036817850	四川省眉州监狱:转发微博	赞[0]	2020-08-19 09:12:45	来自HUAWEI Mate 20
四川监狱	:【被狗绳绊倒，老人腾空面朝下摔地后身亡】#老人被狗绳绊倒摔地后身亡#8月17日，广东佛山。顺德区一名老人被奔跑的狗所挂绳子绊倒，腾空面朝下摔地。杏坛镇官方人士告诉澎湃新闻，老人经送医抢救无效去世，死者家属和狗主人双方正沟通。（素材来源：相关人士）被狗绳绊倒，老人腾空面朝下摔地后身亡 澎湃新闻的微博视频 @澎湃新闻 @法治四川	2020-08-18 16:59:17    	四川省汉王山监狱	6268466287	四川省汉王山监狱:转发微博	赞[0]	2020-08-18 23:27:26	来自前后2000万 OPPO R11
四川监狱	:【被狗绳绊倒，老人腾空面朝下摔地后身亡】#老人被狗绳绊倒摔地后身亡#8月17日，广东佛山。顺德区一名老人被奔跑的狗所挂绳子绊倒，腾空面朝下摔地。杏坛镇官方人士告诉澎湃新闻，老人经送医抢救无效去世，死者家属和狗主人双方正沟通。（素材来源：相关人士）被狗绳绊倒，老人腾空面朝下摔地后身亡 澎湃新闻的微博视频 @澎湃新闻 @法治四川	2020-08-18 16:59:17    	四川省川中监狱	7024260926	四川省川中监狱:转发微博	赞[0]	2020-08-18 22:07:54	来自HUAWEI Mate 9
