用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
辰小溪是谁家的兔子	5651825555	Jh8U0mUZD	#腾讯笔试#热搜代表了今年鹅厂收简历的规模有多可怕不知道这辈子还要被鹅厂虐几次 ​	2020年08月22日 22:59			10	https://weibo.com/5651825555/Jh8U0mUZD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8U0mUZD?uid=5651825555&rl=1
心想事会成的大头崽	6508876742	Jh8TUaGkV	#腾讯笔试#写完才承认自己是个智障这一事实 ​	2020年08月22日 22:59		评论		https://weibo.com/6508876742/Jh8TUaGkV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TUaGkV?uid=6508876742&rl=1
-伪恒真式	6435436631	Jh8TRfzPe	#腾讯笔试#是我不配做逻辑和图形题的我脑袋里是浆糊吧 ​	2020年08月22日 22:59		评论		https://weibo.com/6435436631/Jh8TRfzPe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TRfzPe?uid=6435436631&rl=1
Lacey_xx	5403990767	Jh8TPnzTZ	#腾讯笔试#每一道题都在提醒自己，是个ZZ吧…… 2上海·延长路265弄小区 ​	2020年08月22日 22:59		1	5	https://weibo.com/5403990767/Jh8TPnzTZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TPnzTZ?uid=5403990767&rl=1
TheZQX	3516930940	Jh8TOxDnp	#腾讯笔试#腾讯财经笔试比申请暑期实习简单多了....暑期实习是真的啥都不会，但还是过了（非常怀疑笔试不刷人）...这次真怕是按分数刷人了...怕后面没时间，第一部分做的飞，结果第二部分就俩题....留了快50分钟做part3算烟草公司增值税，浪费时间啊....留一天也不会啊....做完还没下午的美团累... ​  展开全文c	2020年08月22日 22:59		1	1	https://weibo.com/3516930940/Jh8TOxDnp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TOxDnp?uid=3516930940&rl=1
享受生活的明风	1682914205	Jh8TOyJU8	#腾讯笔试#咋回事，我还没投呢，心慌慌 ​	2020年08月22日 22:59			2	https://weibo.com/1682914205/Jh8TOyJU8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TOyJU8?uid=1682914205&rl=1
嗯嗯我很好啦	6561239893	Jh8TJfM8i	#腾讯笔试#跟大厂的距离...原来那么远那么远 2成都·四川大学 ​	2020年08月22日 22:58		评论		https://weibo.com/6561239893/Jh8TJfM8i?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TJfM8i?uid=6561239893&rl=1
芒青回到1999	5012213876	Jh8TDCICL	#腾讯笔试#笑死我了哈哈哈哈哈哈哈哈 居然能难上热搜 我好想知道答案 好想对答案 ​	2020年08月22日 22:58		5	1	https://weibo.com/5012213876/Jh8TDCICL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TDCICL?uid=5012213876&rl=1
再次没头脑加不开心	5474697621	Jh8TvALoq	#腾讯笔试#贴个图 证明自己爱过鹅鹅鹅 ​	2020年08月22日 22:58			1	https://weibo.com/5474697621/Jh8TvALoq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TvALoq?uid=5474697621&rl=1
北翎之燕	3908486259	Jh8Tt0JSe	#腾讯笔试#没想到上热搜了 我就想说我一边做一边骂人 行测做得我觉得我可能失了智为啥我好像都不会呢 ​	2020年08月22日 22:58			1	https://weibo.com/3908486259/Jh8Tt0JSe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8Tt0JSe?uid=3908486259&rl=1
喜茶奈雪好利来好欢螺野生代言人	2262798723	Jh8TsDq16	#腾讯笔试#无时无刻不在提醒我是个小垃圾是我不配 ​	2020年08月22日 22:58		评论		https://weibo.com/2262798723/Jh8TsDq16?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TsDq16?uid=2262798723&rl=1
离春天只有十二公分的雪兔	6574410758	Jh8TsCjgS	#腾讯笔试#我就想知道你们是怎么报名腾讯笔试的 ​	2020年08月22日 22:58			1	https://weibo.com/6574410758/Jh8TsCjgS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TsCjgS?uid=6574410758&rl=1
隔壁家的姑凉-	3010160285	Jh8Tkn64F	#腾讯笔试#猝不及防的热搜哈哈，50道不定项，太狠了！ ​	2020年08月22日 22:57		2	5	https://weibo.com/3010160285/Jh8Tkn64F?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8Tkn64F?uid=3010160285&rl=1
萧甜丝	6475844876	Jh8TjesDS	#腾讯笔试#大企业都招数学好的嘛 ​	2020年08月22日 22:57		评论		https://weibo.com/6475844876/Jh8TjesDS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TjesDS?uid=6475844876&rl=1
Summer可以一夜暴富嘛	5505554951	Jh8Ti4KxW	#腾讯笔试#想起之前做网易笔试的我，跟我憨批叭叭叭吐槽了一大堆感觉自己简直是个弱智#憨批Summer的碎碎念# ​	2020年08月22日 22:57		评论		https://weibo.com/5505554951/Jh8Ti4KxW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8Ti4KxW?uid=5505554951&rl=1
幸子吧	5326697633	Jh8Th74mT	#腾讯笔试#分母本母了第一题就直接懵掉 ​	2020年08月22日 22:57			1	https://weibo.com/5326697633/Jh8Th74mT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8Th74mT?uid=5326697633&rl=1
画风清奇的球先生	5315401503	Jh8Td3jpY	#腾讯笔试#题是不会，但作为高贵的VIP批评了它，潇洒的转身离开💅🏻 ​	2020年08月22日 22:57		2	10	https://weibo.com/5315401503/Jh8Td3jpY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8Td3jpY?uid=5315401503&rl=1
独行黑夜的黑猫	3276696602	Jh8TbxkWO	#腾讯笔试#时间过的也太快了吧，又到了吐槽鹅厂笔试的时候了，一年又过去了去年一个题不会做的恐惧还历历在目 ​	2020年08月22日 22:57		4	2	https://weibo.com/3276696602/Jh8TbxkWO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TbxkWO?uid=3276696602&rl=1
猪八辛	3494679503	Jh8TakjeG	#腾讯笔试#我就感觉死难死难的然后我选择了在外面浪而直接放弃了 对不起腾讯爸爸我不配 ​	2020年08月22日 22:57		3	4	https://weibo.com/3494679503/Jh8TakjeG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8TakjeG?uid=3494679503&rl=1
春眠不觉小小酥·	3971363750	Jh8SXE2e0	#腾讯笔试#鹅，放下你的身段 ​	2020年08月22日 22:57		评论		https://weibo.com/3971363750/Jh8SXE2e0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8SXE2e0?uid=3971363750&rl=1
废柴羊yangfj	2476332291	Jh8SQgWCn	#腾讯笔试#虽然已经工作了，但是找工作经历过的大厂笔试清晰的告诉我：智商天赋真的毫不留情的把人分为三六九等，我连题都读不懂的时候，别人已经把答案解出来并给出了优化方案，这就是人生 ​	2020年08月22日 22:56		12	131	https://weibo.com/2476332291/Jh8SQgWCn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8SQgWCn?uid=2476332291&rl=1
做我的可爱多叭	2993776962	Jh8SNkLbn	#腾讯笔试#这热搜蹭蹭就上来了😂做的时候“噢，这什么东西，我不会，没学过”没有头，我不配 ​	2020年08月22日 22:56		3	3	https://weibo.com/2993776962/Jh8SNkLbn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8SNkLbn?uid=2993776962&rl=1
Sophiaaa_go	5720273202	Jh8SJqU9r	#腾讯笔试#这也能上热搜是有多难 ​	2020年08月22日 22:56		评论		https://weibo.com/5720273202/Jh8SJqU9r?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jh8SJqU9r?uid=5720273202&rl=1
