用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
舒畅学院-妃水不可	5323021494	JkNPFe3Mx	娱仨#苹果发布会#没有什么能一下拯救你，就像没有什么能一下打垮你。你不能期待一个刺激就可以顺利地改变你，也不能期待时间拯救你。时间不能拯救你，它只会带着人往前走，修正方向的只能是你自己。你只有每天多吸收一点多刺激一点，直到那变成你的习惯。毕竟今天不多走一点，明天就要用跑的了 ​  展开全文c	2020年09月16日 00:42	1	7	4	https://weibo.com/5323021494/JkNPFe3Mx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkNPFe3Mx?uid=5323021494&rl=1
紫菜汤先生	1888278535	JkNt6zDvS	还有一点，A14 芯片一定会是 iPhone 12系列首发，如果没有发布 iPhone，那 iPad Air 4就一定不是搭载 A14芯片了。最后，再预测一下这次会发布的主要硬件，iPhone 12 系列（A14）+iPad Air 4（A14）+iPad 2020（A12）+ Apple Watch Series 6（S6）+Apple Watch SE（S5），其他还有头戴式耳机 AirPods S ​  展开全文c	2020年09月15日 23:46		评论		https://weibo.com/1888278535/JkNt6zDvS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkNt6zDvS?uid=1888278535&rl=1
·蜗牛先生	2060112437	JkNsO04rT	9月15日（美国当地时间）注定是一个不寻常的日子：一个是#苹果发布会# ，一个是华为禁令的开始。赶在这个日子前，华为花巨资从台积电包机运回了所有麒麟芯片，据说至少备足18个月的库存量，看得出华为是做好了持久战的打算。只是没想到美国企业英伟达收购英国公司ARM，意味着华为不仅芯片不能生产，连 ​  展开全文c	2020年09月15日 23:46	33	183	416	https://weibo.com/2060112437/JkNsO04rT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkNsO04rT?uid=2060112437&rl=1
紫菜汤先生	1888278535	JkNnG7tJO	#苹果发布会#我还是觉得会有 iPhone 吧，以苹果的号召力，开多场发布会并不难，但是以苹果一向低调的风格来看，如果不是重磅产品不会这样操作（新 iPhone SE、新Mac、新 iPad Pro都是直接在官网上架的）。而且，9月正是苹果往年发布新 iPhone 的时间节点，这个时候召开发布会，必然是年度重磅产品。 ​  展开全文c	2020年09月15日 23:33		1		https://weibo.com/1888278535/JkNnG7tJO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkNnG7tJO?uid=1888278535&rl=1
动力明月-明月玩数码	1184072620	JkNatAt69	今晚，大概率苹果会让大家失望，据外媒最新消息称，发布会上，新款iPad将成主角。再有几个小时苹果2020年秋季新品发布会就要开始了，种种迹象表面，我们期待的iPhone 12将不会在今晚出现。而发布会的主要是iPad Air 4和平价的iPad 8。另外，Apple Watch也会在本次发布会上更新。因iPhone 12要到10月 ​  展开全文c	2020年09月15日 23:00		评论		https://weibo.com/1184072620/JkNatAt69?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkNatAt69?uid=1184072620&rl=1
O粉-大版主	7059173376	JkN923xAc	#苹果发布会#注定不平凡的一天，华为芯片断供，苹果就开发布会   目前发布会直播全网取消。准确一点，是国内媒体/视频平台/第三方个人自媒体关于苹果发布会的视频直播被要求取消。如果你愿意看官方信号，没问题。总之2020年9月15号是个特殊的日子，希望华为从此更加强大，有用不完的cpu，有用不完 ​  展开全文c	2020年09月15日 22:57		1		https://weibo.com/7059173376/JkN923xAc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkN923xAc?uid=7059173376&rl=1
殷锋海	1564243777	JkMCesNN8	距离2020苹果发布会只有不到几个小时的时间，苹果公司CEO库克也在微博上为这场发布会打气预热。鉴于目前很多媒体都报道此次发布会iPhone 12或将缺席，没想到库克这条微博却引来很多网友的灵魂拷问：到底有没有iPhone 12？就在刚才，苹果CEO蒂姆·库克发微博预告：“晚上好！还有 6 小时！#苹果发布会# G ​  展开全文c	2020年09月15日 21:36	3	3	29	https://weibo.com/1564243777/JkMCesNN8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkMCesNN8?uid=1564243777&rl=1
林子俞	1936836865	JkMoRy8Yk	中金公司最新研报中称，AirPods、Apple watch、Airpower等AIoT品类也非常值得期待。1）AirPods：取消随机附赠耳机推动AirPods销量，并增加AirPods Studio头戴式降噪耳机产品线；2）AirPower：突破散热瓶颈后正式发布，全面推行无线化，预计2020/21年AirPower出货量有望达到900/5，000万部；3）Ap ​  展开全文c	2020年09月15日 21:03			1	https://weibo.com/1936836865/JkMoRy8Yk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkMoRy8Yk?uid=1936836865&rl=1
快科技官方	1659643027	JkLU8dcn1	【库克微博预热苹果发布会 网友集体追问：有iPhone 12吗？】刚刚，苹果CEO蒂姆·库克发微博预告：“晚上好！还有 6 小时！#苹果发布会# Good evening! T-minus 6 hours! ​​​​”和预想的一样，网友集体在微博下方追问：今晚到底有没有iPhone 12？另有爆料称，今晚的苹果发布会主要硬件包括：iPad Air ​  展开全文c	2020年09月15日 19:47	1	2	9	https://weibo.com/1659643027/JkLU8dcn1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkLU8dcn1?uid=1659643027&rl=1
机智猫	1863275165	JkL6qBmiC	升级了AirPods Pro的空间音频功能，测了腾讯视频HDR片源打开之后声音有明显的临场感，有点类似于电影院中的音响效果，沉浸感确实更强；至于有的博主说，转动头的时候，声音能够感觉还是从手机方向传过来的。这一点，似乎不太明显（可能是我耳朵有问题，稍后再试试）总之，效果还是很明显。苹果牛 ​  展开全文c	2020年09月15日 17:45	2	14	9	https://weibo.com/1863275165/JkL6qBmiC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JkL6qBmiC?uid=1863275165&rl=1
