原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
澎湃新闻	:#老人被狗绳绊倒摔地后身亡# 【警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外】8月18日，广东佛山。针对老人被狗绳绊倒身亡一事，警方通报，12岁的罗某把另一村民拴养在家门口的狗牵出来玩，狗挣脱绳子将老人绊倒，属意外事件。目前事件正善后。（素材来源 网络）#警方初步判断老人被狗绳绊倒身亡为意外# 警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外 澎湃新闻的微博视频	2020-08-18 21:06:17    	乐翻天天啦	5530595939	乐翻天天啦:转发微博	赞[0]	2020-08-18 21:08:24	来自iPhone客户端
澎湃新闻	:#老人被狗绳绊倒摔地后身亡# 【警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外】8月18日，广东佛山。针对老人被狗绳绊倒身亡一事，警方通报，12岁的罗某把另一村民拴养在家门口的狗牵出来玩，狗挣脱绳子将老人绊倒，属意外事件。目前事件正善后。（素材来源 网络）#警方初步判断老人被狗绳绊倒身亡为意外# 警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外 澎湃新闻的微博视频	2020-08-18 21:06:17    	不能慷慨把爱献给不爱的人	1840778304	不能慷慨把爱献给不爱的人:天啊 就这么没了	赞[0]	2020-08-18 21:08:01	来自iPhone客户端
澎湃新闻	:#老人被狗绳绊倒摔地后身亡# 【警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外】8月18日，广东佛山。针对老人被狗绳绊倒身亡一事，警方通报，12岁的罗某把另一村民拴养在家门口的狗牵出来玩，狗挣脱绳子将老人绊倒，属意外事件。目前事件正善后。（素材来源 网络）#警方初步判断老人被狗绳绊倒身亡为意外# 警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外 澎湃新闻的微博视频	2020-08-18 21:06:17    	cuzzzzzzzzzzzz	2684163220	cuzzzzzzzzzzzz:转发微博	赞[0]	2020-08-18 21:07:47	来自三星S20+ 5G
澎湃新闻	:#老人被狗绳绊倒摔地后身亡# 【警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外】8月18日，广东佛山。针对老人被狗绳绊倒身亡一事，警方通报，12岁的罗某把另一村民拴养在家门口的狗牵出来玩，狗挣脱绳子将老人绊倒，属意外事件。目前事件正善后。（素材来源 网络）#警方初步判断老人被狗绳绊倒身亡为意外# 警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外 澎湃新闻的微博视频	2020-08-18 21:06:17    	你吃大白菜and我吃五花肉	6774927455	你吃大白菜and我吃五花肉:哎	赞[0]	2020-08-18 21:07:29	来自iPhone客户端
澎湃新闻	:#老人被狗绳绊倒摔地后身亡# 【警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外】8月18日，广东佛山。针对老人被狗绳绊倒身亡一事，警方通报，12岁的罗某把另一村民拴养在家门口的狗牵出来玩，狗挣脱绳子将老人绊倒，属意外事件。目前事件正善后。（素材来源 网络）#警方初步判断老人被狗绳绊倒身亡为意外# 警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外 澎湃新闻的微博视频	2020-08-18 21:06:17    	大楚无双	7347278367	大楚无双:过程应该是家属找狗主赔，狗主找小女孩家长赔	赞[0]	2020-08-18 21:07:09	来自小米MIX2S 全面屏
澎湃新闻	:#老人被狗绳绊倒摔地后身亡# 【警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外】8月18日，广东佛山。针对老人被狗绳绊倒身亡一事，警方通报，12岁的罗某把另一村民拴养在家门口的狗牵出来玩，狗挣脱绳子将老人绊倒，属意外事件。目前事件正善后。（素材来源 网络）#警方初步判断老人被狗绳绊倒身亡为意外# 警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外 澎湃新闻的微博视频	2020-08-18 21:06:17    	绿树成精_651	5117835453	绿树成精_651:转发微博	赞[0]	2020-08-18 21:11:52	来自华为手机 畅享玩不停
澎湃新闻	:#老人被狗绳绊倒摔地后身亡# 【警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外】8月18日，广东佛山。针对老人被狗绳绊倒身亡一事，警方通报，12岁的罗某把另一村民拴养在家门口的狗牵出来玩，狗挣脱绳子将老人绊倒，属意外事件。目前事件正善后。（素材来源 网络）#警方初步判断老人被狗绳绊倒身亡为意外# 警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外 澎湃新闻的微博视频	2020-08-18 21:06:17    	林麓时眠	6868113511	林麓时眠:看视频才知无妄之灾	赞[0]	2020-08-18 21:11:36	来自綺麗の☁️Android
澎湃新闻	:#老人被狗绳绊倒摔地后身亡# 【警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外】8月18日，广东佛山。针对老人被狗绳绊倒身亡一事，警方通报，12岁的罗某把另一村民拴养在家门口的狗牵出来玩，狗挣脱绳子将老人绊倒，属意外事件。目前事件正善后。（素材来源 网络）#警方初步判断老人被狗绳绊倒身亡为意外# 警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外 澎湃新闻的微博视频	2020-08-18 21:06:17    	村瀬紗英	2060464743	村瀬紗英:转发微博	赞[0]	2020-08-18 21:11:26	来自微博 weibo.com
澎湃新闻	:#老人被狗绳绊倒摔地后身亡# 【警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外】8月18日，广东佛山。针对老人被狗绳绊倒身亡一事，警方通报，12岁的罗某把另一村民拴养在家门口的狗牵出来玩，狗挣脱绳子将老人绊倒，属意外事件。目前事件正善后。（素材来源 网络）#警方初步判断老人被狗绳绊倒身亡为意外# 警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外 澎湃新闻的微博视频	2020-08-18 21:06:17    	不是会员也能用	7485731208	不是会员也能用:转发微博	赞[0]	2020-08-18 21:11:20	来自Android客户端
澎湃新闻	:#老人被狗绳绊倒摔地后身亡# 【警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外】8月18日，广东佛山。针对老人被狗绳绊倒身亡一事，警方通报，12岁的罗某把另一村民拴养在家门口的狗牵出来玩，狗挣脱绳子将老人绊倒，属意外事件。目前事件正善后。（素材来源 网络）#警方初步判断老人被狗绳绊倒身亡为意外# 警方通报老人被狗绳绊倒身亡：女孩牵邻居狗外出发生意外 澎湃新闻的微博视频	2020-08-18 21:06:17    	一颗孤独药	pianozy	一颗孤独药:未成年人、精神病人、75岁以上老人乃我国三大霸，这回合是未成年人赢了	赞[0]	2020-08-18 21:09:25	来自iPhone客户端
