用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
种斌Marco	1887312183	JhAoVuVOw	#马云捐出6.1亿股蚂蚁股份做公益#有一个问题想请教一下课代表这种捐赠股票是按照发行价折合成资金捐赠还是就是只是用股票的收益做为公益的资金而股票本身不可以进行交易？马老师前半生通过自己的努力解决了社会就业问题，后半生是通过自己的财富承担起了一个企业家的社会责任！一个真正是值得尊重的人 ​  展开全文c	2020年08月25日 20:59			3	https://weibo.com/1887312183/JhAoVuVOw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhAoVuVOw?uid=1887312183&rl=1
李安_Li	3805322837	JhAoVdjRq	#马云捐出6.1亿股蚂蚁股份做公益#不愧是我喜欢的人 ​	2020年08月25日 20:59			2	https://weibo.com/3805322837/JhAoVdjRq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhAoVdjRq?uid=3805322837&rl=1
徐jenny	2366045897	JhAoTqOjd	#马云捐出6.1亿股蚂蚁股份做公益#投资不是买房买股票，最优选的投资是投资自己。但是很难做。 ​	2020年08月25日 20:59			2	https://weibo.com/2366045897/JhAoTqOjd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhAoTqOjd?uid=2366045897&rl=1
WEMONEY研究室	7198360608	JhAoSyJmU	#马云捐出6.1亿股蚂蚁股份做公益#突然想起了马云爸爸说过的话“我这个人不喜欢钱，我对钱没兴趣～” ​	2020年08月25日 20:59			6	https://weibo.com/7198360608/JhAoSyJmU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhAoSyJmU?uid=7198360608&rl=1
品牌维度	1072967555	JhAoS3TRZ	【#马云捐出6.1亿股蚂蚁股份做公益#，持股比例不超过8.8%】#品牌维度# 8月25日，#蚂蚁集团披露招股文件#显示，马云个人持股比例不超过8.8%，并将从其个人所持蚂蚁股份中捐出6.1亿股用于公益，相当于捐出了蚂蚁（上市后）股份的2%。L老板联播的微博视频 ​	2020年08月25日 20:59			1	https://weibo.com/1072967555/JhAoS3TRZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhAoS3TRZ?uid=1072967555&rl=1
卿卿的秦师兄	7371345114	JhAoNwcIB	#马云捐出6.1亿股蚂蚁股份做公益#哦🙄 ​	2020年08月25日 20:59		评论		https://weibo.com/7371345114/JhAoNwcIB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhAoNwcIB?uid=7371345114&rl=1
-iKARRY-	5669366403	JhAoMpMyY	#马云捐出6.1亿股蚂蚁股份做公益#下个月花呗可以不还吗 ​	2020年08月25日 20:59			1	https://weibo.com/5669366403/JhAoMpMyY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhAoMpMyY?uid=5669366403&rl=1
乔建祥-恩特品牌策划	3705106645	JhAoH7TSJ	#马云捐出6.1亿股蚂蚁股份做公益#抱的儿子当的兵，这样掩天下悠悠之口，应该没有什么作用，这是载入世界互联网发展史册的事情。规矩还是要有，否则哪来的方圆。 ​	2020年08月25日 20:59			2	https://weibo.com/3705106645/JhAoH7TSJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhAoH7TSJ?uid=3705106645&rl=1
不靠谱的悟空妈	6253488970	JhAoEpVT2	#马云捐出6.1亿股蚂蚁股份做公益#退休的马爸爸这是在实现个人价值，好事儿，希望公益是落在实处，不搞虚的！ ​	2020年08月25日 20:59			1	https://weibo.com/6253488970/JhAoEpVT2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhAoEpVT2?uid=6253488970&rl=1
环翠发布	3886230775	JhAoCjFhX	【蚂蚁招股文件里有彩蛋，#马云捐出6.1亿股蚂蚁股份做公益#】今天，蚂蚁集团分别向上交所科创板和香港联交所递交上市申请，迈出A+H上市关键一步。不少人发现招股文件中马云埋下一个彩蛋：承诺捐出其个人持有的6.1亿股蚂蚁股份用于公益。同一时间，其本人还在云南保护大象。L新浪财经的微博视频 ​  ​  展开全文c	2020年08月25日 20:59	3	评论		https://weibo.com/3886230775/JhAoCjFhX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhAoCjFhX?uid=3886230775&rl=1
我是刘雨昕的雨伞	5971524475	JhAolbrjj	#马云捐出6.1亿股蚂蚁股份做公益#马爸爸，活该你有钱 ​	2020年08月25日 20:58		评论		https://weibo.com/5971524475/JhAolbrjj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JhAolbrjj?uid=5971524475&rl=1
