原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
大唐杂货铺	:其实比起迟驻，凌雪阁这几个刀里我个人最喜欢的人物应该是岩鬼，他在所有人眼里都不是主角，他的描写并没有很多，但是又很真实。他没有那么多的背景，他只是一个普通的凌雪阁成员，在他的心里凌雪阁的任务等同于生命，他也没有太多的意愿去表达自己的想法或情绪，但他唯独有那么一个找了多年的姐姐，他也不敢去看她，怕自己会给她带来祸患，结果他还是没有躲过这个劫，为了救姐姐违背了组织，丢了药，姐姐得救，他认罚，但他又一次违背命令跑了，回来的时候双臂已断，奄奄一息，嘴里却叼着任务的解药。总结大概就是，岩鬼这个人，真的很凌雪阁。#剑网3[超话]# #剑网3十一周年#	2020-08-28 15:37:18    	烦死你算了	5334167903	烦死你算了:这种有使命感的角色真的很戳心	赞[9]	2020-08-28 15:41:29	来自微博 weibo.com
大唐杂货铺	:其实比起迟驻，凌雪阁这几个刀里我个人最喜欢的人物应该是岩鬼，他在所有人眼里都不是主角，他的描写并没有很多，但是又很真实。他没有那么多的背景，他只是一个普通的凌雪阁成员，在他的心里凌雪阁的任务等同于生命，他也没有太多的意愿去表达自己的想法或情绪，但他唯独有那么一个找了多年的姐姐，他也不敢去看她，怕自己会给她带来祸患，结果他还是没有躲过这个劫，为了救姐姐违背了组织，丢了药，姐姐得救，他认罚，但他又一次违背命令跑了，回来的时候双臂已断，奄奄一息，嘴里却叼着任务的解药。总结大概就是，岩鬼这个人，真的很凌雪阁。#剑网3[超话]# #剑网3十一周年#	2020-08-28 15:37:18    	痞子鸡丁	hanhuxxo	痞子鸡丁:转发微博	赞[0]	2020-08-28 15:38:08	来自新版微博 weibo.com
大唐杂货铺	:其实比起迟驻，凌雪阁这几个刀里我个人最喜欢的人物应该是岩鬼，他在所有人眼里都不是主角，他的描写并没有很多，但是又很真实。他没有那么多的背景，他只是一个普通的凌雪阁成员，在他的心里凌雪阁的任务等同于生命，他也没有太多的意愿去表达自己的想法或情绪，但他唯独有那么一个找了多年的姐姐，他也不敢去看她，怕自己会给她带来祸患，结果他还是没有躲过这个劫，为了救姐姐违背了组织，丢了药，姐姐得救，他认罚，但他又一次违背命令跑了，回来的时候双臂已断，奄奄一息，嘴里却叼着任务的解药。总结大概就是，岩鬼这个人，真的很凌雪阁。#剑网3[超话]# #剑网3十一周年#	2020-08-28 15:37:18    	遥光光_干啥啥不行	2253165200	遥光光_干啥啥不行:在这之后我去辉天堑打本，一进去就看到岩鬼和杀人蜂站在门口，我愣了一下，后知后觉的难过涌了上来，唉	赞[1]	2020-08-28 15:50:29	来自HUAWEI Mate 20
大唐杂货铺	:其实比起迟驻，凌雪阁这几个刀里我个人最喜欢的人物应该是岩鬼，他在所有人眼里都不是主角，他的描写并没有很多，但是又很真实。他没有那么多的背景，他只是一个普通的凌雪阁成员，在他的心里凌雪阁的任务等同于生命，他也没有太多的意愿去表达自己的想法或情绪，但他唯独有那么一个找了多年的姐姐，他也不敢去看她，怕自己会给她带来祸患，结果他还是没有躲过这个劫，为了救姐姐违背了组织，丢了药，姐姐得救，他认罚，但他又一次违背命令跑了，回来的时候双臂已断，奄奄一息，嘴里却叼着任务的解药。总结大概就是，岩鬼这个人，真的很凌雪阁。#剑网3[超话]# #剑网3十一周年#	2020-08-28 15:37:18    	楚观朝云__	6578020656	楚观朝云__:转发微博	赞[0]	2020-08-28 15:49:24	来自OPPO超视野全面屏R15
大唐杂货铺	:其实比起迟驻，凌雪阁这几个刀里我个人最喜欢的人物应该是岩鬼，他在所有人眼里都不是主角，他的描写并没有很多，但是又很真实。他没有那么多的背景，他只是一个普通的凌雪阁成员，在他的心里凌雪阁的任务等同于生命，他也没有太多的意愿去表达自己的想法或情绪，但他唯独有那么一个找了多年的姐姐，他也不敢去看她，怕自己会给她带来祸患，结果他还是没有躲过这个劫，为了救姐姐违背了组织，丢了药，姐姐得救，他认罚，但他又一次违背命令跑了，回来的时候双臂已断，奄奄一息，嘴里却叼着任务的解药。总结大概就是，岩鬼这个人，真的很凌雪阁。#剑网3[超话]# #剑网3十一周年#	2020-08-28 15:37:18    	长安催我归	2469200734	长安催我归:凌雪阁都是刀	赞[0]	2020-08-28 15:48:50	来自微博国际版
大唐杂货铺	:其实比起迟驻，凌雪阁这几个刀里我个人最喜欢的人物应该是岩鬼，他在所有人眼里都不是主角，他的描写并没有很多，但是又很真实。他没有那么多的背景，他只是一个普通的凌雪阁成员，在他的心里凌雪阁的任务等同于生命，他也没有太多的意愿去表达自己的想法或情绪，但他唯独有那么一个找了多年的姐姐，他也不敢去看她，怕自己会给她带来祸患，结果他还是没有躲过这个劫，为了救姐姐违背了组织，丢了药，姐姐得救，他认罚，但他又一次违背命令跑了，回来的时候双臂已断，奄奄一息，嘴里却叼着任务的解药。总结大概就是，岩鬼这个人，真的很凌雪阁。#剑网3[超话]# #剑网3十一周年#	2020-08-28 15:37:18    	录60321	5093805272	录60321:不是主角但很凌雪阁了，长安城城墙下班倒在地上嘴里叼着解药	赞[0]	2020-08-28 15:47:22	来自微博国际版
大唐杂货铺	:其实比起迟驻，凌雪阁这几个刀里我个人最喜欢的人物应该是岩鬼，他在所有人眼里都不是主角，他的描写并没有很多，但是又很真实。他没有那么多的背景，他只是一个普通的凌雪阁成员，在他的心里凌雪阁的任务等同于生命，他也没有太多的意愿去表达自己的想法或情绪，但他唯独有那么一个找了多年的姐姐，他也不敢去看她，怕自己会给她带来祸患，结果他还是没有躲过这个劫，为了救姐姐违背了组织，丢了药，姐姐得救，他认罚，但他又一次违背命令跑了，回来的时候双臂已断，奄奄一息，嘴里却叼着任务的解药。总结大概就是，岩鬼这个人，真的很凌雪阁。#剑网3[超话]# #剑网3十一周年#	2020-08-28 15:37:18    	江清共浮白	5197886968	江清共浮白:他真的好惨555	赞[0]	2020-08-28 15:45:45	来自iPhone客户端
大唐杂货铺	:其实比起迟驻，凌雪阁这几个刀里我个人最喜欢的人物应该是岩鬼，他在所有人眼里都不是主角，他的描写并没有很多，但是又很真实。他没有那么多的背景，他只是一个普通的凌雪阁成员，在他的心里凌雪阁的任务等同于生命，他也没有太多的意愿去表达自己的想法或情绪，但他唯独有那么一个找了多年的姐姐，他也不敢去看她，怕自己会给她带来祸患，结果他还是没有躲过这个劫，为了救姐姐违背了组织，丢了药，姐姐得救，他认罚，但他又一次违背命令跑了，回来的时候双臂已断，奄奄一息，嘴里却叼着任务的解药。总结大概就是，岩鬼这个人，真的很凌雪阁。#剑网3[超话]# #剑网3十一周年#	2020-08-28 15:37:18    	引羽翎	miaorulai	引羽翎:我也喜欢这个角色	赞[0]	2020-08-28 16:26:01	来自微博国际版
大唐杂货铺	:其实比起迟驻，凌雪阁这几个刀里我个人最喜欢的人物应该是岩鬼，他在所有人眼里都不是主角，他的描写并没有很多，但是又很真实。他没有那么多的背景，他只是一个普通的凌雪阁成员，在他的心里凌雪阁的任务等同于生命，他也没有太多的意愿去表达自己的想法或情绪，但他唯独有那么一个找了多年的姐姐，他也不敢去看她，怕自己会给她带来祸患，结果他还是没有躲过这个劫，为了救姐姐违背了组织，丢了药，姐姐得救，他认罚，但他又一次违背命令跑了，回来的时候双臂已断，奄奄一息，嘴里却叼着任务的解药。总结大概就是，岩鬼这个人，真的很凌雪阁。#剑网3[超话]# #剑网3十一周年#	2020-08-28 15:37:18    	CCCCCythia	5882071391	CCCCCythia://@岁殊殊: http://t.cn/A64wcFLp	赞[0]	2020-08-28 16:23:10	来自小米8青春版 潮流旗舰
大唐杂货铺	:其实比起迟驻，凌雪阁这几个刀里我个人最喜欢的人物应该是岩鬼，他在所有人眼里都不是主角，他的描写并没有很多，但是又很真实。他没有那么多的背景，他只是一个普通的凌雪阁成员，在他的心里凌雪阁的任务等同于生命，他也没有太多的意愿去表达自己的想法或情绪，但他唯独有那么一个找了多年的姐姐，他也不敢去看她，怕自己会给她带来祸患，结果他还是没有躲过这个劫，为了救姐姐违背了组织，丢了药，姐姐得救，他认罚，但他又一次违背命令跑了，回来的时候双臂已断，奄奄一息，嘴里却叼着任务的解药。总结大概就是，岩鬼这个人，真的很凌雪阁。#剑网3[超话]# #剑网3十一周年#	2020-08-28 15:37:18    	四季珍波椰要七分糖	3538178124	四季珍波椰要七分糖:转发微博	赞[0]	2020-08-28 16:22:37	来自HUAWEI P20
