原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
每日经济新闻	:#南开录取通知书送两粒莲花种子#，你的录取通知书有附赠物件吗？（TY） 你的录取通知书有附赠物件吗？ 	2020-07-26 16:48:51    	简薏Life朗	6473810098	简薏Life朗:中文英文书法比赛一等奖送笔记本子。//@可人家蹄祖:小学期中期末考试满分100各科送两捆铅笔还有每年一本笔记本，还有一个棋盘！我参与了@每日经济新闻 发起的投票【你的录取通知书有附赠物件吗？】，我投给了“其他，在评论区说”这个选项，你也快来表态	赞[0]	2020-07-26 16:58:42	来自vivo智能手机客户端
每日经济新闻	:#南开录取通知书送两粒莲花种子#，你的录取通知书有附赠物件吗？（TY） 你的录取通知书有附赠物件吗？ 	2020-07-26 16:48:51    	简薏Life朗	6473810098	简薏Life朗:初中英语周报填写周报的建议。提交后，送了一本笔记本子，赋有签写字体！//@可人家蹄祖:小学期中期末考试满分100各科送两捆铅笔还有每年一本笔记本，还有一个棋盘！我参与了@每日经济新闻 发起的投票【你的录取通知书有附赠物件吗？】，我投给了“其他，在评论区说”这个选项，你也快来表态	赞[0]	2020-07-26 16:56:44	来自vivo智能手机客户端
每日经济新闻	:#南开录取通知书送两粒莲花种子#，你的录取通知书有附赠物件吗？（TY） 你的录取通知书有附赠物件吗？ 	2020-07-26 16:48:51    	我是人民的好阿渔	2166790433	我是人民的好阿渔:电话卡算吗？	赞[0]	2020-07-26 16:55:22	来自vivo Z5x性能实力派
每日经济新闻	:#南开录取通知书送两粒莲花种子#，你的录取通知书有附赠物件吗？（TY） 你的录取通知书有附赠物件吗？ 	2020-07-26 16:48:51    	简薏Life朗	6473810098	简薏Life朗:小学期中期末考试满分100各科送两捆铅笔还有每年一本笔记本，还有一个棋盘！我参与了@每日经济新闻 发起的投票【你的录取通知书有附赠物件吗？】，我投给了“其他，在评论区说”这个选项，你也快来表态	赞[0]	2020-07-26 16:53:23	来自vivo智能手机客户端
每日经济新闻	:#南开录取通知书送两粒莲花种子#，你的录取通知书有附赠物件吗？（TY） 你的录取通知书有附赠物件吗？ 	2020-07-26 16:48:51    	川川的澄宝贝吖	7039808235	川川的澄宝贝吖:转发微博	赞[0]	2020-07-26 17:15:46	来自OPPO Reno3 Pro 5G
每日经济新闻	:#南开录取通知书送两粒莲花种子#，你的录取通知书有附赠物件吗？（TY） 你的录取通知书有附赠物件吗？ 	2020-07-26 16:48:51    	荷崖轻轻ss	5190206124	荷崖轻轻ss:#南开录取通知书送两粒莲花种子# 银行卡算吗	赞[0]	2020-07-26 17:07:20	来自Android
每日经济新闻	:#南开录取通知书送两粒莲花种子#，你的录取通知书有附赠物件吗？（TY） 你的录取通知书有附赠物件吗？ 	2020-07-26 16:48:51    	朝圣伯纳乌之路	rmadridhito	朝圣伯纳乌之路:送了张电话卡	赞[0]	2020-07-26 17:06:48	来自HUAWEI Mate 30 Pro
每日经济新闻	:#南开录取通知书送两粒莲花种子#，你的录取通知书有附赠物件吗？（TY） 你的录取通知书有附赠物件吗？ 	2020-07-26 16:48:51    	Miss_猫小姐	2386564675	Miss_猫小姐:一张银行卡，大约是为了方便我交学费	赞[0]	2020-07-26 17:03:34	来自iPhone客户端
每日经济新闻	:#南开录取通知书送两粒莲花种子#，你的录取通知书有附赠物件吗？（TY） 你的录取通知书有附赠物件吗？ 	2020-07-26 16:48:51    	Z张尊旭	6888288782	Z张尊旭:@临沂大学 手绘地图算吗	赞[1]	2020-07-26 17:03:18	来自OnePlus 7
每日经济新闻	:#南开录取通知书送两粒莲花种子#，你的录取通知书有附赠物件吗？（TY） 你的录取通知书有附赠物件吗？ 	2020-07-26 16:48:51    	简薏Life朗	6473810098	简薏Life朗:我学校好。初中英语周报填写周报的建议。提交后，送了一本笔记本子，赋有签写字体！//@可人家蹄祖:小学期中期末考试满分100各科送两捆铅笔还有每年一本笔记本，还有一个棋盘！我参与了@每日经济新闻 发起的投票【你的录取通知书有附赠物件吗？】，我投给了“其他，在评论区说”这个选项，你也快来表态	赞[0]	2020-07-26 17:02:48	来自vivo智能手机客户端
