用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
财经新媒体	2660807713	Jiax9xwQH	【#可口可乐将在北美裁员4000人#，全球遣散费超3.5亿美元】8月28日，据外媒报道，因疫情导致饮料销售下滑，可口可乐公司决定裁员数千人，并减少相关业务部门数量。本周五，该公司公告称，裁员将采取自愿和非自愿相结合的形式。首先，公司会向美国、加拿大和波多黎各的4000名员工提供买断方案，然后在其 ​  展开全文c	2020年08月29日 16:59			1	https://weibo.com/2660807713/Jiax9xwQH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jiax9xwQH?uid=2660807713&rl=1
夏日清晨阳光	2096539894	Jiax8zRRo	#可口可乐将在北美裁员4000人#可能是普遍的经济不景气大家的消费欲都下降了吧很多公司都在裁员当然医疗药物公司除外赵粤还是很爱喝可乐@硬糖少女303-赵粤 ​	2020年08月29日 16:59		1		https://weibo.com/2096539894/Jiax8zRRo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jiax8zRRo?uid=2096539894&rl=1
盈盈一握老公腰	6550779033	Jiax5CzZ4	#可口可乐将在北美裁员4000人#知道疫情对各行各业影响都很大但没想到连可口可乐都受到这么大影响了毕竟是我和曾可妮@曾可妮Jenny-Z 都喜欢喝的可乐品牌还是要关注一下子滴 ​	2020年08月29日 16:58			7	https://weibo.com/6550779033/Jiax5CzZ4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jiax5CzZ4?uid=6550779033&rl=1
HENRYHUNTER007	7382068656	Jiax5qs6U	#可口可乐将在北美裁员4000人#They stoke the flames.The entire city is burning down! LHENRYHUNTER007的微博视频 ​	2020年08月29日 16:58		评论		https://weibo.com/7382068656/Jiax5qs6U?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jiax5qs6U?uid=7382068656&rl=1
烟台高速交警支队栖霞大队	5917682202	Jiax1dTAc	#可口可乐将在北美裁员4000人# 可口可乐可以不喝，但电动车不能不骑！山东省电动车限时挂牌还有两天就截止了！！！蜀黍怎么还没见到你？ ​	2020年08月29日 16:58		3	3	https://weibo.com/5917682202/Jiax1dTAc?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jiax1dTAc?uid=5917682202&rl=1
日鲤万机	2334479323	JiawT20UO	#可口可乐将在北美裁员4000人#本周五，可口可乐公司发布公告称，裁员将采取自愿和非自愿相结合的形式。 L日鲤万机的微博视频 ​	2020年08月29日 16:58	6	1	9	https://weibo.com/2334479323/JiawT20UO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiawT20UO?uid=2334479323&rl=1
哥哥吃口烧唧吗	2216974784	JiawN7mCC	#可口可乐将在北美裁员4000人#疫情真的影响方方面面整个大环境都受到影响真不容易啊前阵子家旁边的火锅店也关门了真是都不容易唉这阵子不是裁员就是关门经济快点复苏吧曾可妮也要好好工作啊@曾可妮Jenny-Z ​	2020年08月29日 16:58		1	7	https://weibo.com/2216974784/JiawN7mCC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiawN7mCC?uid=2216974784&rl=1
KMifftty	6596370156	JiawM9KtE	#可口可乐将在北美裁员4000人#遣散费还挺多的，好惨 ​	2020年08月29日 16:58		评论		https://weibo.com/6596370156/JiawM9KtE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiawM9KtE?uid=6596370156&rl=1
你咋还不去学习	3131943525	JiawLjNBa	#可口可乐将在北美裁员4000人#看到这条新闻我第一反应是太难了失去工作对成年人来说真的可以算是一个巨大打击了……房租水电生活费，各种都要花钱搵食艰难，新工作又不一定好找即使有遣散费也不是长久之计害想想都觉得头大今年疫情，最好的祝福就是健康！工作顺利！希望我老公曾可妮 ​  展开全文c	2020年08月29日 16:58			7	https://weibo.com/3131943525/JiawLjNBa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiawLjNBa?uid=3131943525&rl=1
蔓严带香定律	6971997541	JiawGip5Z	#可口可乐将在北美裁员4000人#疫情影响真的太大了 最近的rs不是企业退市就是企业裁员 经济影响力太大了 快点结束吧🙏🙏 ​	2020年08月29日 16:57		评论		https://weibo.com/6971997541/JiawGip5Z?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiawGip5Z?uid=6971997541&rl=1
