原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	晚安北京1111	1003086670	晚安北京1111:很潮的奶奶，孝顺的孙子，时髦的青岛啤酒，帅气的华晨宇#华晨宇青岛啤酒品牌代言人#	赞[1]	2020-07-27 17:50:11	来自iPhone 7 Plus
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	KKSS0225	6033412729	KKSS0225:转发微博	赞[0]	2020-07-27 17:48:42	来自iPhone X
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	憬绒yu	7324257745	憬绒yu:哈哈哈哈哈哈哈哈哈	赞[0]	2020-07-27 17:55:08	来自iQOO Neo
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	相思浓4308Z	6826539346	相思浓4308Z:	赞[0]	2020-07-27 18:10:41	来自iPhone客户端
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	华晨宇的小迷妹儿呀yu	3811031561	华晨宇的小迷妹儿呀yu:哈哈哈	赞[0]	2020-07-27 18:15:14	来自
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	闪问梅灬疲惫	6858785678	闪问梅灬疲惫:	赞[0]	2020-07-27 18:14:45	来自iPhone客户端
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	国王花花花	6269973965	国王花花花:缘分是很奇妙的东西	赞[0]	2020-07-27 18:26:29	来自vivo X27 4800万三摄
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	买阳朔丨秀美	6860361470	买阳朔丨秀美:相濡以沫，余度此生	赞[0]	2020-07-27 18:37:49	来自iPhone客户端
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	头顶有只哥斯拉	6205416557	头顶有只哥斯拉:#华晨宇青岛啤酒品牌代言人# 	赞[0]	2020-07-27 18:34:32	来自iPhone客户端
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	贵yu宝贝呢	6287232709	贵yu宝贝呢:奶奶和孙子一起追华晨宇成功出圈✨✨#华晨宇歌王#	赞[0]	2020-07-27 19:29:07	来自HUAWEI Mate 20
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	爱新世界yu小疯子	7342299027	爱新世界yu小疯子:#华晨宇青岛啤酒品牌代言人#	赞[0]	2020-07-27 19:23:15	来自
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	ajnhcy	6007608762	ajnhcy:转发微博	赞[0]	2020-07-27 20:01:15	来自iPhone客户端
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	小华带着小张进入新世界yu	6962962774	小华带着小张进入新世界yu:转发微博	赞[0]	2020-07-27 20:00:13	来自vivo智能手机
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	花爷对你biubiubiu	6607703182	花爷对你biubiubiu:转发微博	赞[0]	2020-07-27 19:57:26	来自iPhone客户端
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	街雨巷云	6775094416	街雨巷云:转发微博	赞[0]	2020-07-27 19:54:16	来自Android客户端
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	花花花棒yu	2371317607	花花花棒yu:爱你	赞[0]	2020-07-27 19:35:49	来自三星A9 Star 纯粹美拍
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	昵称是爱你的	2164516073	昵称是爱你的:潮的奶奶，孝顺的孙子，时髦的青岛啤酒，帅气的华晨宇	赞[0]	2020-07-27 19:33:00	来自iPhone 6s Plus
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	阳未然v	6124167068	阳未然v:转发微博	赞[0]	2020-07-27 20:23:42	来自OPPO智能手机
圈内偶像	:#孙子跪地给七旬奶奶拍写真# 论闭关的华晨宇是如何登上新闻的！奶奶爱喝青岛啤酒，孙子的idol华晨宇代言了青岛啤酒，这奇妙的缘分！ 圈内偶像的微博视频 	2020-07-27 17:36:41    	原来我们都是幸运的	2839409347	原来我们都是幸运的:太酷了 #青岛啤酒代言人华晨宇# #华晨宇[超话]#	赞[0]	2020-07-27 20:19:21	来自iPhone客户端
