原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
吃瓜姐妹	:#张艺兴 嘲笑我可以不要嘲笑努力# 张艺兴参加采访，他坦言“你可以嘲笑我，但是不要去嘲笑努力”，张艺兴说的很好啊，这些年来，他一直都在努力让自己变得更好，棒棒哒  吃瓜姐妹的微博视频 	2020-09-03 15:31:04    	曼珊最可爱	7373266786	曼珊最可爱:转发微博	赞[0]	2020-09-03 15:32:34	来自HUAWEI P20
吃瓜姐妹	:#张艺兴 嘲笑我可以不要嘲笑努力# 张艺兴参加采访，他坦言“你可以嘲笑我，但是不要去嘲笑努力”，张艺兴说的很好啊，这些年来，他一直都在努力让自己变得更好，棒棒哒  吃瓜姐妹的微博视频 	2020-09-03 15:31:04    	寻你倾城	5871359240	寻你倾城:做自己就行	赞[0]	2020-09-03 15:32:53	来自nova5Pro人像超级夜景
吃瓜姐妹	:#张艺兴 嘲笑我可以不要嘲笑努力# 张艺兴参加采访，他坦言“你可以嘲笑我，但是不要去嘲笑努力”，张艺兴说的很好啊，这些年来，他一直都在努力让自己变得更好，棒棒哒  吃瓜姐妹的微博视频 	2020-09-03 15:31:04    	安妮渣渣辉	6459683988	安妮渣渣辉:可以的哦	赞[0]	2020-09-03 15:32:44	来自iPhone客户端
吃瓜姐妹	:#张艺兴 嘲笑我可以不要嘲笑努力# 张艺兴参加采访，他坦言“你可以嘲笑我，但是不要去嘲笑努力”，张艺兴说的很好啊，这些年来，他一直都在努力让自己变得更好，棒棒哒  吃瓜姐妹的微博视频 	2020-09-03 15:31:04    	a时间海	5146228212	a时间海:霸气外露	赞[0]	2020-09-03 15:32:38	来自OPPO A7x
吃瓜姐妹	:#张艺兴 嘲笑我可以不要嘲笑努力# 张艺兴参加采访，他坦言“你可以嘲笑我，但是不要去嘲笑努力”，张艺兴说的很好啊，这些年来，他一直都在努力让自己变得更好，棒棒哒  吃瓜姐妹的微博视频 	2020-09-03 15:31:04    	风一样的你516	7362095420	风一样的你516:说的有道理	赞[0]	2020-09-03 15:32:37	来自Android客户端
吃瓜姐妹	:#张艺兴 嘲笑我可以不要嘲笑努力# 张艺兴参加采访，他坦言“你可以嘲笑我，但是不要去嘲笑努力”，张艺兴说的很好啊，这些年来，他一直都在努力让自己变得更好，棒棒哒  吃瓜姐妹的微博视频 	2020-09-03 15:31:04    	这就尴尬了哈	5126867281	这就尴尬了哈:转发微博	赞[0]	2020-09-03 15:32:37	来自vivo AI智慧拍照X21
吃瓜姐妹	:#张艺兴 嘲笑我可以不要嘲笑努力# 张艺兴参加采访，他坦言“你可以嘲笑我，但是不要去嘲笑努力”，张艺兴说的很好啊，这些年来，他一直都在努力让自己变得更好，棒棒哒  吃瓜姐妹的微博视频 	2020-09-03 15:31:04    	百味佳佳	6854740735	百味佳佳:转发微博	赞[0]	2020-09-03 15:32:35	来自vivo X30专业影像
吃瓜姐妹	:#张艺兴 嘲笑我可以不要嘲笑努力# 张艺兴参加采访，他坦言“你可以嘲笑我，但是不要去嘲笑努力”，张艺兴说的很好啊，这些年来，他一直都在努力让自己变得更好，棒棒哒  吃瓜姐妹的微博视频 	2020-09-03 15:31:04    	风一样的你516	7362095420	风一样的你516:棒棒哒支持	赞[0]	2020-09-03 15:33:06	来自Android客户端
吃瓜姐妹	:#张艺兴 嘲笑我可以不要嘲笑努力# 张艺兴参加采访，他坦言“你可以嘲笑我，但是不要去嘲笑努力”，张艺兴说的很好啊，这些年来，他一直都在努力让自己变得更好，棒棒哒  吃瓜姐妹的微博视频 	2020-09-03 15:31:04    	小Boss26	6895662174	小Boss26:为棒棒的艺兴点赞	赞[0]	2020-09-03 15:32:59	来自HUAWEI nova 3i
吃瓜姐妹	:#张艺兴 嘲笑我可以不要嘲笑努力# 张艺兴参加采访，他坦言“你可以嘲笑我，但是不要去嘲笑努力”，张艺兴说的很好啊，这些年来，他一直都在努力让自己变得更好，棒棒哒  吃瓜姐妹的微博视频 	2020-09-03 15:31:04    	大猫暖洋洋	2946882373	大猫暖洋洋:张艺兴三观很正	赞[1]	2020-09-03 15:32:58	来自小米6X 拍人更美
