用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
扬州房地产观察	7282398906	JiVhDC3zI	【未办房产证！#成龙北京两套豪宅将被拍卖# 因开发商陷债务纠纷】瀚海法拍网显示，成龙位于北京二环路内东直门大街NAGA上院2号楼1001室、1002室的房产将于O9月28日上午10点开始拍卖  。房屋建筑面积为1217.5平方米，起拍价为7191万，拍卖网站标注的市场价为1.2亿，目前有6人预约看房。成龙的房产之所以被拍 ​  展开全文c	2020年09月03日 15:59		评论		https://weibo.com/7282398906/JiVhDC3zI?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVhDC3zI?uid=7282398906&rl=1
零度回温	5099572233	JiVhDpWej	#成龙北京两套豪宅将被拍卖#  买房子没办房产证果然有钱人不一样，像我们这种房产证都不止一个名字 ​	2020年09月03日 15:59		评论		https://weibo.com/5099572233/JiVhDpWej?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVhDpWej?uid=5099572233&rl=1
杜灵杰律师	5735067526	JiVhymlwh	#v光计划#  其实这就是普遍存在的买房风险，由于该房产尚在开发商的名下，开发商由于对外负债，所以法院当然可以依法拍卖该房产。有人认为，如果成龙先生已全额支付了购房款，只是没有办理过户手续，难道房子的产权就不属于成龙了吗？答案是当然不属于。因为对于不动产，其所有权的变更是以办理过 ​  展开全文c	2020年09月03日 15:59		评论		https://weibo.com/5735067526/JiVhymlwh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVhymlwh?uid=5735067526&rl=1
安于眠兮	3523604367	JiVhvnXh5	#成龙北京两套豪宅将被拍卖# 没接触过相关知识，所以不太懂，有一点疑问，没办房产证 那付过钱了吗？没付 那跟成龙有什么关系，如果付了钱，凭什么敢拿房子拍卖 ​	2020年09月03日 15:59			2	https://weibo.com/3523604367/JiVhvnXh5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVhvnXh5?uid=3523604367&rl=1
法制安徽新闻	3158981002	JiVhtnaNb	#成龙北京两套豪宅将被拍卖#【起拍价超7000万！北京二环内，成龙两套豪宅将被拍卖】开发商欠费被执行，买了十多年的豪宅要被法拍？近日，一则北京市第二中级人民法院裁判文书透露了巨星成龙两套豪宅即将被法拍的尴尬处境。这2套将于9月28日开始拍卖的豪宅，位于北京二环路内东直门大街NAGA上院2号楼100 ​  展开全文c	2020年09月03日 15:59		评论		https://weibo.com/3158981002/JiVhtnaNb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVhtnaNb?uid=3158981002&rl=1
贝莉亚特	6592509835	JiVhr1v3y	#成龙北京两套豪宅将被拍卖#力宏准备买套北京的房子嘛 ​	2020年09月03日 15:59		2		https://weibo.com/6592509835/JiVhr1v3y?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVhr1v3y?uid=6592509835&rl=1
周口张先胜案	7497380530	JiVhaaP0e	#河南省西华县批捕科科长 侯艳阳说:你们掏钱，我们放人#1. 身为检察官，巨额财产来源不明2. 参与营私，参与实际管理3. 公权私用，为了给自己牟利，利用其批捕科职位便利强行批捕我的父亲，使得无辜的民营企业家被关一年多！4. 喊话家属“你们掏钱我放人”5. 威胁证人- “你们知道现在怎么说对自己 ​  展开全文c	2020年09月03日 15:58			1	https://weibo.com/7497380530/JiVhaaP0e?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVhaaP0e?uid=7497380530&rl=1
欧伶猪法务咨询	7226754480	JiVh9c5LU	#成龙北京两套豪宅将被拍卖##成龙# 只能说成龙大哥心有些大了，难道是因为房产数量太多没注意到？提个醒：购买房产后最最最重要的就是过户、办不动产权证书！！这样产权才确确实实是你的，否则，只要本子上的“产权人”有啥动静，法院是直接按TA所属财产来处理的！之后真正的房子所有权人只 ​  展开全文c	2020年09月03日 15:58	1	1	3	https://weibo.com/7226754480/JiVh9c5LU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVh9c5LU?uid=7226754480&rl=1
夏天46881	3899418864	JiVh60tlZ	#带着微博去旅行##成龙北京两套豪宅将被拍卖# ​	2020年09月03日 15:58		评论		https://weibo.com/3899418864/JiVh60tlZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVh60tlZ?uid=3899418864&rl=1
娱乐八叫兽	1855816273	JiVgUtVtj	#成龙北京两套豪宅将被拍卖#成龙位于北京二环路内东直门大街NAGA上院2号楼1001室、1002室的房产将于9月28日上午10点开始拍卖 。房屋建筑面积为1217.5平方米，起拍价为7191万，拍卖网站标注的市场价为1.2亿，目前有6人预约看房。成龙的房产之所以被拍卖，是由于其购买后并未办理房产证，开发商御嘉置地 ​  展开全文c	2020年09月03日 15:58			55	https://weibo.com/1855816273/JiVgUtVtj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVgUtVtj?uid=1855816273&rl=1
红城骑兵	1602362023	JiVgRdTWT	#成龙北京两套豪宅将被拍卖#不差钱噻！#东哥时评# ​	2020年09月03日 15:58			1	https://weibo.com/1602362023/JiVgRdTWT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVgRdTWT?uid=1602362023&rl=1
安广禄	1218420265	JiVgQiuWu	#成龙北京两套豪宅将被拍卖#【快讯】起拍价超7000万！北京二环内，成龙两套豪宅将被拍卖。开发商欠费被执行，买了十多年的豪宅要被法拍？据查，由于该房产目前依然在开发商名下，而开发商御嘉置地有限公司（下称御嘉置地）涉及债务纠纷，“成龙的豪宅”也成为被处置的资产之一。O起拍价超7000万！北京二环内，成龙两套豪宅将被拍卖 ​	2020年09月03日 15:58		1	1	https://weibo.com/1218420265/JiVgQiuWu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVgQiuWu?uid=1218420265&rl=1
攀枝花西区	2295103800	JiVgF9faa	【#成龙北京两套豪宅将被拍卖#：起拍价超7000万，没办产证，开发商陷债务纠纷】瀚海法拍网显示，成龙位于北京二环路内东直门大街NAGA上院2号楼1001室、1002室的房产将于O9月28日上午10点开始拍卖  。房屋建筑面积为1217.5平方米，起拍价为7191万，拍卖网站标注的市场价为1.2亿，目前有6人预约看房。成龙的 ​  展开全文c	2020年09月03日 15:57			1	https://weibo.com/2295103800/JiVgF9faa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVgF9faa?uid=2295103800&rl=1
小马子的金燕锡	1480778793	JiVgxEdZa	#成龙北京两套豪宅将被拍卖#真荒诞，连3KW的房子都买不起的屌丝，还评论成龙投资失败？但凡利率比银行高的都算是成功的。 ​	2020年09月03日 15:57		2	2	https://weibo.com/1480778793/JiVgxEdZa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVgxEdZa?uid=1480778793&rl=1
两个南瓜饼一份粥	5896047163	JiVghaUSj	#成龙北京两套豪宅将被拍卖# 每天看微博都很无语😓…明明屁都不懂偏偏爱指手画脚 ​	2020年09月03日 15:56		评论		https://weibo.com/5896047163/JiVghaUSj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVghaUSj?uid=5896047163&rl=1
Yahoo徐吼吼	1771457854	JiVgfmfVk	#成龙北京两套豪宅将被拍卖#  买房子没办房产证果然有钱人不一样，像我们这种没有房产证的好可怜 ​	2020年09月03日 15:56			1	https://weibo.com/1771457854/JiVgfmfVk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVgfmfVk?uid=1771457854&rl=1
姆们说	2904113697	JiVgexpdw	#姆们说# 【#成龙北京两套豪宅将被拍卖#：起拍价超7000万，没办产证，开发商陷债务纠纷】瀚海法拍网显示，成龙位于北京二环路内东直门大街NAGA上院2号楼1001室、1002室的房产将于O9月28日上午10点开始拍卖  。房屋建筑面积为1217.5平方米，起拍价为7191万，拍卖网站标注的市场价为1.2亿，目前有6人预 ​  展开全文c	2020年09月03日 15:56	1	2	1	https://weibo.com/2904113697/JiVgexpdw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVgexpdw?uid=2904113697&rl=1
暴富小少爷	7452348360	JiVg7rVDP	#成龙北京两套豪宅将被拍卖# 有钱人就是不一样 ​	2020年09月03日 15:56		评论		https://weibo.com/7452348360/JiVg7rVDP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVg7rVDP?uid=7452348360&rl=1
吃瓜的猹背后的叉	6616925417	JiVfYhiwM	#成龙北京两套豪宅将被拍卖#那相当于成龙只有使用权吧？这房本来就不是成龙的，开发商只是给他住一住 ​	2020年09月03日 15:55		评论		https://weibo.com/6616925417/JiVfYhiwM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVfYhiwM?uid=6616925417&rl=1
我和2023有个约wh	5530476690	JiVfU824Z	#成龙北京两套豪宅将被拍卖#不懂就问，没有做网签备案吗？期房做了网签备案还能被拍卖吗？如果已经做了网签备案，如果没有交钥匙，房产证没下来办不了过户的话，那之前的首付款和已经交的按揭的钱，等拍卖以后是不是有优先受偿权呢？我记得经济法刚刚看过这一块，嗯，好像又忘了，我记得是不能对抗 ​  展开全文c	2020年09月03日 15:55		评论		https://weibo.com/5530476690/JiVfU824Z?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVfU824Z?uid=5530476690&rl=1
娱圈的大大	2533837991	JiVfQvNhC	#成龙北京两套豪宅将被拍卖#成龙在北京的豪宅被拍买。大体上有两个说法：一个是成龙的豪宅一直没有办理房产手续，还在开发商名下。开发商因为经济纠纷，法院执行正好查封开发商名下成龙的豪宅。二一个说法是成龙因为投资失败，急需资金周转，变卖房产。两个说法都是有问题的，第一个说法应该是有猫腻 ​  展开全文c	2020年09月03日 15:55		10	4	https://weibo.com/2533837991/JiVfQvNhC?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVfQvNhC?uid=2533837991&rl=1
jojo_久久	5364050851	JiVfDBbVD	#成龙北京两套豪宅将被拍卖# 没看懂 那这事跟成龙有啥关系吗 ​卖出去钱属于谁的啊 ​	2020年09月03日 15:55		19	4	https://weibo.com/5364050851/JiVfDBbVD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVfDBbVD?uid=5364050851&rl=1
成都校花榜	5888036327	JiVfu7QRt	#成龙北京两套豪宅将被拍卖# 这个不发表言论了，只看龙哥电影成都校花酱 你看过成龙哪部电影 ​	2020年09月03日 15:54		2	14	https://weibo.com/5888036327/JiVfu7QRt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVfu7QRt?uid=5888036327&rl=1
杰森斯坦森的女朋友	2818100930	JiVflfTHu	#成龙北京两套豪宅将被拍卖#没有看懂。。。这个东西是属于成龙了吗？ 2上海·张江 ​	2020年09月03日 15:54		评论		https://weibo.com/2818100930/JiVflfTHu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVflfTHu?uid=2818100930&rl=1
春风撞我满怀	5969826346	JiVfhn9yq	#成龙北京两套豪宅将被拍卖#没看懂。心中一万只羊驼飘过，容我喝一杯82年的金龙鱼压压惊 ​	2020年09月03日 15:54		评论		https://weibo.com/5969826346/JiVfhn9yq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVfhn9yq?uid=5969826346&rl=1
启包素纯阳	5259865642	JiVfgxdKm	明星赚钱太容易，动不动就是北京几套豪宅#成龙北京两套豪宅将被拍卖# ​	2020年09月03日 15:54		评论		https://weibo.com/5259865642/JiVfgxdKm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVfgxdKm?uid=5259865642&rl=1
你的小玉酱呀	7447477643	JiVfaCzwb	招募网拍模特儿 靠自己永远不会失望 增加一份副业=增加额外收入=减轻生活开支=让你过的更好 想赚钱 什么时候都不晚#成龙北京两套豪宅将被拍卖##日本细菌战部队二战唯一影像# 2深圳 ​	2020年09月03日 15:53			4	https://weibo.com/7447477643/JiVfaCzwb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVfaCzwb?uid=7447477643&rl=1
鼻之草鼻通精油-桃宝搜	5418243835	JiVf6aDpO	发布了头条文章：《开学篇 | 开学季过敏性鼻炎来犯，学生该如何应对？》 #成龙北京两套豪宅将被拍卖# #陈赫# #杭州上上谦# #黄正音申请离婚# O开学篇 | 开学季过敏性鼻炎来犯，学生该如何应对？ ​	2020年09月03日 15:53		评论		https://weibo.com/5418243835/JiVf6aDpO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVf6aDpO?uid=5418243835&rl=1
保定房天下	1958990717	JiVeW6JJO	#成龙北京两套豪宅将被拍卖##成龙北京两套豪宅将被拍卖#【起拍价超7000万！北京二环内，成龙两套豪宅将被拍卖】开发商欠费被执行，买了十多年的豪宅要被法拍？近日，一则北京市第二中级人民法院裁判文书透露了巨星成龙两套豪宅即将被法拍的尴尬处境。这2套将于9月28日开始拍卖的豪宅，位于北京二环路内 ​  展开全文c	2020年09月03日 15:53		评论		https://weibo.com/1958990717/JiVeW6JJO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVeW6JJO?uid=1958990717&rl=1
法联不良资产	7452456787	JiVeVwc3a	#成龙北京两套豪宅将被拍卖# 查封内幕可前往订阅号法联不良房产了解。 ​	2020年09月03日 15:53			1	https://weibo.com/7452456787/JiVeVwc3a?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVeVwc3a?uid=7452456787&rl=1
娱圈儿彩虹pi	6042105197	JiVeVfHlO	#成龙北京两套豪宅将被拍卖#成龙认为才华比相貌更重要！大哥对“外貌协会”提出了质疑，自称无论是漂亮女孩还是俊男，自己都会看上两眼？成龙大哥想起第一次见王力宏时的场景，夸赞他很有才华~ L一周综艺集锦的微博视频 ​	2020年09月03日 15:53		评论		https://weibo.com/6042105197/JiVeVfHlO?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVeVfHlO?uid=6042105197&rl=1
凤凰周刊	1267454277	JiVeLslsp	#成龙北京两套豪宅将被拍卖#【起拍价超7000万！北京二环内，成龙两套豪宅将被拍卖】开发商欠费被执行，买了十多年的豪宅要被法拍？近日，一则北京市第二中级人民法院裁判文书透露了巨星成龙两套豪宅即将被法拍的尴尬处境。这2套将于9月28日开始拍卖的豪宅，位于北京二环路内东直门大街NAGA上院2号楼100 ​  展开全文c	2020年09月03日 15:52	15	46	92	https://weibo.com/1267454277/JiVeLslsp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVeLslsp?uid=1267454277&rl=1
早早就去幼儿园	6067521547	JiVeFyNlA	#成龙北京两套豪宅将被拍卖# 损失多少钱先不说，豪宅遭法拍也是正常操作，13年了，你并没有未办房产证，所以还不算是你的房子，自食其果也是理所当然。 ​	2020年09月03日 15:52		评论		https://weibo.com/6067521547/JiVeFyNlA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVeFyNlA?uid=6067521547&rl=1
孙苏荷Stella	7297413936	JiVezoMrg	李红亮 明星太“难”了，买了房也不敢签房产证现在好了，被当成债务纠纷处理的房子#成龙北京两套豪宅将被拍卖# 起价7000万 2石家庄·先天下购物广场 ​	2020年09月03日 15:52		评论		https://weibo.com/7297413936/JiVezoMrg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVezoMrg?uid=7297413936&rl=1
法联不良资产	7452456787	JiVeuotEk	#成龙北京两套豪宅将被拍卖#内幕原因：O成龙上北京上亿元豪宅被拍卖，查封原因曝光，真相竟然是这样！ ​	2020年09月03日 15:52		评论		https://weibo.com/7452456787/JiVeuotEk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVeuotEk?uid=7452456787&rl=1
美浩舒适家	5863259066	JiVes0Asx	#成龙北京两套豪宅将被拍卖#听起来貌似好厉害的样子！！也不知道他的两套豪宅装修咋样？也不知道所谓的“豪”，到底有多“豪”？你看吧，一般我们家夏天都是用扇子扇风乘凉，人家那号称豪宅，咋着不得每个屋装个吊扇啊？地板砖咱平时用的都是二三十一平的，人家那用地板砖肯 ​  展开全文c	2020年09月03日 15:52		评论		https://weibo.com/5863259066/JiVes0Asx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiVes0Asx?uid=5863259066&rl=1
