原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	化神之路	6163000246	化神之路:转发微博	赞[0]	2020-08-05 09:43:19	来自vivo X50专业影像旗舰
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	芊芊1231992	7439303217	芊芊1231992:转发微博	赞[0]	2020-08-05 08:35:29	来自小米手机4s
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	预定希望	7310370008	预定希望:转发微博	赞[0]	2020-08-05 07:28:10	来自OPPO Reno Z
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	玲珑爱星星	5322435452	玲珑爱星星:转发微博	赞[0]	2020-08-05 16:14:07	来自荣耀V8 脱影而出
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	用户7467137136	7467137136	用户7467137136:转发微博	赞[0]	2020-08-05 14:45:50	来自vivo X20全面屏手机
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	用户6574472659	6574472659	用户6574472659:转发微博	赞[0]	2020-08-08 12:13:12	来自荣耀30 Pro 5G
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	小刘同志199507	7383613369	小刘同志199507:转发微博	赞[0]	2020-08-08 11:28:15	来自小米8青春版 潮流旗舰
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	用户7309871446	7309871446	用户7309871446:转发微博	赞[0]	2020-08-08 08:14:22	来自前后2000万 OPPO R11s
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	故乡的云_1999	6198867390	故乡的云_1999:我参与了@金堂发布 发起的投票【绿豆汤和酸梅汤，你们更喜欢哪个？】，我投给了“绿豆汤”这个选项，你也快来表态吧~	赞[0]	2020-08-09 09:40:29	来自荣耀7X 全面屏手机
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	低情商专业6523839977	6523839977	低情商专业6523839977:转发微博	赞[0]	2020-08-09 05:28:36	来自OPPO Reno Ace
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	冯立翠fenglicui	6390501801	冯立翠fenglicui:转发微博	赞[0]	2020-08-08 21:13:19	来自OPPO R9s
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	7579wu	6823639037	7579wu:转发微博	赞[0]	2020-08-08 19:19:50	来自小米6X 拍人更美
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	梨涡猪猪1415	7246521121	梨涡猪猪1415:转发微博	赞[0]	2020-08-09 23:59:06	来自小米8周年旗舰手机
金堂发布	:【#问卷学堂# 】今天天气有点热，你是怎么降暑的呢？绿豆汤和酸梅汤，你们更喜欢哪个？ #抹茶杏仁豆腐奶冻#绿豆汤和酸梅汤，你们更喜欢哪个？ 	2020-08-03 16:08:58    	Hepburn甜美_楠	2548695063	Hepburn甜美_楠:我参与了@金堂发布 发起的投票【绿豆汤和酸梅汤，你们更喜欢哪个？】，我投给了“酸梅汤”这个选项，你也快来表态吧~	赞[0]	2020-08-09 16:43:47	来自Samsung Galaxy S8+
