原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	CWY0803650	5336708458	CWY0803650:转发微博	赞[0]	2020-08-03 07:24:50	来自红米Redmi
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	羽萱L	6382313550	羽萱L:好厉害，	赞[0]	2020-08-03 07:22:44	来自OPPO智能手机
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	阿弥陀佛0龙华树	5953325808	阿弥陀佛0龙华树:转发微博	赞[0]	2020-08-03 07:20:57	来自小米6X 拍人更美
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	用户5488805742海阔天空	5488805742	用户5488805742海阔天空:转发微博	赞[0]	2020-08-03 07:19:47	来自魅蓝 Note3
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	MontQogir	3218463125	MontQogir:赞	赞[0]	2020-08-03 07:19:04	来自微博国际版
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	能不能改么	2065046294	能不能改么:转发微博	赞[0]	2020-08-03 07:42:04	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	超级赵赵赵	5207802440	超级赵赵赵:转发微博	赞[0]	2020-08-03 07:42:00	来自360安全浏览器
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	蝎子四十	2609574070	蝎子四十:转发微博	赞[0]	2020-08-03 07:41:58	来自小米6 拍人更美
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	桃太郎的春夏秋冬	5395886918	桃太郎的春夏秋冬:转发微博	赞[0]	2020-08-03 07:39:26	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	蛇小呆Doris	victorydaisyll	蛇小呆Doris:转发微博	赞[0]	2020-08-03 07:38:56	来自微博搜索
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	草木斑斓0224耶耶	6456625872	草木斑斓0224耶耶:转发微博	赞[0]	2020-08-03 07:30:08	来自OPPO智能手机
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	新世界207	7292718478	新世界207:转发微博	赞[0]	2020-08-03 07:25:39	来自华为手机 畅享玩不停
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	mmgg的麻麻啊	1809357481	mmgg的麻麻啊:转发微博	赞[0]	2020-08-03 08:17:06	来自荣耀V10 我AI的快
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	yakoo-l	5973937566	yakoo-l:转发微博	赞[0]	2020-08-03 08:06:25	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	林麓时眠	6868113511	林麓时眠:Repost	赞[0]	2020-08-03 08:00:15	来自綺麗の☁️Android
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	夏日星空200	5622118312	夏日星空200:转发微博	赞[0]	2020-08-03 07:48:26	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	利川的孫大湿	1938058195	利川的孫大湿:转发微博	赞[0]	2020-08-03 09:09:10	来自iPhone
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	23Joshua	2611493327	23Joshua:转发微博	赞[0]	2020-08-03 09:03:18	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	傲慢的左铁子	3905248961	傲慢的左铁子:转发微博	赞[0]	2020-08-03 09:03:13	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	海上日出rCDF	7316641189	海上日出rCDF:转发微博	赞[0]	2020-08-03 08:52:31	来自HUAWEI P30 Pro
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	夏沫心心	5243934796	夏沫心心:转发微博	赞[0]	2020-08-03 08:48:07	来自红米Redmi
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	平淡在偶心	2542492322	平淡在偶心:转发微博	赞[0]	2020-08-03 08:45:50	来自三星 Galaxy Note9
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	ME宝宝LOVE	1745201337	ME宝宝LOVE:转发微博	赞[0]	2020-08-03 08:42:22	来自微博国际版
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	谭池雨	5495222190	谭池雨:转发微博	赞[0]	2020-08-03 08:28:14	来自HUAWEI Mate 9
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	马汝文-m	2472624737	马汝文-m:转发微博	赞[0]	2020-08-03 08:21:43	来自荣耀10青春版
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	夏天夏天吃菠萝	3992230071	夏天夏天吃菠萝:转发微博	赞[0]	2020-08-03 10:38:50	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	你的倾听yi	3675989462	你的倾听yi:转发微博	赞[0]	2020-08-03 10:32:30	来自vivo Y9s 超颜值自拍
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	暮然回首看见你70626	5910103432	暮然回首看见你70626:转发微博	赞[0]	2020-08-03 10:31:17	来自HUAWEI P30
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	幽u忧	5324875681	幽u忧:转发微博	赞[0]	2020-08-03 10:01:06	来自前置双摄vivo X9s
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	白色婆婆丁	6764834046	白色婆婆丁:天啊，好厉害	赞[0]	2020-08-03 09:36:37	来自iPhone X
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	小艳艳jy	2313103950	小艳艳jy:转发微博	赞[0]	2020-08-03 20:05:58	来自iPhone 11 Pro(银色)
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	爱吃鱼的小雨儿	2435301261	爱吃鱼的小雨儿:转发微博	赞[0]	2020-08-03 20:03:16	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	柏晓宇丶	5651947860	柏晓宇丶:转发微博	赞[0]	2020-08-03 20:02:37	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	仙居Emily	6453623391	仙居Emily:转发微博	赞[0]	2020-08-03 15:47:19	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	发量逐日减少惹	6029906917	发量逐日减少惹:哇！！	赞[0]	2020-08-03 15:43:21	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	北岸荼靡	2458047143	北岸荼靡:转发微博	赞[0]	2020-08-03 11:20:40	来自荣耀V10 我AI的快
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	舒允001	6001877700	舒允001:转发微博	赞[0]	2020-08-03 10:59:47	来自iPhone客户端
凤凰周刊	:【#父亲为弥补儿子亲手改造房间#】近日，湖北恩施一男子外出打工多年，觉得对孩子的陪伴少，想在孩子的童年留下点记忆。于是回家后决定亲自动手给4岁的儿子改造房间。改造后的房间充满温馨感。网友：父亲的用心付出，孩子一定可以感受到。#11岁男孩112轮双字飞花令夺冠# 星视频的微博视频	2020-08-03 07:16:03    	驰橙君	5739405421	驰橙君:转发微博	赞[0]	2020-08-03 10:58:02	来自荣耀20 PRO
