用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
燃点时刻MG	6249602979	Jj5T5yRW8	#物理老师用纸杯留声机成功留声# 有的老师成功留声，有的老师堪称人肉照相机，这年头真是没点绝活都不敢说自己是老师 L燃点时刻MG的微博视频 ​	2020年09月04日 18:59		1	15	https://weibo.com/6249602979/Jj5T5yRW8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj5T5yRW8?uid=6249602979&rl=1
房天下徐州	6433020724	Jj5SEr7hh	#物理老师用纸杯留声机成功留声#可以培养学生的创新能力，上学的时候最喜欢看各种新奇实验和发明 ​	2020年09月04日 18:58		评论		https://weibo.com/6433020724/Jj5SEr7hh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj5SEr7hh?uid=6433020724&rl=1
马鞍山反邪教	6253020665	Jj5Sgdomg	【#物理老师用纸杯留声机成功留声#：鼓励学生创新发明】近日，江西赣州信丰中学的物理老师朱向阳用纸杯留声机成功留声，不少网友被震撼。老师说“纸杯留声机”是朋友设计的，并非新发明，只是运用以前留声机的工作原理，将它做出来供教学，通过实验让学生和大众知道要有创新、发明意识。 ​  展开全文c	2020年09月04日 18:57		评论		https://weibo.com/6253020665/Jj5Sgdomg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj5Sgdomg?uid=6253020665&rl=1
抚州临川发布	3567412270	Jj5Scp4aS	【#物理老师用纸杯留声机成功留声#走红 鼓励学生创新】近日，江西赣州某中学的物理老师朱向阳用纸杯留声机成功留声走红网络。老师介绍，留声机工作内容分别是录音和放音，声音引起纸杯底振动，杯底带动钢针随声振动，振动的钢针在转动的纸杯上刻划出声音振动的痕迹。在运动声道上的钢针，受到 ​  展开全文c	2020年09月04日 18:57		评论		https://weibo.com/3567412270/Jj5Scp4aS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj5Scp4aS?uid=3567412270&rl=1
想抱王甜甜	5548191323	Jj5RZ2Y7x	#物理老师用纸杯留声机成功留声#这就是别人的物理老师，我的物理老师只会让我讨厌物理，哪怕我的物理很不错。 ​	2020年09月04日 18:56			1	https://weibo.com/5548191323/Jj5RZ2Y7x?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj5RZ2Y7x?uid=5548191323&rl=1
123456mrPkl	5280220371	Jj5R7C5nK	——👿王承渲😈——甜心派对 甜蜜来袭今晚8⃣️点 YY直播#物理老师用纸杯留声机成功留声# ​	2020年09月04日 18:54	1	4	7	https://weibo.com/5280220371/Jj5R7C5nK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj5R7C5nK?uid=5280220371&rl=1
新浪宁波	1767760462	Jj5R44shf	#热门新闻#【#物理老师用纸杯留声机成功留声#走红 鼓励学生创新】近日，江西赣州某中学的物理老师朱向阳用纸杯留声机成功留声走红网络。老师介绍，留声机工作内容分别是录音和放音，声音引起纸杯底振动，杯底带动钢针随声振动，振动的钢针在转动的纸杯上刻划出声音振动的痕迹。在运动声道上的 ​  展开全文c	2020年09月04日 18:54			2	https://weibo.com/1767760462/Jj5R44shf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj5R44shf?uid=1767760462&rl=1
云滇嘻哈先生	5404530618	Jj5QQ6Jwb	#物理老师用纸杯留声机成功留声#有时候你生气  愤怒  伤心，其实只是因为，你所得到的结果和你以为的差得太远。努力了，其实结果不会太差，怕的事你压根没努力过。 ​	2020年09月04日 18:54		14	6	https://weibo.com/5404530618/Jj5QQ6Jwb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj5QQ6Jwb?uid=5404530618&rl=1
小泥萌萌	2951050802	Jj5QPeCFn	#物理老师用纸杯留声机成功留声#这个老师太棒啦估计他们班上很少有人不喜欢物理吧，果然老师与老师之间还是有差距的 ​	2020年09月04日 18:54			1	https://weibo.com/2951050802/Jj5QPeCFn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj5QPeCFn?uid=2951050802&rl=1
青春黄石	2464087714	Jj5QFvALk	#物理老师用纸杯留声机成功留声#【绝了这年头真是没点绝活都不敢说自己是老师。老师们的各种神技能↓↓↓……（视频来源：网络） L共青团大邑县委的微博视频 ​​​	2020年09月04日 18:53			2	https://weibo.com/2464087714/Jj5QFvALk?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jj5QFvALk?uid=2464087714&rl=1
