用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
RonGa的鱼阿鱼	6021393258	Je5XPkSZ4	#破音#孙豆尔本人澄清了未破音，请各位朋友对自己的言行负责。 ​	2020年08月02日 21:59		1	3	https://weibo.com/6021393258/Je5XPkSZ4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je5XPkSZ4?uid=6021393258&rl=1
岚妹今年五岁啦	2329048491	Je5XE8oLu	#破音#中国音乐剧目前的市场并不光明，演员有好就有坏，又是直播难免会出事故。人辛辛苦苦排练布景马拉松式演四个小时才要28块钱，甚至内涵没出场的演员，何必呢 ​	2020年08月02日 21:59		1	16	https://weibo.com/2329048491/Je5XE8oLu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je5XE8oLu?uid=2329048491&rl=1
曾可与瓜	2829741330	Je5XDwLo8	#破音#破音真的是很尴尬的场面追青春有你的时候我的pick一个舞担却屡屡承担了高音部分导致每次公演我都担心她破音但直到决赛她一直都表现得很好夸夸你@曾可妮Jenny-Z ​	2020年08月02日 21:59			3	https://weibo.com/2829741330/Je5XDwLo8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je5XDwLo8?uid=2829741330&rl=1
旗木_卡卡南	7408841607	Je5XDfaH8	#破音# 别tm按头你华爹买的rs，你华爹真买不起！ ​	2020年08月02日 21:59		17	26	https://weibo.com/7408841607/Je5XDfaH8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je5XDfaH8?uid=7408841607&rl=1
石景山高甜月	7324756593	Je5XCkNpQ	#破音#这热搜一看就和希林没有关系，这个词条用妹妹头像干嘛，有病 ​	2020年08月02日 21:59		评论		https://weibo.com/7324756593/Je5XCkNpQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je5XCkNpQ?uid=7324756593&rl=1
是沁xi呀_xixi	5391710809	Je5XvBkHU	#破音#一分钱不花就都来放个什么屁？ ​	2020年08月02日 21:59		评论		https://weibo.com/5391710809/Je5XvBkHU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je5XvBkHU?uid=5391710809&rl=1
月光如水万般柔情	5780388088	Je5Xu9ZSg	#破音#这次的热搜上的莫名其妙，我看得也是一脸懵⭕️中，也不说是谁 ​	2020年08月02日 21:59			2	https://weibo.com/5780388088/Je5Xu9ZSg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je5Xu9ZSg?uid=5780388088&rl=1
南昌广播电视台	3274822530	Je5Xlwkiv	#破音#有人说，比唱歌跑调更可怕的是唱歌破音。对此，很多网友持不同态度。#每日小调查#你觉得唱歌时碰到什么问题最尴尬？ 你觉得唱歌时碰到什么问题最尴尬？ ​	2020年08月02日 21:58	3	3	177	https://weibo.com/3274822530/Je5Xlwkiv?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je5Xlwkiv?uid=3274822530&rl=1
娮朔	5581871180	Je5Xbrmq4	#破音#别的破音什么的我不管ntn就是最吊的！ ​	2020年08月02日 21:58		评论		https://weibo.com/5581871180/Je5Xbrmq4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je5Xbrmq4?uid=5581871180&rl=1
画清晗	5404188968	Je5X8hUBp	#破音# 拜托，失误一下不行吗，就开头一个破音啊，后面的很精彩啊，好多种草的剧，麻烦看看再说好吧，还有某些影射个别演员的，人家还没唱呢，唱了不管怎么样你们也会骂。中国音乐剧不好你们很开心很得意？什么心态啊？花钱看直播在说话吧。 ​	2020年08月02日 21:58			3	https://weibo.com/5404188968/Je5X8hUBp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je5X8hUBp?uid=5404188968&rl=1
