用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
加减钻	2437176810	JdUzBlh8N	#老师别再用全景相机拍照了#哈哈哈哈哈哈好逗啊孩子们有许多小问号我一直想知道为啥老师都这么沉迷用全景相机就像我一直想知道为啥谢可寅一直沉迷用live photo一样不过是真得不修图也很好看@THE9-谢可寅 #谢可寅 颜艺王# ​	2020年08月01日 16:59		评论		https://weibo.com/2437176810/JdUzBlh8N?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUzBlh8N?uid=2437176810&rl=1
Sherry殳逸	5905818952	JdUzw4skT	#老师别再用全景相机拍照了#哭辽 ​	2020年08月01日 16:59		评论		https://weibo.com/5905818952/JdUzw4skT?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUzw4skT?uid=5905818952&rl=1
丽影君心w	1939440635	JdUzirBXN	#老师别再用全景相机拍照了#哈哈哈，可以用广角镜头拍呀 ​	2020年08月01日 16:59		评论		https://weibo.com/1939440635/JdUzirBXN?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUzirBXN?uid=1939440635&rl=1
欲已随风	5643538628	JdUzfdNVA	#老师别再用全景相机拍照了#why？ ​	2020年08月01日 16:59		评论		https://weibo.com/5643538628/JdUzfdNVA?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUzfdNVA?uid=5643538628&rl=1
花之殇_花之霓裳	5754594486	JdUz2wqgu	#老师别再用全景相机拍照了#问题来了，全景怎么弄才不会出现这种情况 ​	2020年08月01日 16:58		3	1	https://weibo.com/5754594486/JdUz2wqgu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUz2wqgu?uid=5754594486&rl=1
坠入星橙NQL	5682168405	JdUyYpmHu	#老师别再用全景相机拍照了#哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ​	2020年08月01日 16:58		评论		https://weibo.com/5682168405/JdUyYpmHu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUyYpmHu?uid=5682168405&rl=1
少年少年ing	5612193894	JdUyXw6vg	#老师别再用全景相机拍照了#把孩子拍成这样……太吓人了 ​	2020年08月01日 16:58		评论		https://weibo.com/5612193894/JdUyXw6vg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUyXw6vg?uid=5612193894&rl=1
Parable话筒	6623731513	JdUyUyOwZ	#老师别再用全景相机拍照了#哈哈哈，班级人太多了只有全景能拍下，但是拍的太搞笑了吧 ​	2020年08月01日 16:58		2		https://weibo.com/6623731513/JdUyUyOwZ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUyUyOwZ?uid=6623731513&rl=1
·请叫我美女·	7340703346	JdUyDqxKg	#老师别再用全景相机拍照了#用全景拍摄真的好丑求求老师不要再拍了，我的黑照表情包全出自老师之手 ​	2020年08月01日 16:57		评论		https://weibo.com/7340703346/JdUyDqxKg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUyDqxKg?uid=7340703346&rl=1
长安某廿五	7376197511	JdUyAnLMb	#老师别再用全景相机拍照了#笑死我哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嚯哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈红红火火恍恍惚惚曾可妮宝贝，你也来看看啦～[冰雪奇缘雪宝][冰雪奇缘雪宝][冰雪奇缘雪宝]@曾可妮Jenny-Z ​	2020年08月01日 16:57			2	https://weibo.com/7376197511/JdUyAnLMb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUyAnLMb?uid=7376197511&rl=1
0806AM城市的浪漫运作	6452687583	JdUyn6232	#老师别再用全景相机拍照了#哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死了！有够吓人的 ​	2020年08月01日 16:56		评论		https://weibo.com/6452687583/JdUyn6232?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUyn6232?uid=6452687583&rl=1
蒸小爽的影子	5393100000	JdUyg2LqS	#老师别再用全景相机拍照了#哈哈，我用全景超好看呢 2无锡·博大假日广场 ​	2020年08月01日 16:56		1	2	https://weibo.com/5393100000/JdUyg2LqS?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUyg2LqS?uid=5393100000&rl=1
春天的小草yes	6014789718	JdUyb1npn	#老师别再用全景相机拍照了# ​	2020年08月01日 16:56		评论		https://weibo.com/6014789718/JdUyb1npn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUyb1npn?uid=6014789718&rl=1
刘宝华的博	1880327657	JdUy5olzJ	#老师别再用全景相机拍照了# 2天津 ​	2020年08月01日 16:56		评论		https://weibo.com/1880327657/JdUy5olzJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JdUy5olzJ?uid=1880327657&rl=1
